id,Name
78,"""a flurry of children"" (60)"
15,"""a shirtless man"" (20)"
91,"""a white lady"" at the nail salon (68)"
58,"""an elderly Asian woman"" (41) / The bowling alley "
19,"""grade three classmates"" (24)"
33,"""her mother in law"" (36)"
75,"""hungry people"" (57)"
22,"""Indian kids"" (26)"
56,"""older kids"" (33)"
52,"""one elderly woman"" (32)"
90,"""one of the Vietnamese ladies at the counter"" (67)"
63,"""the boys"" (Cory's friends) (49)"
82,"""the parents"" (61)"
81,"""the school-agers"" (61)"
30,"""the white lady"" (35)"
80,"""their parents"" (60)"
79,"""three toddlers"" (60)"
0,"[NULL]"
44,"Aiden Chan"
86,"Aiden Redden"
50,"Amina Mohammed"
38,"Bing's Dad"
28,"Bing/Bernard Espiritu"
76,"children in the community"
23,"Children's Aid (25)"
53,"Chloe Smith"
7,"Clara Jane Donohue"
77,"Clara's dad (name?)"
85,"Cole Hester"
4,"Cory Mitkowski"
40,"Cory's boss"
29,"Edna Espiritu"
68,"Evan Roy"
64,"Fern Donahue"
46,"Finnegan Everson"
41,"Geraldine McDonough"
37,"God"
47,"Helen Mckay"
5,"Hina Hassani"
92,"Ivana"
71,"Jane Fulton"
45,"Jennifer Chan"
6,"Jessica (Laura's Mom)"
35,"Jesus"
12,"Johnny Beaudoin"
27,"Jonathon Beaudoin"
84,"Justin Bieber"
66,"Kyle Keegan"
3,"Laura Mitkowski"
49,"Liam Williams"
43,"Lily Chan"
11,"Marie Beaudoin"
73,"marketing and development officer of Ontario Reads"
93,"men who ""come here for tugs"" (69)"
26,"Michelle"
24,"Mr. George"
9,"Mr. Kamal"
13,"Mrs Abdul"
61,"Mrs Crosby"
87,"Mrs Emerson"
62,"Mrs Landau"
20,"Mrs. Falls"
31,"Mrs. Finnegan"
8,"Mrs. Kamal"
60,"Mrs. Khan"
21,"Mrs. Rhodes"
42,"Ontario Reads facilitators"
72,"Oprah Winfrey"
67,"Pamela Roy"
57,"parents in the community"
17,"Parker"
18,"Parker's mom"
65,"Paulo Sanchez"
83,"Principal Sankiewicz"
36,"Saints"
48,"Sebastian Dennis"
25,"Slutty Christy"
10,"Sylvie Beaudoin"
70,"Tasha Roy"
89,"the bus driver"
88,"the children on the bus"
16,"The doctor (20)"
59,"The police"
39,"Tita Mae"
32,"Vietnamese ladies"
51,"Waleed Mohammed"
14,"Walk-in clinic receptionist (19)"
34,"White people"
69,"Yanna Roy"
