id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
2,"Laura I","level 1 (section)","9","11","Laura Mitkowski","Laura Mitkowski","[NULL]"
3,"Fall","level 1 (section)","16","99","[NULL]","[NULL]","[NULL]"
4,"Sylvie I","level 2 (sub-section)","19","30","Sylvie Beaudoin","Sylvie Beaudoin","[NULL]"
5,"Daily Report: September 14, 2011","level 2 (sub-section)","31","34","Hina Hassani","[NULL]","Letter"
6,"Bing I","level 2 (sub-section)","35","40","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
7,"Cory","level 2 (sub-section)","41","49","[NULL]","Cory Mitkowski","[NULL]"
8,"June 6, 2011","level 1 (section)","13","15","Geraldine McDonough","[NULL]","Letter"
9,"Daily Report: September 22, 2011","level 2 (sub-section)","50","53","Hina Hassani","[NULL]","Letter"
10,"Jane Fulton <jfulton@ontarioreads.ca> September 22, 2011, 1:15 a.m.","level 2 (sub-section)","54","55","Jane Fulton","[NULL]","Letter"
11,"Me <hhassani@ontarioreads.ca> September 22, 2011, 11:50 a.m.","level 1 (section)","55","56","Hina Hassani","[NULL]","Letter"
12,"Jane Fulton <jfulton@ontarioreads.ca> September 22, 2011, 2:30 p.m.","level 2 (sub-section)","56","57","Jane Fulton","[NULL]","Letter"
13,"Laura II","level 2 (sub-section)","59","62","[NULL]","Laura Mitkowski","[NULL]"
14,"Bing II","level 2 (sub-section)","63","66","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
15,"Sylvie II","level 2 (sub-section)","67","80","Sylvie Beaudoin","Sylvie Beaudoin","[NULL]"
