id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
3,"Exchange","Jessica (Laura's Mom)","Laura Mitkowski","1","Laura I","9","11"
4,"Knows","Jessica (Laura's Mom)","Cory Mitkowski","1","Laura I","9","9"
5,"Knows","Laura Mitkowski","Cory Mitkowski","1","Laura I","9","11"
6,"Knows","Laura Mitkowski","Mrs. Kamal","1","Laura I","11","11"
7,"Knows","Jessica (Laura's Mom)","Mrs. Kamal","1","Laura I","11","11"
8,"Knows","Laura Mitkowski","Mr. Kamal","1","Laura I","11","11"
9,"Exchange","Mrs. Kamal","Mr. Kamal","1","Laura I","11","11"
10,"Knows","Jessica (Laura's Mom)","Mr. Kamal","1","Laura I","11","11"
11,"Exchange","Marie Beaudoin","Sylvie Beaudoin","1","Sylvie I","19","21"
12,"Knows","Sylvie Beaudoin","Mrs Abdul","1","Sylvie I","19","19"
13,"Knows","Marie Beaudoin","Mrs Abdul","1","Sylvie I","19","19"
14,"Knows","Sylvie Beaudoin","Johnny Beaudoin","1","Sylvie I","19","19"
15,"Knows","Marie Beaudoin","Johnny Beaudoin","1","Sylvie I","19","19"
16,"Exchange","Walk-in clinic receptionist (19)","Marie Beaudoin","1","Sylvie I","19","20"
17,"Knows","Walk-in clinic receptionist (19)","Johnny Beaudoin","1","Sylvie I","19","19"
18,"Exchange","""a shirtless man"" (20)","Walk-in clinic receptionist (19)","1","Sylvie I","20","20"
19,"Knows of","""a shirtless man"" (20)","The doctor (20)","1","Sylvie I","20","20"
20,"Knows","Walk-in clinic receptionist (19)","The doctor (20)","1","Sylvie I","20","20"
21,"Knows","Sylvie Beaudoin","""a shirtless man"" (20)","1","Sylvie I","20","20"
22,"Knows","Sylvie Beaudoin","Walk-in clinic receptionist (19)","1","Sylvie I","19","20"
23,"Knows","Marie Beaudoin","""a shirtless man"" (20)","1","Sylvie I","20","20"
24,"Exchange","Parker's mom","Parker","1","Sylvie I","21","21"
25,"Knows","Sylvie Beaudoin","Parker","0","Sylvie I","21","21"
26,"Knows","Sylvie Beaudoin","Parker's mom","0","Sylvie I","21","21"
27,"Knows","Marie Beaudoin","Parker","0","Sylvie I","21","21"
28,"Knows","Marie Beaudoin","Parker's mom","0","Sylvie I","21","21"
29,"Exchange","Marie Beaudoin","The doctor (20)","1","Sylvie I","22","24"
30,"Knows","The doctor (20)","Johnny Beaudoin","1","Sylvie I","22","24"
31,"Exchange","Walk-in clinic receptionist (19)","The doctor (20)","1","Sylvie I","22","23"
32,"Knows","The doctor (20)","""a shirtless man"" (20)","1","Sylvie I","22","23"
33,"Knows","Sylvie Beaudoin","""a shirtless man"" (20)","0","Sylvie I","22","23"
34,"Knows","Marie Beaudoin","""a shirtless man"" (20)","0","Sylvie I","22","23"
35,"Knows","Sylvie Beaudoin","Walk-in clinic receptionist (19)","1","Sylvie I","22","23"
36,"Knows","Marie Beaudoin","Walk-in clinic receptionist (19)","1","Sylvie I","22","23"
37,"Knows","Sylvie Beaudoin","Johnny Beaudoin","1","Sylvie I","22","24"
38,"Knows","Marie Beaudoin","Johnny Beaudoin","1","Sylvie I","22","24"
39,"Knows","Sylvie Beaudoin","""grade three classmates"" (24)","1","Sylvie I","24","24"
40,"Knows","Sylvie Beaudoin","Mrs. Falls","1","Sylvie I","24","24"
41,"Exchange","Sylvie Beaudoin","Marie Beaudoin","1","Sylvie I","25","25"
42,"Knows","Sylvie Beaudoin","Mrs Abdul","1","Sylvie I","25","26"
43,"Knows","Marie Beaudoin","Mrs Abdul","1","Sylvie I","25","25"
44,"Knows","Sylvie Beaudoin","Mrs. Rhodes","1","Sylvie I","25","26"
45,"Knows","Sylvie Beaudoin","Children's Aid (25)","0","Sylvie I","25","25"
46,"Knows","Sylvie Beaudoin","""Indian kids"" (26)","1","Sylvie I","25","25"
47,"Knows","Sylvie Beaudoin","Marie Beaudoin","1","Sylvie I","26","30"
48,"Knows","Sylvie Beaudoin","""grade three classmates"" (24)","1","Sylvie I","26","26"
49,"Knows","Sylvie Beaudoin","Johnny Beaudoin","1","Sylvie I","26","26"
50,"Knows","Sylvie Beaudoin","Mr. George","1","Sylvie I","26","27"
51,"Knows","Marie Beaudoin","Mr. George","1","Sylvie I","26","26"
52,"Exchange","Marie Beaudoin","Mr. George","1","Sylvie I","27","27"
53,"Knows","Sylvie Beaudoin","Johnny Beaudoin","1","Sylvie I","27","27"
54,"Knows","Sylvie Beaudoin","Michelle","1","Sylvie I","27","30"
55,"Knows","Sylvie Beaudoin","Jonathon Beaudoin","1","Sylvie I","27","30"
56,"Exchange","Michelle","Jonathon Beaudoin","1","Sylvie I","27","29"
57,"Exchange","Michelle","Marie Beaudoin","1","Sylvie I","27","30"
58,"Knows","Michelle","Mrs Abdul","1","Sylvie I","29","29"
59,"Knows","Marie Beaudoin","Mrs Abdul","1","Sylvie I","29","29"
60,"Knows","Sylvie Beaudoin","Mrs Abdul","1","Sylvie I","29","29"
61,"Exchange","Marie Beaudoin","Jonathon Beaudoin","1","Sylvie I","30","30"
62,"Knows","Sylvie Beaudoin","Mr. George","1","Sylvie I","30","30"
64,"Knows","Sylvie Beaudoin","Johnny Beaudoin","1","Sylvie I","30","30"
65,"Exchange","Edna Espiritu","Bing/Bernard Espiritu","1","Bing I","35","40"
66,"Knows","Bing/Bernard Espiritu","Mrs. Finnegan","1","Bing I","35","36"
67,"Knows","Bing/Bernard Espiritu","Vietnamese ladies","0","Bing I","35","35"
68,"Knows","Edna Espiritu","Vietnamese ladies","1","Bing I","35","35"
69,"Knows","Edna Espiritu","""the white lady"" (35)","1","Bing I","35","35"
70,"Knows","Edna Espiritu","""the white lady"" (35)","1","Bing I","35","36"
71,"Exchange","Edna Espiritu","""the white lady"" (35)","1","Bing I","36","36"
72,"Knows","""the white lady"" (35)","""her mother in law"" (36)","1","Bing I","36","36"
73,"Knows of","Bing/Bernard Espiritu","""her mother in law"" (36)","0","Bing I","36","36"
74,"Knows of","Edna Espiritu","""her mother in law"" (36)","0","Bing I","36","36"
75,"Knows","Edna Espiritu","White people","1","Bing I","36","36"
76,"Knows","Bing/Bernard Espiritu","White people","1","Bing I","36","36"
77,"Knows of","Edna Espiritu","Mrs. Finnegan","0","Bing I","36","36"
78,"Knows","Bing/Bernard Espiritu","Jesus","0","Bing I","37","37"
79,"Knows of","Bing/Bernard Espiritu","Saints","0","Bing I","37","37"
80,"Knows","Edna Espiritu","Jesus","1","Bing I","37","37"
81,"Knows of","Edna Espiritu","Saints","0","Bing I","37","37"
82,"Exchange","Edna Espiritu","God","1","Bing I","37","37"
83,"Knows","Bing/Bernard Espiritu","God","1","Bing I","37","37"
84,"Knows","Bing/Bernard Espiritu","Bing's Dad","1","Bing I","39","40"
85,"Knows","Edna Espiritu","Bing's Dad","1","Bing I","39","40"
86,"Knows","Tita Mae","Bing's Dad","1","Bing I","39","39"
87,"Exchange","Tita Mae","Bing/Bernard Espiritu","1","Bing I","39","40"
88,"Exchange","Tita Mae","Edna Espiritu","1","Bing I","39","40"
89,"Exchange","Geraldine McDonough","Hina Hassani","1","June 6, 2011","13","15"
90,"Knows","Geraldine McDonough","Ontario Reads facilitators","1","June 6, 2011","14","14"
91,"Knows of","Hina Hassani","Ontario Reads facilitators","0","June 6, 2011","14","14"
92,"Knows","Hina Hassani","Edna Espiritu","1","Daily Report: September 14, 2011","31","31"
93,"Knows","Hina Hassani","Bing/Bernard Espiritu","1","Daily Report: September 14, 2011","31","31"
94,"Knows","Hina Hassani","Marie Beaudoin","1","Daily Report: September 14, 2011","31","31"
95,"Knows","Hina Hassani","Sylvie Beaudoin","1","Daily Report: September 14, 2011","31","31"
96,"Knows","Hina Hassani","Johnny Beaudoin","1","Daily Report: September 14, 2011","31","33"
97,"Knows","Hina Hassani","Waleed Mohammed","1","Daily Report: September 14, 2011","31","32"
98,"Knows","Hina Hassani","Marie Beaudoin","1","Daily Report: September 14, 2011","33","33"
99,"Knows","Hina Hassani","Bing/Bernard Espiritu","1","Daily Report: September 14, 2011","33","33"
100,"Knows","Hina Hassani","Aiden Chan","1","Daily Report: September 14, 2011","31","31"
101,"Knows","Hina Hassani","Lily Chan","1","Daily Report: September 14, 2011","31","31"
102,"Knows","Hina Hassani","Helen Mckay","1","Daily Report: September 14, 2011","31","31"
103,"Knows","Hina Hassani","Jennifer Chan","1","Daily Report: September 14, 2011","31","31"
104,"Knows","Hina Hassani","Finnegan Everson","1","Daily Report: September 14, 2011","31","31"
105,"Knows","Hina Hassani","Sebastian Dennis","1","Daily Report: September 14, 2011","31","31"
106,"Knows","Hina Hassani","Chloe Smith","1","Daily Report: September 14, 2011","31","31"
107,"Knows","Hina Hassani","Liam Williams","1","Daily Report: September 14, 2011","31","31"
108,"Knows","Hina Hassani","Amina Mohammed","1","Daily Report: September 14, 2011","31","31"
109,"Knows","Hina Hassani","""one elderly woman"" (32)","1","Daily Report: September 14, 2011","32","32"
110,"Knows","Hina Hassani","Helen Mckay","1","Daily Report: September 14, 2011","33","33"
112,"Knows","Hina Hassani","parents in the community","1","Daily Report: September 14, 2011","32","32"
113,"Knows","Cory Mitkowski","Cory's boss","1","Cory","41","41"
114,"Exchange","Jessica (Laura's Mom)","Cory Mitkowski","1","Cory","41","41"
115,"Knows","Jessica (Laura's Mom)","Laura Mitkowski","1","Cory","41","41"
116,"Knows","Cory Mitkowski","Laura Mitkowski","1","Cory","41","41"
117,"Exchange","Cory Mitkowski","""an elderly Asian woman"" (41) / The bowling alley ","1","Cory","41","42"
118,"Knows","""an elderly Asian woman"" (41) / The bowling alley ","Jessica (Laura's Mom)","1","Cory","41","42"
119,"Knows","""an elderly Asian woman"" (41) / The bowling alley ","Laura Mitkowski","1","Cory","41","42"
120,"Exchange","Cory Mitkowski","Laura Mitkowski","1","Cory","42","42"
121,"Knows","Cory Mitkowski","Jessica (Laura's Mom)","1","Cory","42","42"
122,"Knows","Laura Mitkowski","Jessica (Laura's Mom)","1","Cory","42","42"
123,"Knows of","Cory Mitkowski","The police","0","Cory","42","42"
124,"Knows","Cory Mitkowski","Bing/Bernard Espiritu","1","Cory","43","43"
125,"Knows","Cory Mitkowski","Mrs. Khan","1","Cory","43","43"
126,"Knows","Cory Mitkowski","Edna Espiritu","1","Cory","43","43"
127,"Knows","Cory Mitkowski","Cory's boss","1","Cory","44","44"
128,"Exchange","Cory Mitkowski","Cory Mitkowski","1","Cory","44","46"
129,"Exchange","Cory Mitkowski","Laura Mitkowski","1","Cory","45","45"
130,"Knows","Cory Mitkowski","Bing/Bernard Espiritu","1","Cory","45","45"
131,"Knows","Cory Mitkowski","Edna Espiritu","1","Cory","45","45"
132,"Knows","Laura Mitkowski","Bing/Bernard Espiritu","1","Cory","45","45"
133,"Knows","Laura Mitkowski","Edna Espiritu","1","Cory","45","45"
134,"Exchange","Laura Mitkowski","Mrs Crosby","1","Cory","45","47"
135,"Knows","Cory Mitkowski","Jessica (Laura's Mom)","1","Cory","46","46"
136,"Knows","Cory Mitkowski","Laura Mitkowski","1","Cory","43","44"
137,"Knows","Cory Mitkowski","Laura Mitkowski","1","Cory","46","49"
138,"Knows of","Cory Mitkowski","Mrs Landau","0","Cory","47","47"
139,"Knows","Cory Mitkowski","Hina Hassani","1","Cory","47","48"
140,"Exchange","Hina Hassani","Laura Mitkowski","1","Cory","48","48"
141,"Knows","Hina Hassani","Laura Mitkowski","1","Cory","49","49"
142,"Exchange","Hina Hassani","Cory Mitkowski","1","Cory","49","49"
143,"Knows","Cory Mitkowski","""the boys"" (Cory's friends) (49)","1","Cory","49","49"
144,"Knows","Mrs Crosby","Laura Mitkowski","1","Cory","45","47"
145,"Knows","Hina Hassani","Cory Mitkowski","1","Daily Report: September 22, 2011","50","50"
146,"Knows","Hina Hassani","Laura Mitkowski","1","Daily Report: September 22, 2011","50","50"
147,"Knows","Hina Hassani","Edna Espiritu","1","Daily Report: September 22, 2011","50","50"
148,"Knows","Hina Hassani","Bing/Bernard Espiritu","1","Daily Report: September 22, 2011","50","52"
149,"Knows","Hina Hassani","Helen Mckay","1","Daily Report: September 22, 2011","50","50"
150,"Knows","Hina Hassani","Finnegan Everson","1","Daily Report: September 22, 2011","50","50"
151,"Knows","Hina Hassani","Liam Williams","1","Daily Report: September 22, 2011","50","50"
152,"Knows","Hina Hassani","Sebastian Dennis","1","Daily Report: September 22, 2011","50","50"
153,"Knows","Hina Hassani","Chloe Smith","1","Daily Report: September 22, 2011","50","50"
154,"Knows","Hina Hassani","Amina Mohammed","1","Daily Report: September 22, 2011","50","50"
155,"Knows","Hina Hassani","Fern Donahue","1","Daily Report: September 22, 2011","50","50"
156,"Knows","Hina Hassani","Paulo Sanchez","1","Daily Report: September 22, 2011","50","50"
157,"Knows","Hina Hassani","Kyle Keegan","1","Daily Report: September 22, 2011","50","50"
158,"Knows","Hina Hassani","Sylvie Beaudoin","1","Daily Report: September 22, 2011","50","51"
159,"Knows","Hina Hassani","Johnny Beaudoin","1","Daily Report: September 22, 2011","50","50"
160,"Knows","Hina Hassani","Evan Roy","1","Daily Report: September 22, 2011","50","50"
161,"Knows","Hina Hassani","Yanna Roy","1","Daily Report: September 22, 2011","50","50"
162,"Knows","Hina Hassani","Tasha Roy","1","Daily Report: September 22, 2011","50","50"
163,"Knows","Hina Hassani","Aiden Chan","1","Daily Report: September 22, 2011","50","50"
164,"Knows","Hina Hassani","Jennifer Chan","1","Daily Report: September 22, 2011","50","50"
165,"Knows","Hina Hassani","Waleed Mohammed","1","Daily Report: September 22, 2011","50","50"
166,"Knows","Hina Hassani","Marie Beaudoin","1","Daily Report: September 22, 2011","50","50"
167,"Knows","Hina Hassani","Pamela Roy","1","Daily Report: September 22, 2011","50","50"
168,"Knows","Hina Hassani","Lily Chan","1","Daily Report: September 22, 2011","50","50"
169,"Knows","Hina Hassani","Mrs. Finnegan","1","Daily Report: September 22, 2011","52","52"
170,"Knows","Bing/Bernard Espiritu","Mrs. Finnegan","1","Daily Report: September 22, 2011","52","52"
171,"Knows","Hina Hassani","Cory Mitkowski","1","Daily Report: September 22, 2011","52","52"
172,"Knows","Hina Hassani","Laura Mitkowski","1","Daily Report: September 14, 2011","52","52"
173,"Exchange","Jane Fulton","Hina Hassani","1","Jane Fulton <jfulton@ontarioreads.ca> September 22, 2011, 1:15 a.m.","54","55"
174,"Exchange","Hina Hassani","Jane Fulton","1","Daily Report: September 22, 2011","50","53"
175,"Exchange","Hina Hassani","Jane Fulton","1","Daily Report: September 14, 2011","31","34"
