source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
1,20,Bobby Mahon,Frank Mahon,Directed,1,9,Exchange,Bobby Mahon
20,1,Frank Mahon,Bobby Mahon,Directed,1,9,Exchange,Bobby Mahon
49,22,Eamonn Burke,Pokey Burke,Directed,1,10,Exchange,Bobby Mahon
50,1,Mickey Briars,Bobby Mahon,Directed,1,10,Exchange,Bobby Mahon
1,50,Bobby Mahon,Mickey Briars,Directed,1,10,Exchange,Bobby Mahon
50,52,Mickey Briars,"""the boys"" (who worked for Pokey)",Directed,1,10,Exchange,Bobby Mahon
22,49,Pokey Burke,Eamonn Burke,Directed,1,10,Exchange,Bobby Mahon
2,147,Josie Burke,The parish,Directed,1,10,Exchange,Bobby Mahon
147,2,The parish,Josie Burke,Directed,1,10,Exchange,Bobby Mahon
52,50,"""the boys"" (who worked for Pokey)",Mickey Briars,Directed,1,10,Exchange,Bobby Mahon
6,50,Timmy Hanrahan,Mickey Briars,Directed,1,11,Exchange,Bobby Mahon
50,52,Mickey Briars,"""the boys"" (who worked for Pokey)",Directed,1,11,Exchange,Bobby Mahon
22,1,Pokey Burke,Bobby Mahon,Directed,1,11,Exchange,Bobby Mahon
50,22,Mickey Briars,Pokey Burke,Directed,1,11,Exchange,Bobby Mahon
50,1,Mickey Briars,Bobby Mahon,Directed,1,11,Exchange,Bobby Mahon
22,50,Pokey Burke,Mickey Briars,Directed,1,11,Exchange,Bobby Mahon
52,6,"""the boys"" (who worked for Pokey)",Timmy Hanrahan,Directed,1,11,Exchange,Bobby Mahon
50,6,Mickey Briars,Timmy Hanrahan,Directed,1,11,Exchange,Bobby Mahon
6,52,Timmy Hanrahan,"""the boys"" (who worked for Pokey)",Directed,1,11,Exchange,Bobby Mahon
1,6,Bobby Mahon,Timmy Hanrahan,Directed,1,11,Exchange,Bobby Mahon
1,22,Bobby Mahon,Pokey Burke,Directed,1,11,Exchange,Bobby Mahon
52,50,"""the boys"" (who worked for Pokey)",Mickey Briars,Directed,1,11,Exchange,Bobby Mahon
1,50,Bobby Mahon,Mickey Briars,Directed,1,11,Exchange,Bobby Mahon
6,1,Timmy Hanrahan,Bobby Mahon,Directed,1,11,Exchange,Bobby Mahon
51,1,"""little blonde girl""",Bobby Mahon,Directed,1,12,Exchange,Bobby Mahon
21,1,Triona Cahill/Mahon,Bobby Mahon,Directed,1,12,Exchange,Bobby Mahon
1,51,Bobby Mahon,"""little blonde girl""",Directed,1,12,Exchange,Bobby Mahon
1,21,Bobby Mahon,Triona Cahill/Mahon,Directed,1,12,Exchange,Bobby Mahon
53,21,"""smart boys""",Triona Cahill/Mahon,Directed,1,13,Exchange,Bobby Mahon
20,1,Frank Mahon,Bobby Mahon,Directed,1,13,Exchange,Bobby Mahon
21,53,Triona Cahill/Mahon,"""smart boys""",Directed,1,13,Exchange,Bobby Mahon
1,21,Bobby Mahon,Triona Cahill/Mahon,Directed,1,13,Exchange,Bobby Mahon
1,20,Bobby Mahon,Frank Mahon,Directed,1,13,Exchange,Bobby Mahon
33,55,Eugene Penrose,the Cunliffes' son,Directed,1,13,Exchange,Bobby Mahon
21,1,Triona Cahill/Mahon,Bobby Mahon,Directed,1,13,Exchange,Bobby Mahon
1,2,Bobby Mahon,Josie Burke,Directed,1,14,Exchange,Bobby Mahon
60,59,Pawsy Rogers,"""a lad from the village""",Directed,1,14,Exchange,Bobby Mahon
21,1,Triona Cahill/Mahon,Bobby Mahon,Directed,1,14,Exchange,Bobby Mahon
2,1,Josie Burke,Bobby Mahon,Directed,1,14,Exchange,Bobby Mahon
59,60,"""a lad from the village""",Pawsy Rogers,Directed,1,14,Exchange,Bobby Mahon
1,21,Bobby Mahon,Triona Cahill/Mahon,Directed,1,14,Exchange,Bobby Mahon
1,21,Bobby Mahon,Triona Cahill/Mahon,Directed,1,15,Exchange,Bobby Mahon
1,2,Bobby Mahon,Josie Burke,Directed,1,15,Exchange,Bobby Mahon
2,1,Josie Burke,Bobby Mahon,Directed,1,15,Exchange,Bobby Mahon
21,1,Triona Cahill/Mahon,Bobby Mahon,Directed,1,15,Exchange,Bobby Mahon
71,70,Seanie's sister,Seanie's brothers,Directed,1,16,Exchange,Bobby Mahon
69,12,Seanie's Mother,Seanie Shaper (Sean Shanahan),Directed,1,16,Exchange,Bobby Mahon
12,68,Seanie Shaper (Sean Shanahan),Seanie's Father,Directed,1,16,Exchange,Bobby Mahon
12,69,Seanie Shaper (Sean Shanahan),Seanie's Mother,Directed,1,16,Exchange,Bobby Mahon
68,71,Seanie's Father,Seanie's sister,Directed,1,16,Exchange,Bobby Mahon
71,12,Seanie's sister,Seanie Shaper (Sean Shanahan),Directed,1,16,Exchange,Bobby Mahon
69,70,Seanie's Mother,Seanie's brothers,Directed,1,16,Exchange,Bobby Mahon
71,68,Seanie's sister,Seanie's Father,Directed,1,16,Exchange,Bobby Mahon
71,69,Seanie's sister,Seanie's Mother,Directed,1,16,Exchange,Bobby Mahon
70,69,Seanie's brothers,Seanie's Mother,Directed,1,16,Exchange,Bobby Mahon
68,70,Seanie's Father,Seanie's brothers,Directed,1,16,Exchange,Bobby Mahon
12,70,Seanie Shaper (Sean Shanahan),Seanie's brothers,Directed,1,16,Exchange,Bobby Mahon
70,12,Seanie's brothers,Seanie Shaper (Sean Shanahan),Directed,1,16,Exchange,Bobby Mahon
