source,target,Character 1,Character 2,type,weight,startPage,category
20,46,Frank Mahon,"Bobby's ""Grandad""",Directed,1,9,Knows
46,20,"Bobby's ""Grandad""",Frank Mahon,Directed,1,9,Knows
1,46,Bobby Mahon,"Bobby's ""Grandad""",Directed,1,9,Knows
20,1,Frank Mahon,Bobby Mahon,Directed,1,9,Exchange
1,20,Bobby Mahon,Frank Mahon,Directed,1,9,Exchange
1,147,Bobby Mahon,The parish,Directed,1,10,Knows
49,48,Eamonn Burke,Eileen Burke,Directed,1,10,Knows
147,2,The parish,Josie Burke,Directed,1,10,Exchange
49,22,Eamonn Burke,Pokey Burke,Directed,1,10,Exchange
22,20,Pokey Burke,Frank Mahon,Directed,1,10,Knows
2,49,Josie Burke,Eamonn Burke,Directed,1,10,Knows
22,48,Pokey Burke,Eileen Burke,Directed,1,10,Knows
2,22,Josie Burke,Pokey Burke,Directed,1,10,Knows
48,47,Eileen Burke,"""the Pope"" (Seán Pól) (10)",Directed,1,10,Knows of
2,1,Josie Burke,Bobby Mahon,Directed,1,10,Knows
22,147,Pokey Burke,The parish,Directed,1,10,Knows
147,1,The parish,Bobby Mahon,Directed,1,10,Knows
22,2,Pokey Burke,Josie Burke,Directed,1,10,Knows
1,50,Bobby Mahon,Mickey Briars,Directed,1,10,Exchange
48,2,Eileen Burke,Josie Burke,Directed,1,10,Knows
1,2,Bobby Mahon,Josie Burke,Directed,1,10,Knows
2,48,Josie Burke,Eileen Burke,Directed,1,10,Knows
50,1,Mickey Briars,Bobby Mahon,Directed,1,10,Exchange
22,49,Pokey Burke,Eamonn Burke,Directed,1,10,Exchange
1,52,Bobby Mahon,"""the boys"" (who worked for Pokey) (12)",Directed,1,10,Knows of
2,147,Josie Burke,The parish,Directed,1,10,Exchange
1,47,Bobby Mahon,"""the Pope"" (Seán Pól) (10)",Directed,1,10,Knows of
48,49,Eileen Burke,Eamonn Burke,Directed,1,10,Knows
1,22,Bobby Mahon,Pokey Burke,Directed,1,10,Knows
22,47,Pokey Burke,"""the Pope"" (Seán Pól) (10)",Directed,1,10,Knows of
20,22,Frank Mahon,Pokey Burke,Directed,1,10,Knows
2,47,Josie Burke,"""the Pope"" (Seán Pól) (10)",Directed,1,10,Knows of
20,1,Frank Mahon,Bobby Mahon,Directed,1,10,Knows
48,22,Eileen Burke,Pokey Burke,Directed,1,10,Knows
52,50,"""the boys"" (who worked for Pokey) (12)",Mickey Briars,Directed,1,10,Exchange
22,1,Pokey Burke,Bobby Mahon,Directed,1,10,Knows
1,48,Bobby Mahon,Eileen Burke,Directed,1,10,Knows
1,49,Bobby Mahon,Eamonn Burke,Directed,1,10,Knows of
50,52,Mickey Briars,"""the boys"" (who worked for Pokey) (12)",Directed,1,10,Exchange
49,2,Eamonn Burke,Josie Burke,Directed,1,10,Knows
1,20,Bobby Mahon,Frank Mahon,Directed,1,10,Knows
147,22,The parish,Pokey Burke,Directed,1,10,Knows
6,1,Timmy Hanrahan,Bobby Mahon,Directed,1,11,Exchange
1,22,Bobby Mahon,Pokey Burke,Directed,1,11,Exchange
1,12,Bobby Mahon,Seanie Shaper (Sean Shanahan),Directed,1,11,Knows
1,6,Bobby Mahon,Timmy Hanrahan,Directed,1,11,Exchange
52,6,"""the boys"" (who worked for Pokey) (12)",Timmy Hanrahan,Directed,1,11,Exchange
6,52,Timmy Hanrahan,"""the boys"" (who worked for Pokey) (12)",Directed,1,11,Exchange
