id,Name
59,"""a lad from the village"" (14)"
139,"""apprentices"" (45)"
23,"""big fat cop"" (76)"
146,"""C2 boys"" (47)"
30,"""fat nonce"" (77)"
137,"""floozies"" (45)"
120,"""foreigners"" (where Vasya is from) (36)"
82,"""four or five boys"" (Josie brought with him) (23)"
81,"""great big fat fella"" (Josie worked for) (23)"
92,"""guards"" (26)"
51,"""little blonde girl"" (12)"
122,"""men and women...who have no work"" (37)"
26,"""next prick"" (77)"
138,"""old biddies"" (45)"
97,"""old farmers"" (28)"
74,"""old guard in front of Ciss's front bar"" (17)"
86,"""other teachers"" (26)"
144,"""scumbags"" (46)"
53,"""smart boys"" (12)"
52,"""the boys"" (who worked for Pokey) (12)"
140,"""the cute arses"" (45)"
47,"""the Pope"" (Seán Pól) (10)"
99,"""young fella"" (28)"
87,"""young lads"" (26)"
0,"[NULL]"
78,"Actor (playing the husband)"
79,"Actress (playing the wife)"
133,"Auctioneer"
95,"Bernie McDermott"
1,"Bobby Mahon"
46,"Bobby's ""Grandad"""
54,"Bobby's Mother"
7,"Brian"
40,"Bridget"
9,"Bridie"
142,"Builders"
135,"camera crew"
111,"Child (of the man Vasya worked with)"
72,"Ciss Brien"
42,"Colin Firth"
24,"Cops (general)"
64,"Cordelia"
17,"Denis"
38,"Dylan (Réaltín's son)"
49,"Eamonn Burke"
91,"Eamonn's children"
48,"Eileen Burke"
33,"Eugene Penrose"
98,"fella ""with a toughie English accent"" (28)"
20,"Frank Mahon"
37,"George"
43,"George Clooney"
143,"Girlfriend (of the man who calls George's firm)"
67,"God"
62,"Goneril"
11,"Hillary"
44,"Hillary's father"
45,"Hillary's grandmother"
102,"Hughie"
103,"Hughie's wife"
10,"Jason"
25,"Jason's ex-girlfriend"
29,"Jason's father"
28,"Jason's mother"
27,"Jason's son"
90,"Jesus"
19,"Jim Gildea"
85,"John Cotter"
100,"John-John"
2,"Josie Burke"
84,"Josie Burke Sr."
13,"Kate"
61,"King Lear"
3,"Lily"
101,"Lily's children"
93,"Lily's fifth child"
107,"Lily's fifth child's girlfriend"
108,"Lily's fifth child's girlfriend's mother"
105,"Lily's Mother"
14,"Lloyd"
125,"local militiaman"
32,"mad auld culchie"
18,"Mags Burke"
131,"Man (inside The Miner's Rest)"
109,"Man (Vasya worked with)"
141,"Man (who calls George's firm)"
75,"Men (Frank didn't like)"
145,"Men (outside of Réaltín's house)"
128,"Men (Vasya lives with)"
96,"Men (who come see Lily)"
127,"Men (who planned to travel to Western Europe)"
123,"Men (who worked with Vasya and her brother)"
50,"Mickey Briars"
94,"midwife"
16,"Millicent"
129,"Neighbour"
130,"Neighbour's baby"
132,"Others (inside The Miner's Rest)"
73,"Paulie Jackman"
60,"Pawsy Rogers"
41,"people at the bridge festival"
22,"Pokey Burke"
126,"Policeman (who talks to Vasya)"
119,"Polish men"
63,"Regan"
15,"Rory Slattery"
118,"Russian men"
5,"Réaltín"
134,"Réaltín's mother"
12,"Seanie Shaper"
70,"Seanie's brothers"
68,"Seanie's Father"
136,"Seanie's friends"
69,"Seanie's Mother"
71,"Seanie's sister"
31,"shitbags in the welfare office"
34,"some farmer lad"
35,"Tattoo artist"
36,"Tattoo shop girl"
65,"taxman"
57,"the Cunliffes"
55,"the Cunliffes' son"
58,"the Cunliffes' son's aunt"
117,"The Latvians"
106,"The McDermotts"
56,"the Penroses"
80,"Tibetan Monks"
6,"Timmy Hanrahan"
39,"Tom (Réaltín's father)"
8,"Trevor"
21,"Triona"
77,"Triona's friend"
4,"Vasya Afanasiev"
124,"Vasya's boss"
114,"Vasya's family"
115,"Vasya's Father"
116,"Vasya's grandfather"
112,"Vasya's Mother"
113,"Vasya's mother's mother"
121,"Viktor Afanasiev"
66,"welfare inspectors"
110,"Wife (of the man Vasya worked with)"
76,"Women (""common whores"") (17)"
88,"Yvonne Burke"
89,"Yvonne's family"
