id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
1,"Bobby","level 1 (section)","9","20","Bobby","[NULL]","[NULL]"
2,"Josie","level 1 (section)","21","26","Josie","[NULL]","[NULL]"
3,"Lily","level 1 (section)","27","34","Lily","[NULL]","[NULL]"
4,"Vasya","level 1 (section)","35","41","Vasya","[NULL]","[NULL]"
5,"Réaltín","level 1 (section)","42","48","Réaltín","[NULL]","[NULL]"
6,"Timmy","level 1 (section)","49","55","Timmy","[NULL]","[NULL]"
7,"Brian","level 1 (section)","56","61","Brian","[NULL]","[NULL]"
8,"Trevor","level 1 (section)","62","67","Trevor","[NULL]","[NULL]"
9,"Bridie","level 1 (section)","68","75","Bridie","[NULL]","[NULL]"
10,"Jason","level 1 (section)","76","81","Jason","[NULL]","[NULL]"
11,"Hillary","level 1 (section)","82","89","Hillary","[NULL]","[NULL]"
12,"Seanie","level 1 (section)","90","96","Seanie","[NULL]","[NULL]"
13,"Kate","level 1 (section)","97","102","Kate","[NULL]","[NULL]"
14,"Lloyd","level 1 (section)","103","107","Lloyd","[NULL]","[NULL]"
15,"Rory","level 1 (section)","108","113","Rory","[NULL]","[NULL]"
16,"Millicent","level 1 (section)","114","119","Millicent","[NULL]","[NULL]"
17,"Denis","level 1 (section)","120","125","Denis","[NULL]","[NULL]"
18,"Mags","level 1 (section)","126","131","Mags","[NULL]","[NULL]"
19,"Jim","level 1 (section)","132","138","Jim","[NULL]","[NULL]"
20,"Frank","level 1 (section)","139","145","Frank","[NULL]","[NULL]"
21,"Triona","level 1 (section)","146","156","Triona","[NULL]","[NULL]"
