source,target,Character 1,Character 2,type,weight,startPage,category
9,8,Atticus Finch,Jem Finch,Directed,1,3,Exchange
9,5,Atticus Finch,Scout Finch,Directed,1,3,Exchange
5,8,Scout Finch,Jem Finch,Directed,1,3,Exchange
8,5,Jem Finch,Scout Finch,Directed,1,3,Exchange
5,9,Scout Finch,Atticus Finch,Directed,1,3,Exchange
8,9,Jem Finch,Atticus Finch,Directed,1,3,Exchange
16,21,Simon Finch,Simon Finch's wife,Directed,1,4,Exchange
21,16,Simon Finch's wife,Simon Finch,Directed,1,4,Exchange
20,16,"""Three slaves""",Simon Finch,Directed,1,4,Exchange
16,20,Simon Finch,"""Three slaves""",Directed,1,4,Exchange
9,125,Atticus Finch,Judge Taylor,Directed,1,5,Exchange
23,7,Jimmy Hancock,Alexandra Finch,Directed,1,5,Exchange
125,9,Judge Taylor,Atticus Finch,Directed,1,5,Exchange
7,23,Alexandra Finch,Jimmy Hancock,Directed,1,5,Exchange
26,28,The Haverfords,Maycomb's leading blacksmith,Directed,1,5,Exchange
26,9,The Haverfords,Atticus Finch,Directed,1,5,Exchange
9,26,Atticus Finch,The Haverfords,Directed,1,5,Exchange
28,26,Maycomb's leading blacksmith,The Haverfords,Directed,1,5,Exchange
125,26,Judge Taylor,The Haverfords,Directed,1,5,Exchange
26,125,The Haverfords,Judge Taylor,Directed,1,5,Exchange
6,5,Dill Harris,Scout Finch,Directed,1,8,Exchange
6,8,Dill Harris,Jem Finch,Directed,1,8,Exchange
8,6,Jem Finch,Dill Harris,Directed,1,8,Exchange
8,5,Jem Finch,Scout Finch,Directed,1,8,Exchange
5,8,Scout Finch,Jem Finch,Directed,1,8,Exchange
5,6,Scout Finch,Dill Harris,Directed,1,8,Exchange
8,6,Jem Finch,Dill Harris,Directed,1,9,Exchange
5,8,Scout Finch,Jem Finch,Directed,1,9,Exchange
8,5,Jem Finch,Scout Finch,Directed,1,9,Exchange
6,5,Dill Harris,Scout Finch,Directed,1,9,Exchange
5,6,Scout Finch,Dill Harris,Directed,1,9,Exchange
6,8,Dill Harris,Jem Finch,Directed,1,9,Exchange
49,125,Mr. Conner,Judge Taylor,Directed,1,12,Exchange
4,3,Test 4,Test 3,Directed,1,12,Exchange
10,48,Boo Radley,The Cunninghams,Directed,1,12,Exchange
3,4,Test 3,Test 4,Directed,1,12,Exchange
10,49,Boo Radley,Mr. Conner,Directed,1,12,Exchange
49,48,Mr. Conner,The Cunninghams,Directed,1,12,Exchange
10,125,Boo Radley,Judge Taylor,Directed,1,12,Exchange
125,49,Judge Taylor,Mr. Conner,Directed,1,12,Exchange
125,48,Judge Taylor,The Cunninghams,Directed,1,12,Exchange
48,125,The Cunninghams,Judge Taylor,Directed,1,12,Exchange
48,10,The Cunninghams,Boo Radley,Directed,1,12,Exchange
49,10,Mr. Conner,Boo Radley,Directed,1,12,Exchange
48,49,The Cunninghams,Mr. Conner,Directed,1,12,Exchange
125,10,Judge Taylor,Boo Radley,Directed,1,12,Exchange
10,69,Boo Radley,Several people who see Boo,Directed,1,13,Exchange
47,125,Mr. Radley,Judge Taylor,Directed,1,13,Exchange
10,48,Boo Radley,The Cunninghams,Directed,1,13,Exchange
51,8,Miss Stephanie Crawford,Jem Finch,Directed,1,13,Exchange
4,3,Test 4,Test 3,Directed,1,13,Exchange
48,10,The Cunninghams,Boo Radley,Directed,1,13,Exchange
69,10,Several people who see Boo,Boo Radley,Directed,1,13,Exchange
8,51,Jem Finch,Miss Stephanie Crawford,Directed,1,13,Exchange
125,47,Judge Taylor,Mr. Radley,Directed,1,13,Exchange
3,4,Test 3,Test 4,Directed,1,13,Exchange
8,47,Jem Finch,Mr. Radley,Directed,1,14,Exchange
47,11,Mr. Radley,Heck Tate,Directed,1,14,Exchange
5,45,Scout Finch,Mrs. Radley,Directed,1,14,Exchange
5,47,Scout Finch,Mr. Radley,Directed,1,14,Exchange
47,8,Mr. Radley,Jem Finch,Directed,1,14,Exchange
4,3,Test 4,Test 3,Directed,1,14,Exchange
3,4,Test 3,Test 4,Directed,1,14,Exchange
47,5,Mr. Radley,Scout Finch,Directed,1,14,Exchange
8,51,Jem Finch,Miss Stephanie Crawford,Directed,1,14,Exchange
11,47,Heck Tate,Mr. Radley,Directed,1,14,Exchange
10,11,Boo Radley,Heck Tate,Directed,1,14,Exchange
11,10,Heck Tate,Boo Radley,Directed,1,14,Exchange
5,51,Scout Finch,Miss Stephanie Crawford,Directed,1,14,Exchange
51,8,Miss Stephanie Crawford,Jem Finch,Directed,1,14,Exchange
51,5,Miss Stephanie Crawford,Scout Finch,Directed,1,14,Exchange
60,10,Dr. Reynolds,Boo Radley,Directed,1,15,Exchange
6,5,Dill Harris,Scout Finch,Directed,1,15,Exchange
8,5,Jem Finch,Scout Finch,Directed,1,15,Exchange
8,24,Jem Finch,Calpurnia,Directed,1,15,Exchange
8,6,Jem Finch,Dill Harris,Directed,1,15,Exchange
60,47,Dr. Reynolds,Mr. Radley,Directed,1,15,Exchange
60,45,Dr. Reynolds,Mrs. Radley,Directed,1,15,Exchange
5,6,Scout Finch,Dill Harris,Directed,1,15,Exchange
5,24,Scout Finch,Calpurnia,Directed,1,15,Exchange
5,8,Scout Finch,Jem Finch,Directed,1,15,Exchange
6,8,Dill Harris,Jem Finch,Directed,1,15,Exchange
