source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
5,13,Scout Finch,General Andrew Jackson,Directed,1,3,Knows of,Scout Finch
6,9,Dill Harris,Atticus Finch,Directed,1,3,Knows,Scout Finch
9,8,Atticus Finch,Jem Finch,Directed,1,3,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,3,Exchange,Scout Finch
8,10,Jem Finch,Boo Radley,Directed,1,3,Knows,Scout Finch
9,6,Atticus Finch,Dill Harris,Directed,1,3,Knows,Scout Finch
5,14,Scout Finch,Bob Ewell,Directed,1,3,Knows,Scout Finch
15,5,Mayella Ewell,Scout Finch,Directed,1,3,Knows,Scout Finch
10,5,Boo Radley,Scout Finch,Directed,1,3,Knows,Scout Finch
8,16,Jem Finch,Simon Finch,Directed,1,3,Knows of,Scout Finch
16,9,Simon Finch,Atticus Finch,Directed,1,3,Knows,Scout Finch
15,8,Mayella Ewell,Jem Finch,Directed,1,3,Knows,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,3,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,3,Knows,Scout Finch
15,9,Mayella Ewell,Atticus Finch,Directed,1,3,Knows,Scout Finch
14,5,Bob Ewell,Scout Finch,Directed,1,3,Knows,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,3,Knows,Scout Finch
8,9,Jem Finch,Atticus Finch,Directed,1,3,Exchange,Scout Finch
8,14,Jem Finch,Bob Ewell,Directed,1,3,Knows,Scout Finch
5,9,Scout Finch,Atticus Finch,Directed,1,3,Exchange,Scout Finch
9,5,Atticus Finch,Scout Finch,Directed,1,3,Exchange,Scout Finch
14,9,Bob Ewell,Atticus Finch,Directed,1,3,Knows,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,3,Knows,Scout Finch
10,9,Boo Radley,Atticus Finch,Directed,1,3,Knows,Scout Finch
6,10,Dill Harris,Boo Radley,Directed,1,3,Knows of,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,3,Knows,Scout Finch
10,8,Boo Radley,Jem Finch,Directed,1,3,Knows,Scout Finch
9,14,Atticus Finch,Bob Ewell,Directed,1,3,Knows,Scout Finch
9,16,Atticus Finch,Simon Finch,Directed,1,3,Knows,Scout Finch
5,16,Scout Finch,Simon Finch,Directed,1,3,Knows of,Scout Finch
16,13,Simon Finch,General Andrew Jackson,Directed,1,3,Knows of,Scout Finch
10,6,Boo Radley,Dill Harris,Directed,1,3,Knows of,Scout Finch
9,10,Atticus Finch,Boo Radley,Directed,1,3,Knows,Scout Finch
9,15,Atticus Finch,Mayella Ewell,Directed,1,3,Knows,Scout Finch
8,15,Jem Finch,Mayella Ewell,Directed,1,3,Knows,Scout Finch
5,10,Scout Finch,Boo Radley,Directed,1,3,Knows,Scout Finch
14,8,Bob Ewell,Jem Finch,Directed,1,3,Knows,Scout Finch
13,9,General Andrew Jackson,Atticus Finch,Directed,1,3,Knows of,Scout Finch
5,15,Scout Finch,Mayella Ewell,Directed,1,3,Knows,Scout Finch
