narrContainer_id,narrContainer_title,narrContainer_level_id_fk,narrContainer_startPage,narrContainer_endPage,narrContainer_narrator_character_id_fk,narrContainer_protagonist_id_fk,narrContainer_embeddedContainerType_id_fk
1,Test A,0,6,8,1,1,0
2,Test B,0,11,17,1,1,0
3,Part One,0,1,150,5,5,0
4,Part Two,0,151,376,5,5,0
5,1,1,3,19,5,5,0
6,2,1,20,29,5,5,0
7,3,1,30,42,5,5,0
8,4,1,43,54,5,5,0
9,5,1,55,66,5,5,0
10,6,1,67,76,5,5,0
11,7,1,77,84,5,5,0
12,8,1,85,98,5,5,0
13,9,1,99,117,5,5,0
14,10,1,118,131,5,5,0
15,11,1,132,149,5,5,0
16,12,1,153,168,5,5,0
17,13,1,169,179,5,5,0
18,14,1,180,192,5,5,0
19,15,1,193,207,5,5,0
20,16,1,208,221,5,5,0
21,17,1,222,238,5,5,0
22,18,1,239,253,5,5,0
23,19,1,254,266,5,5,0
24,20,1,267,275,5,5,0
25,21,1,276,283,5,5,0
26,22,1,284,290,5,5,0
27,23,1,291,304,5,5,0
28,24,1,305,318,5,5,0
29,25,1,319,323,5,5,0
30,26,1,324,331,5,5,0
31,27,1,332,340,5,5,0
32,28,1,341,357,5,5,0
33,29,1,358,362,5,5,0
34,30,1,363,370,5,5,0
35,31,1,371,376,5,5,0
