source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,4,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,4,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,5,Exchange,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,5,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,6,Exchange,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,6,Exchange,[NULL]
143,145,Doña Maria,Sol,Directed,1,7,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,7,Exchange,[NULL]
145,143,Sol,Doña Maria,Directed,1,7,Exchange,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,7,Exchange,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,7,Exchange,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,7,Exchange,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,8,Exchange,[NULL]
156,143,Lupe,Doña Maria,Directed,1,8,Exchange,[NULL]
143,156,Doña Maria,Lupe,Directed,1,8,Exchange,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,8,Exchange,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,9,Exchange,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,9,Exchange,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,10,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,10,Exchange,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,11,Exchange,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,11,Exchange,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,13,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,13,Exchange,[NULL]
98,159,Bobby Ngu,Car Jacker,Directed,1,14,Exchange,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,14,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,14,Exchange,[NULL]
159,98,Car Jacker,Bobby Ngu,Directed,1,14,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,15,Exchange,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,15,Exchange,[NULL]
98,209,Bobby Ngu,nighttime guard,Directed,1,16,Exchange,[NULL]
161,166,Bobby's Brother,Refugee Camp Guards,Directed,1,16,Exchange,[NULL]
209,98,nighttime guard,Bobby Ngu,Directed,1,16,Exchange,[NULL]
166,98,Refugee Camp Guards,Bobby Ngu,Directed,1,16,Exchange,[NULL]
162,98,Bobby's Father,Bobby Ngu,Directed,1,16,Exchange,[NULL]
98,161,Bobby Ngu,Bobby's Brother,Directed,1,16,Exchange,[NULL]
166,161,Refugee Camp Guards,Bobby's Brother,Directed,1,16,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,16,Exchange,[NULL]
98,166,Bobby Ngu,Refugee Camp Guards,Directed,1,16,Exchange,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,16,Exchange,[NULL]
98,162,Bobby Ngu,Bobby's Father,Directed,1,16,Exchange,[NULL]
161,98,Bobby's Brother,Bobby Ngu,Directed,1,16,Exchange,[NULL]
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,17,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,17,Exchange,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,17,Exchange,[NULL]
162,98,Bobby's Father,Bobby Ngu,Directed,1,17,Exchange,[NULL]
98,162,Bobby Ngu,Bobby's Father,Directed,1,17,Exchange,[NULL]
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,17,Exchange,[NULL]
98,162,Bobby Ngu,Bobby's Father,Directed,1,18,Exchange,[NULL]
69,72,Gabriel Balboa,Emi,Directed,1,18,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,18,Exchange,[NULL]
162,98,Bobby's Father,Bobby Ngu,Directed,1,18,Exchange,[NULL]
69,72,Gabriel Balboa,Emi,Directed,1,19,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,19,Exchange,[NULL]
69,72,Gabriel Balboa,Emi,Directed,1,20,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,20,Exchange,[NULL]
72,184,Emi,Emi's Mother,Directed,1,21,Exchange,[NULL]
69,72,Gabriel Balboa,Emi,Directed,1,21,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,21,Exchange,[NULL]
184,72,Emi's Mother,Emi,Directed,1,21,Exchange,[NULL]
69,72,Gabriel Balboa,Emi,Directed,1,22,Exchange,[NULL]
184,72,Emi's Mother,Emi,Directed,1,22,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,22,Exchange,[NULL]
72,184,Emi,Emi's Mother,Directed,1,22,Exchange,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,23,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,23,Exchange,[NULL]
69,72,Gabriel Balboa,Emi,Directed,1,23,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,23,Exchange,[NULL]
72,69,Emi,Gabriel Balboa,Directed,1,24,Exchange,[NULL]
