source,target,Char 1 Name,Char 2 Name,startPage,type,weight
98,66,Bobby Ngu,Rafaela Cortes,4,Undirected,1
69,149,Gabriel Balboa,Rodriguez,4,Undirected,1
145,149,Sol,Rodriguez,4,Undirected,1
66,145,Rafaela Cortes,Sol,4,Undirected,1
98,69,Bobby Ngu,Gabriel Balboa,4,Undirected,1
98,149,Bobby Ngu,Rodriguez,4,Undirected,1
98,145,Bobby Ngu,Sol,4,Undirected,1
69,145,Gabriel Balboa,Sol,4,Undirected,1
66,69,Rafaela Cortes,Gabriel Balboa,4,Undirected,1
66,149,Rafaela Cortes,Rodriguez,4,Undirected,1
66,152,Rafaela Cortes,Gabriel's Grandfather,5,Undirected,1
150,151,Pancho Villa,Gabriel's Grandmother,5,Undirected,1
69,150,Gabriel Balboa,Pancho Villa,5,Undirected,1
66,69,Rafaela Cortes,Gabriel Balboa,5,Undirected,1
149,152,Rodriguez,Gabriel's Grandfather,5,Undirected,1
151,152,Gabriel's Grandmother,Gabriel's Grandfather,5,Undirected,1
96,149,workers at Gabriel's house,Rodriguez,5,Undirected,1
98,152,Bobby Ngu,Gabriel's Grandfather,5,Undirected,1
66,151,Rafaela Cortes,Gabriel's Grandmother,5,Undirected,1
96,152,workers at Gabriel's house,Gabriel's Grandfather,5,Undirected,1
98,149,Bobby Ngu,Rodriguez,5,Undirected,1
96,98,workers at Gabriel's house,Bobby Ngu,5,Undirected,1
96,66,workers at Gabriel's house,Rafaela Cortes,5,Undirected,1
96,69,workers at Gabriel's house,Gabriel Balboa,5,Undirected,1
98,66,Bobby Ngu,Rafaela Cortes,5,Undirected,1
69,149,Gabriel Balboa,Rodriguez,5,Undirected,1
98,69,Bobby Ngu,Gabriel Balboa,5,Undirected,1
69,152,Gabriel Balboa,Gabriel's Grandfather,5,Undirected,1
149,151,Rodriguez,Gabriel's Grandmother,5,Undirected,1
96,151,workers at Gabriel's house,Gabriel's Grandmother,5,Undirected,1
98,151,Bobby Ngu,Gabriel's Grandmother,5,Undirected,1
66,150,Rafaela Cortes,Pancho Villa,5,Undirected,1
150,152,Pancho Villa,Gabriel's Grandfather,5,Undirected,1
69,151,Gabriel Balboa,Gabriel's Grandmother,5,Undirected,1
149,150,Rodriguez,Pancho Villa,5,Undirected,1
96,150,workers at Gabriel's house,Pancho Villa,5,Undirected,1
98,150,Bobby Ngu,Pancho Villa,5,Undirected,1
66,149,Rafaela Cortes,Rodriguez,5,Undirected,1
66,152,Rafaela Cortes,Gabriel's Grandfather,6,Undirected,1
145,152,Sol,Gabriel's Grandfather,6,Undirected,1
151,152,Gabriel's Grandmother,Gabriel's Grandfather,6,Undirected,1
98,66,Bobby Ngu,Rafaela Cortes,6,Undirected,1
98,152,Bobby Ngu,Gabriel's Grandfather,6,Undirected,1
98,69,Bobby Ngu,Gabriel Balboa,6,Undirected,1
66,145,Rafaela Cortes,Sol,6,Undirected,1
66,151,Rafaela Cortes,Gabriel's Grandmother,6,Undirected,1
69,152,Gabriel Balboa,Gabriel's Grandfather,6,Undirected,1
98,145,Bobby Ngu,Sol,6,Undirected,1
69,145,Gabriel Balboa,Sol,6,Undirected,1
69,151,Gabriel Balboa,Gabriel's Grandmother,6,Undirected,1
145,151,Sol,Gabriel's Grandmother,6,Undirected,1
98,151,Bobby Ngu,Gabriel's Grandmother,6,Undirected,1
66,69,Rafaela Cortes,Gabriel Balboa,6,Undirected,1
146,148,Pepe,Rafaela's Mother,7,Undirected,1
145,146,Sol,Pepe,7,Undirected,1
143,145,Doña Maria,Sol,7,Undirected,1
143,148,Doña Maria,Rafaela's Mother,7,Undirected,1
66,69,Rafaela Cortes,Gabriel Balboa,7,Undirected,1
98,143,Bobby Ngu,Doña Maria,7,Undirected,1
66,148,Rafaela Cortes,Rafaela's Mother,7,Undirected,1
98,146,Bobby Ngu,Pepe,7,Undirected,1
66,145,Rafaela Cortes,Sol,7,Undirected,1
145,148,Sol,Rafaela's Mother,7,Undirected,1
69,143,Gabriel Balboa,Doña Maria,7,Undirected,1
69,146,Gabriel Balboa,Pepe,7,Undirected,1
98,66,Bobby Ngu,Rafaela Cortes,7,Undirected,1
98,69,Bobby Ngu,Gabriel Balboa,7,Undirected,1
98,145,Bobby Ngu,Sol,7,Undirected,1
98,148,Bobby Ngu,Rafaela's Mother,7,Undirected,1
143,146,Doña Maria,Pepe,7,Undirected,1
69,148,Gabriel Balboa,Rafaela's Mother,7,Undirected,1
69,145,Gabriel Balboa,Sol,7,Undirected,1
66,146,Rafaela Cortes,Pepe,7,Undirected,1
66,143,Rafaela Cortes,Doña Maria,7,Undirected,1
154,155,Rafaela's Father,Rafaela's Great-Great-Grandfather,8,Undirected,1
66,158,Rafaela Cortes,Hernando (Dona Maria's son),8,Undirected,1
98,156,Bobby Ngu,Lupe,8,Undirected,1
66,155,Rafaela Cortes,Rafaela's Great-Great-Grandfather,8,Undirected,1
145,155,Sol,Rafaela's Great-Great-Grandfather,8,Undirected,1
154,158,Rafaela's Father,Hernando (Dona Maria's son),8,Undirected,1
145,158,Sol,Hernando (Dona Maria's son),8,Undirected,1
156,158,Lupe,Hernando (Dona Maria's son),8,Undirected,1
143,145,Doña Maria,Sol,8,Undirected,1
143,148,Doña Maria,Rafaela's Mother,8,Undirected,1
143,154,Doña Maria,Rafaela's Father,8,Undirected,1
155,156,Rafaela's Great-Great-Grandfather,Lupe,8,Undirected,1
98,143,Bobby Ngu,Doña Maria,8,Undirected,1
66,148,Rafaela Cortes,Rafaela's Mother,8,Undirected,1
66,145,Rafaela Cortes,Sol,8,Undirected,1
148,156,Rafaela's Mother,Lupe,8,Undirected,1
98,155,Bobby Ngu,Rafaela's Great-Great-Grandfather,8,Undirected,1
66,154,Rafaela Cortes,Rafaela's Father,8,Undirected,1
145,148,Sol,Rafaela's Mother,8,Undirected,1
98,158,Bobby Ngu,Hernando (Dona Maria's son),8,Undirected,1
145,154,Sol,Rafaela's Father,8,Undirected,1
98,66,Bobby Ngu,Rafaela Cortes,8,Undirected,1
143,156,Doña Maria,Lupe,8,Undirected,1
155,158,Rafaela's Great-Great-Grandfather,Hernando (Dona Maria's son),8,Undirected,1
98,145,Bobby Ngu,Sol,8,Undirected,1
148,155,Rafaela's Mother,Rafaela's Great-Great-Grandfather,8,Undirected,1
