source,target,Character 1,Character 2,type,weight,startPage,category
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,4,Exchange
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,4,Knows
66,145,Rafaela Cortés,Sol,Directed,1,4,Knows
66,149,Rafaela Cortés,Rodriguez,Directed,1,4,Knows
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,4,Knows
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,4,Knows
69,149,Gabriel Balboa,Rodriguez,Directed,1,4,Knows
149,69,Rodriguez,Gabriel Balboa,Directed,1,4,Knows
149,66,Rodriguez,Rafaela Cortés,Directed,1,4,Knows
145,66,Sol,Rafaela Cortés,Directed,1,4,Knows
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,4,Exchange
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,4,Knows
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,5,Knows
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,5,Knows
96,150,workers at Gabriel's house,Pancho Villa,Directed,1,5,Knows of
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,5,Exchange
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,5,Knows
66,149,Rafaela Cortés,Rodriguez,Directed,1,5,Knows
150,152,Pancho Villa,Gabriel's Grandfather,Directed,1,5,Knows
150,69,Pancho Villa,Gabriel Balboa,Directed,1,5,Knows of
96,69,workers at Gabriel's house,Gabriel Balboa,Directed,1,5,Knows
149,69,Rodriguez,Gabriel Balboa,Directed,1,5,Knows
150,96,Pancho Villa,workers at Gabriel's house,Directed,1,5,Knows of
66,96,Rafaela Cortés,workers at Gabriel's house,Directed,1,5,Knows
149,66,Rodriguez,Rafaela Cortés,Directed,1,5,Knows
69,149,Gabriel Balboa,Rodriguez,Directed,1,5,Knows
152,150,Gabriel's Grandfather,Pancho Villa,Directed,1,5,Knows
152,69,Gabriel's Grandfather,Gabriel Balboa,Directed,1,5,Knows of
152,96,Gabriel's Grandfather,workers at Gabriel's house,Directed,1,5,Knows
69,96,Gabriel Balboa,workers at Gabriel's house,Directed,1,5,Knows
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,5,Exchange
96,66,workers at Gabriel's house,Rafaela Cortés,Directed,1,5,Knows
69,152,Gabriel Balboa,Gabriel's Grandfather,Directed,1,5,Knows of
69,151,Gabriel Balboa,Gabriel's Grandmother,Directed,1,5,Knows of
69,150,Gabriel Balboa,Pancho Villa,Directed,1,5,Knows of
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,5,Knows
96,152,workers at Gabriel's house,Gabriel's Grandfather,Directed,1,5,Knows
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,6,Knows
69,151,Gabriel Balboa,Gabriel's Grandmother,Directed,1,6,Knows of
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,6,Knows
69,152,Gabriel Balboa,Gabriel's Grandfather,Directed,1,6,Knows of
66,145,Rafaela Cortés,Sol,Directed,1,6,Knows
98,145,Bobby Ngu,Sol,Directed,1,6,Knows
151,152,Gabriel's Grandmother,Gabriel's Grandfather,Directed,1,6,Knows
69,145,Gabriel Balboa,Sol,Directed,1,6,Knows
145,66,Sol,Rafaela Cortés,Directed,1,6,Knows
145,98,Sol,Bobby Ngu,Directed,1,6,Knows
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,6,Exchange
152,151,Gabriel's Grandfather,Gabriel's Grandmother,Directed,1,6,Knows
152,69,Gabriel's Grandfather,Gabriel Balboa,Directed,1,6,Knows of
69,96,Gabriel Balboa,workers at Gabriel's house,Directed,1,6,Knows
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,6,Exchange
145,69,Sol,Gabriel Balboa,Directed,1,6,Knows
96,69,workers at Gabriel's house,Gabriel Balboa,Directed,1,6,Knows
69,148,Gabriel Balboa,Rafaela's Mother,Directed,1,7,Knows
148,66,Rafaela's Mother,Rafaela Cortés,Directed,1,7,Knows
145,66,Sol,Rafaela Cortés,Directed,1,7,Knows
148,69,Rafaela's Mother,Gabriel Balboa,Directed,1,7,Knows
69,145,Gabriel Balboa,Sol,Directed,1,7,Knows
69,146,Gabriel Balboa,Pepe Cortés,Directed,1,7,Knows of
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,7,Exchange
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,7,Knows
66,145,Rafaela Cortés,Sol,Directed,1,7,Knows
66,146,Rafaela Cortés,Pepe Cortés,Directed,1,7,Knows
66,143,Rafaela Cortés,Doña Maria,Directed,1,7,Exchange
98,143,Bobby Ngu,Doña Maria,Directed,1,7,Knows
146,66,Pepe Cortés,Rafaela Cortés,Directed,1,7,Knows
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,7,Exchange
66,148,Rafaela Cortés,Rafaela's Mother,Directed,1,7,Knows
145,143,Sol,Doña Maria,Directed,1,7,Exchange
