id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
73,"RW_TestContainer_1","level 1 (section)","1","4","RW_TestCharacter_1","RW_TestCharacter_1","[NULL]"
74,"RW_TestContainer_2","level 2 (sub-section)","2","3","RW_TestCharacter_2","RW_TestCharacter_2","Novel"
75,"EA_TestContainer_1","level 1 (section)","1","5","EA_TestCharacter_1","EA_TestCharacter_2","[NULL]"
76,"EA_TestContainer_2","level 2 (sub-section)","1","3","EA_TestCharacter_2","[NULL]","Oral Story"
79,"Tuesday / Diamond Lane","level 1 (section)","53","94","[NULL]","[NULL]","[NULL]"
80,"Wednesday / Cultural Diversity","level 1 (section)","95","134","[NULL]","[NULL]","[NULL]"
81,"Thursday / The Eternal Buzz","level 1 (section)","135","172","[NULL]","[NULL]","[NULL]"
82,"Friday / Artificial Intelligence","level 1 (section)","173","208","[NULL]","[NULL]","[NULL]"
83,"Saturday / Queen of Angels","level 1 (section)","209","240","[NULL]","[NULL]","[NULL]"
84,"Sunday / Pacific Rim","level 1 (section)","241","268","[NULL]","[NULL]","[NULL]"
85,"1: Midday - Not Too Far from Mazatlán","level 2 (sub-section)","3","13","[NULL]","Rafaela Cortes","[NULL]"
86,"2: Benefits - Koreatown","level 2 (sub-section)","14","18","[NULL]","[NULL]","[NULL]"
87,"3: Weather Report - Westside","level 2 (sub-section)","18","25","[NULL]","[NULL]","[NULL]"
88,"4: Station ID - Jefferson & Normandie","level 2 (sub-section)","25","33","[NULL]","[NULL]","[NULL]"
89,"5: Traffic Window - Harbor Freeway","level 2 (sub-section)","33","37","[NULL]","Manzanar Murakami","[NULL]"
90,"6: Coffee Break - Downtown","level 2 (sub-section)","37","46","Gabriel Balboa","[NULL]","[NULL]"
91,"7: To Wake - The Marketplace","level 2 (sub-section)","46","51","[NULL]","Arcangel","[NULL]"
92,"8: Rideshare - Downtown Interchange","level 2 (sub-section)","55","57","[NULL]","Manzanar Murakami","[NULL]"
93,"9: NewsNow - Hollywood South","level 2 (sub-section)","58","62","[NULL]","[NULL]","[NULL]"
94,"10: Morning - En México","level 2 (sub-section)","62","70","[NULL]","[NULL]","[NULL]"
95,"11: To Wash - On The Tropic","level 2 (sub-section)","70","75","[NULL]","Arcangel","[NULL]"
96,"12: Car Payment Due - Tijuana via Singapore","level 2 (sub-section)","76","80","[NULL]","[NULL]","[NULL]"
97,"13: Oldies - This Old Hood","level 2 (sub-section)","80","86","[NULL]","[NULL]","[NULL]"
98,"14: Budgets - Skirting Downtown","level 2 (sub-section)","86","93","Gabriel Balboa","[NULL]","[NULL]"
99,"15: Second Mortgage - Chinatown","level 2 (sub-section)","97","102","[NULL]","[NULL]","[NULL]"
100,"16: LA X - Margarita's Corner","level 2 (sub-section)","102","107","[NULL]","[NULL]","[NULL]"
101,"17: The Interview - Manzanar","level 2 (sub-section)","107","114","Gabriel Balboa","[NULL]","[NULL]"
102,"18: Daylight - The Cornfield","level 2 (sub-section)","114","119","[NULL]","[NULL]","[NULL]"
103,"19: Hour of the Trucks - The Freeway Canyon","level 2 (sub-section)","119","123","[NULL]","[NULL]","[NULL]"
104,"20: Disaster Movie Week - Hiro's Sushi","level 2 (sub-section)","123","129","[NULL]","[NULL]","[NULL]"
105,"21: To Eat - La Cantina de Miseria y Hambre","level 2 (sub-section)","130","134","[NULL]","[NULL]","[NULL]"
106,"22: You Give us 22 Minutes - The World","level 2 (sub-section)","137","141","[NULL]","[NULL]","[NULL]"
107,"23: To Labor - East & West Forever","level 2 (sub-section)","141","148","[NULL]","[NULL]","[NULL]"
108,"24: Dusk - To the Border","level 2 (sub-section)","148","154","[NULL]","[NULL]","[NULL]"
109,"25: Time & a Half - Limousine Way","level 2 (sub-section)","154","158","[NULL]","[NULL]","[NULL]"
110,"26: Life Insurance - L.A./T.J.","level 2 (sub-section)","158","162","[NULL]","[NULL]","[NULL]"
111,"27: Live on Air - El A","level 2 (sub-section)","162","168","[NULL]","[NULL]","[NULL]"
112,"28: Lane Change - Avoiding the Harbor","level 2 (sub-section)","168","171","[NULL]","[NULL]","[NULL]"
113,"29: Promos - World Wide Web","level 2 (sub-section)","175","180","[NULL]","[NULL]","[NULL]"
114,"30: Dawn - The Other Side","level 2 (sub-section)","181","186","[NULL]","[NULL]","[NULL]"
115,"31: AM/FM - FreeZone","level 2 (sub-section)","186","192","[NULL]","[NULL]","[NULL]"
116,"32: Overtime - El Zócalo","level 2 (sub-section)","192","196","[NULL]","[NULL]","[NULL]"
117,"33: To Dream - America","level 2 (sub-section)","196","201","[NULL]","[NULL]","[NULL]"
118,"34: Visa Card - Final Destination","level 2 (sub-section)","201","204","[NULL]","[NULL]","[NULL]"
119,"35: Jam - Greater L.A.","level 2 (sub-section)","204","207","[NULL]","[NULL]","[NULL]"
120,"36: To Perform - Angel's Flight","level 2 (sub-section)","211","214","[NULL]","[NULL]","[NULL]"
121,"37: The Car Show - Front Line","level 2 (sub-section)","214","220","[NULL]","[NULL]","[NULL]"
122,"38: Nightfall - Aztlán","level 2 (sub-section)","220","222","[NULL]","[NULL]","[NULL]"
123,"39: Working Weekend - Dirt Shoulder","level 2 (sub-section)","222","228","[NULL]","[NULL]","[NULL]"
124,"40: Social Security - I-5","level 2 (sub-section)","228","233","[NULL]","[NULL]","[NULL]"
125,"41: Prime Time - Last Stop","level 2 (sub-section)","234","237","[NULL]","[NULL]","[NULL]"
126,"42: Drive-By - Virtually Everywhere","level 2 (sub-section)","237","240","[NULL]","[NULL]","[NULL]"
127,"43: Deadline - Over the Net","level 2 (sub-section)","243","249","[NULL]","[NULL]","[NULL]"
128,"44: Commercial Break - The Big Sleep","level 2 (sub-section)","249","252","[NULL]","[NULL]","[NULL]"
