id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
186,"Knows of","Manzanar Murakami","People in Traffic (34)","0","5: Traffic Window - Harbor Freeway","34","35"
187,"Exchange","Gabriel Balboa","Emi","1","6: Coffee Break - Downtown","38","41"
188,"Exchange","Gabriel Balboa","Terry","1","6: Coffee Break - Downtown","38","38"
189,"Knows","Gabriel Balboa","Editor One (38)","1","6: Coffee Break - Downtown","38","38"
190,"Knows","Gabriel Balboa","Editor Two (38)","1","6: Coffee Break - Downtown","38","38"
191,"Knows","Gabriel Balboa","Editor Three (38)","1","6: Coffee Break - Downtown","38","38"
192,"Exchange","Gabriel Balboa","Editor Four (38)","1","6: Coffee Break - Downtown","38","38"
193,"Knows","Gabriel Balboa","God","0","6: Coffee Break - Downtown","38","38"
194,"Knows","Gabriel Balboa","mothers of gang-bangers (38)","1","6: Coffee Break - Downtown","38","38"
195,"Knows of","Gabriel Balboa","Rubén Salazar","0","6: Coffee Break - Downtown","39","39"
196,"Knows","Emi","Bob the Weatherman","1","6: Coffee Break - Downtown","39","39"
197,"Knows","Gabriel Balboa","Bob the Weatherman","0","6: Coffee Break - Downtown","39","39"
198,"Knows of","Emi","Surfers (40)","0","6: Coffee Break - Downtown","40","40"
199,"Knows of","Gabriel Balboa","Surfers (40)","0","6: Coffee Break - Downtown","40","40"
200,"Knows","Gabriel Balboa","Gabriel Balboa's family","1","6: Coffee Break - Downtown","40","40"
201,"Knows","Gabriel Balboa's mother","Gabriel Balboa's mother's priest","1","6: Coffee Break - Downtown","40","40"
202,"Knows","Gabriel Balboa","Beth","1","6: Coffee Break - Downtown","41","41"
203,"Exchange","Gabriel Balboa","Buzzworm","1","6: Coffee Break - Downtown","41","44"
204,"Knows","Buzzworm","Folks in the bridge rafters (41)","0","6: Coffee Break - Downtown","41","41"
205,"Knows","Buzzworm","Cross-dresser (41)","1","6: Coffee Break - Downtown","41","42"
206,"Knows","Buzzworm","God","0","6: Coffee Break - Downtown","42","42"
207,"Knows","Cross-dresser (41)","God","1","6: Coffee Break - Downtown","42","42"
208,"Knows","Buzzworm","Manzanar Murakami","1","6: Coffee Break - Downtown","42","42"
209,"Knows of","Buzzworm","Leonard Bernstein","0","6: Coffee Break - Downtown","42","42"
210,"Knows of","Buzzworm","Esa-Pekka Solanen","0","6: Coffee Break - Downtown","42","42"
211,"Knows of","Buzzworm","Seji Ozawa","0","6: Coffee Break - Downtown","42","42"
212,"Exchange","Buzzworm","Manzanar Murakami","1","6: Coffee Break - Downtown","43","43"
213,"Knows","Buzzworm","East L.A. boy","1","6: Coffee Break - Downtown","44","44"
214,"Knows","Buzzworm","Webb reporter in San Jose","0","6: Coffee Break - Downtown","44","44"
215,"Knows","Buzzworm","Manzanar Murakami","1","6: Coffee Break - Downtown","44","44"
216,"Knows of","Buzzworm","Corazon Juarez","0","6: Coffee Break - Downtown","44","44"
217,"Knows","Gabriel Balboa","Rafaela Cortes","1","6: Coffee Break - Downtown","44","44"
218,"Exchange","Gabriel Balboa","Rafaela Cortes","1","6: Coffee Break - Downtown","45","45"
219,"Knows","Rafaela Cortes","workers at Gabriel's house","1","6: Coffee Break - Downtown","45","45"
220,"Knows","Gabriel Balboa","Gabriel Balboa's friends","1","6: Coffee Break - Downtown","45","45"
221,"Exchange","Gabriel Balboa","Emi","1","6: Coffee Break - Downtown","45","45"
222,"Knows","Rafaela Cortes","Bobby Ngu","1","6: Coffee Break - Downtown","45","45"
223,"Knows","Gabriel Balboa","Buzzworm","1","6: Coffee Break - Downtown","46","46"
224,"Knows","Gabriel Balboa","Manzanar Murakami","0","6: Coffee Break - Downtown","46","46"
225,"Knows","Arcangel","Carmen Miranda","1","7: To Wake - The Marketplace","47","47"
226,"Knows","Arcangel","Cantiflas","1","7: To Wake - The Marketplace","47","47"
227,"Exchange","Arcangel","""the masses"" (48)","1","7: To Wake - The Marketplace","48","48"
228,"Exchange","Arcangel","Che in Bolivia","1","7: To Wake - The Marketplace","48","48"
229,"Exchange","Arcangel","Eva Péron","1","7: To Wake - The Marketplace","48","48"
230,"Exchange","Arcangel","Pelé","1","7: To Wake - The Marketplace","48","48"
231,"Exchange","Arcangel","Pinochet","1","7: To Wake - The Marketplace","48","48"
232,"Exchange","Arcangel","Allende","1","7: To Wake - The Marketplace","48","48"
233,"Exchange","Arcangel","El General Stroessner","1","7: To Wake - The Marketplace","48","48"
234,"Exchange","Arcangel","Pablo Escobar","1","7: To Wake - The Marketplace","48","48"
235,"Exchange","Arcangel","The DEA","1","7: To Wake - The Marketplace","48","48"
236,"Exchange","Arcangel","Noriega","1","7: To Wake - The Marketplace","48","48"
237,"Exchange","Arcangel","Vargas Llosa","1","7: To Wake - The Marketplace","48","48"
238,"Exchange","Arcangel","Fujimori","1","7: To Wake - The Marketplace","48","48"
239,"Exchange","Arcangel","Sandino","1","7: To Wake - The Marketplace","48","48"
240,"Exchange","Arcangel","Somoza","1","7: To Wake - The Marketplace","48","48"
241,"Exchange","Arcangel","Borges","1","7: To Wake - The Marketplace","48","48"
242,"Exchange","Arcangel","Neruda","1","7: To Wake - The Marketplace","48","48"
243,"Exchange","Arcangel","Archbishop Romero","1","7: To Wake - The Marketplace","48","48"
244,"Exchange","Arcangel","Porfirio Díaz","1","7: To Wake - The Marketplace","48","48"
245,"Exchange","Arcangel","Fidel Castro","1","7: To Wake - The Marketplace","48","48"
246,"Exchange","Arcangel","Arcangel's torturers","1","7: To Wake - The Marketplace","48","48"
247,"Exchange","Arcangel","Arcangel's inmates","1","7: To Wake - The Marketplace","48","48"
248,"Exchange","Arcangel","Gabriel Garcia Márquez","1","7: To Wake - The Marketplace","48","48"
249,"Exchange","performance goer (48)","Gabriel Garcia Márquez","0","7: To Wake - The Marketplace","48","48"
250,"Knows of","performance goer (48)","Arcangel","1","7: To Wake - The Marketplace","48","48"
251,"Knows of","Arcangel","Christopher Columbus","0","7: To Wake - The Marketplace","49","49"
252,"Knows of","Arcangel","John Cabot","0","7: To Wake - The Marketplace","49","49"
253,"Knows of","Arcangel","Pedro Alvares Cabral","0","7: To Wake - The Marketplace","50","50"
254,"Knows of","Arcangel","Ferdinand Magellan","0","7: To Wake - The Marketplace","50","50"
255,"Knows of","Arcangel","Hernán Cortés","0","7: To Wake - The Marketplace","50","50"
256,"Exchange","Arcangel","""young man"" (50)","1","7: To Wake - The Marketplace","50","50"
257,"Exchange","Arcangel","""children and passerby"" (51)","1","7: To Wake - The Marketplace","51","51"
258,"Knows","Rafaela Cortes","Gabriel Balboa","1","1: Midday - Not Too Far from Mazatlán","4","4"
259,"Knows","Rafaela Cortes","Bobby Ngu","1","1: Midday - Not Too Far from Mazatlán","4","4"
260,"Exchange","Rafaela Cortes","Gabriel Balboa","1","1: Midday - Not Too Far from Mazatlán","4","7"
261,"Exchange","Rafaela Cortes","Doña Maria","1","1: Midday - Not Too Far from Mazatlán","7","9"
263,"Knows","Doña Maria","Sol","1","1: Midday - Not Too Far from Mazatlán","7","10"
264,"Knows","Rafaela Cortes","Doña Maria","1","1: Midday - Not Too Far from Mazatlán","7","7"
265,"Knows","Rafaela Cortes","Pepe","1","1: Midday - Not Too Far from Mazatlán","7","7"
266,"Knows","Gabriel Balboa","Sol","1","1: Midday - Not Too Far from Mazatlán","7","7"
267,"Knows","Gabriel Balboa","Bobby Ngu","1","1: Midday - Not Too Far from Mazatlán","5","7"
268,"Knows of","Gabriel Balboa","Pepe","0","1: Midday - Not Too Far from Mazatlán","7","7"
