source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
325,327,Colonizers/colonists,Metacomet/ King Philip,Directed,1,4,Exchange,[NULL]
325,324,Colonizers/colonists,Massasoit,Directed,1,4,Exchange,[NULL]
331,327,John Alderman,Metacomet/ King Philip,Directed,1,4,Exchange,[NULL]
327,330,Metacomet/ King Philip,Benjamin Church,Directed,1,4,Exchange,[NULL]
330,327,Benjamin Church,Metacomet/ King Philip,Directed,1,4,Exchange,[NULL]
327,331,Metacomet/ King Philip,John Alderman,Directed,1,4,Exchange,[NULL]
327,325,Metacomet/ King Philip,Colonizers/colonists,Directed,1,4,Exchange,[NULL]
324,325,Massasoit,Colonizers/colonists,Directed,1,4,Exchange,[NULL]
325,332,Colonizers/colonists,Pequot,Directed,1,5,Exchange,[NULL]
337,338,Joaquin Murieta,Texas Rangers (government),Directed,1,5,Exchange,[NULL]
332,325,Pequot,Colonizers/colonists,Directed,1,5,Exchange,[NULL]
338,339,Texas Rangers (government),Three Fingered Jack,Directed,1,5,Exchange,[NULL]
339,338,Three Fingered Jack,Texas Rangers (government),Directed,1,5,Exchange,[NULL]
338,337,Texas Rangers (government),Joaquin Murieta,Directed,1,5,Exchange,[NULL]
342,345,Wife (in the Rolling Head story),water monster,Directed,1,6,Exchange,[NULL]
341,344,Husband (in the Rolling Head story),Son (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
343,341,Daughter (in the Rolling Head story),Husband (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
343,346,Daughter (in the Rolling Head story),Rolling Head,Directed,1,6,Exchange,[NULL]
342,341,Wife (in the Rolling Head story),Husband (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
341,343,Husband (in the Rolling Head story),Daughter (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
345,342,water monster,Wife (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
345,341,water monster,Husband (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
341,345,Husband (in the Rolling Head story),water monster,Directed,1,6,Exchange,[NULL]
344,346,Son (in the Rolling Head story),Rolling Head,Directed,1,6,Exchange,[NULL]
344,341,Son (in the Rolling Head story),Husband (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
346,344,Rolling Head,Son (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
346,343,Rolling Head,Daughter (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
341,342,Husband (in the Rolling Head story),Wife (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
351,354,Indigenous people,Colonel John Chivington,Directed,1,8,Exchange,[NULL]
354,351,Colonel John Chivington,Indigenous people,Directed,1,8,Exchange,[NULL]
66,68,Tony Loneman,Mario,Directed,1,15,Exchange,Tony Loneman
66,69,Tony Loneman,Maxine,Directed,1,15,Exchange,Tony Loneman
68,66,Mario,Tony Loneman,Directed,1,15,Exchange,Tony Loneman
69,66,Maxine,Tony Loneman,Directed,1,15,Exchange,Tony Loneman
69,66,Maxine,Tony Loneman,Directed,1,17,Exchange,Tony Loneman
66,71,Tony Loneman,Karen,Directed,1,17,Exchange,Tony Loneman
