id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
62,RW_TestCharacter_GS1,62,RW_TestCharacter_GS1,74,RW_TestContainer_GS2,level 2 (sub-section),33,44,RW_TestCharacter_GS2,RW_TestCharacter_GS2,Creative non-fiction,184,Exchange,RW_TestCharacter_GS1,RW_TestCharacter_GS1,1,RW_TestContainer_GS2,44,99,
62,RW_TestCharacter_GS1,63,RW_TestCharacter_GS2,74,RW_TestContainer_GS2,level 2 (sub-section),33,44,RW_TestCharacter_GS2,RW_TestCharacter_GS2,Creative non-fiction,183,Knows of,RW_TestCharacter_GS2,RW_TestCharacter_GS1,1,RW_TestContainer_GS2,33,44,
68,"""the woman"" (wallet victim)",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],187,Knows of,Sasha,"""the woman"" (wallet victim)",0,1 Found Objects,3,3,
69,Coz,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],188,Exchange,Sasha,Coz,1,1 Found Objects,4,9,
71,Alex,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],189,Exchange,Sasha,Alex,1,1 Found Objects,5,6,
72,"""the plumber""",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],190,Exchange,Sasha,"""the plumber""",1,1 Found Objects,7,8,
68,"""the woman"" (wallet victim)",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],197,Exchange,Sasha,"""the woman"" (wallet victim)",1,1 Found Objects,11,13,
92,"""little girl"" (scarf victim)",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],199,Knows of,Sasha,"""little girl"" (scarf victim)",1,1 Found Objects,14,14,
93,"""little girl's"" mother",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],200,Knows of,Sasha,"""little girl's"" mother",1,1 Found Objects,14,14,
69,Coz,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],201,Exchange,Sasha,Coz,1,1 Found Objects,15,16,
76,Lizzie,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],207,Knows,Sasha,Lizzie,1,1 Found Objects,16,18,
96,girl in braces,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],208,Knows of,Sasha,girl in braces,0,1 Found Objects,17,17,
94,boy one in picture,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],209,Knows of,Sasha,boy one in picture,0,1 Found Objects,17,17,
95,boy two in picture,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],210,Knows of,Sasha,boy two in picture,0,1 Found Objects,17,17,
67,Bennie Salazar,66,Sasha,79,2 The Gold Cure,level 2 (sub-section),19,38,[NULL],Bennie Salazar,[NULL],235,Knows,Sasha,Bennie Salazar,1,2 The Gold Cure,21,22,
81,Christopher Salazar,66,Sasha,79,2 The Gold Cure,level 2 (sub-section),19,38,[NULL],Bennie Salazar,[NULL],258,Exchange,Sasha,Christopher Salazar,1,2 The Gold Cure,27,27,
