source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
103,67,"""An Indian...woman"" (grant judge)",Dene Oxendene,Directed,1,39,Exchange
103,67,"""An Indian...woman"" (grant judge)",Dene Oxendene,Directed,1,40,Exchange
103,67,"""An Indian...woman"" (grant judge)",Dene Oxendene,Directed,1,41,Exchange
103,92,"""An Indian...woman"" (grant judge)",Lucas,Directed,1,40,Knows of
104,67,"""An older guy who's...Native"" (grant judge)",Dene Oxendene,Directed,1,39,Exchange
104,67,"""An older guy who's...Native"" (grant judge)",Dene Oxendene,Directed,1,40,Exchange
104,67,"""An older guy who's...Native"" (grant judge)",Dene Oxendene,Directed,1,41,Exchange
104,92,"""An older guy who's...Native"" (grant judge)",Lucas,Directed,1,40,Knows of
97,67,"""Old white lady"" (grant judge)",Dene Oxendene,Directed,1,39,Exchange
97,67,"""Old white lady"" (grant judge)",Dene Oxendene,Directed,1,40,Exchange
97,67,"""Old white lady"" (grant judge)",Dene Oxendene,Directed,1,41,Exchange
97,67,"""Old white lady"" (grant judge)",Dene Oxendene,Directed,1,42,Exchange
97,92,"""Old white lady"" (grant judge)",Lucas,Directed,1,40,Knows of
183,161,"""Older men"" (at Alcatraz)",Group of teenagers,Directed,1,54,Exchange
183,161,"""Older men"" (at Alcatraz)",Group of teenagers,Directed,1,55,Exchange
183,85,"""Older men"" (at Alcatraz)",Opal Viola Victoria Bear Shield,Directed,1,54,Exchange
183,85,"""Older men"" (at Alcatraz)",Opal Viola Victoria Bear Shield,Directed,1,55,Exchange
361,84,"""Person whose lap [Thomas] is in""",Big Oakland Powwow,Directed,1,275,Knows
361,89,"""Person whose lap [Thomas] is in""",Thomas Frank,Directed,1,275,Exchange
173,170,"""Sea of white faces""",First speaker,Directed,1,103,Knows of
362,80,"""Someone"" from Vietnam War",Bill Davis,Directed,1,277,Knows
282,281,"""another white woman""","""some crazy white woman""",Directed,1,201,Exchange
282,283,"""another white woman""",dead woman's baby,Directed,1,201,Knows
