character_id,character_name
0,[NULL]
66,Tony Loneman
67,Dene Oxendene
68,Mario
69,Maxine
70,Tony Loneman's Mother
71,Karen
72,MF Doom
73,Tony Loneman's Father
74,Louise Erdrich
75,"""white boy in the Kangol hat"""
76,Carlos
77,Octavio Gomez
78,Josefina
79,Kid on the bus
80,Bill Davis
81,Calvin Johnson
82,Jacquie Red Feather
83,Orvil Red Feather
84,Big Oakland Powwow
85,Opal Viola Victoria Bear Shield
86,Edwin Black
87,Daniel Gonzales
88,Blue
89,Thomas Frank
90,Kevin Farley
91,Radiohead
92,Lucas
93,Norma
94,Stanley Kubrick
95,Rob
96,Gertrude Stein
97,"""Old white lady"" (grant judge)"
98,"""black guy...with a white beard"" (grant judge)"
99,"""middle-aged black guy"" (2) (grant judge)"
100,"""middle-aged white lady"" (1) (grant judge)"
101,"""middle-aged white lady"" (2) (grant judge)"
102,"""youngish Hispanic guy"" (grant judge)"
103,"""An Indian...woman"" (grant judge)"
104,"""An older guy who's...Native"" (grant judge)"
105,Victoria (Vicky)
106,"""vet on the bus"""
107,Vet on the bus
108,Vida Blue
109,Catfish Hunter
110,Reggie Jackson
111,Charlie Finley
112,Opal Viola Victoria Bear Shield's Father
113,Jacquie Red Feather's Father
114,Opal the Medicine Woman
115,Two Shoes
116,Alcatraz
117,Person stabbed by Bill Davis
118,Hunter S. Thompson
119,Oscar Zeta Acosta
120,F. Scott Fitzgerald
121,Ernest Hemingway
122,Raymond Carver
123,William Faulkner
124,Ken Kesey
126,Richard Brautigan
127,Jack London
128,Stephen King
129,Elmore Leonard
130,Oakland Athletics
131,San Francisco Giants
132,San Francisco sports teams
133,Oakland Raiders
134,The white men
135,The Indians
136,Person who left IPod on bus
137,"""some homies"""
139,Texas Rangers
141,Old guy on the bus
142,Bus driver
143,Cannabis supplier
144,Sixty-three casualties of Loma Prieta Earthquake
145,Sonny
146,Maggie
147,Charles
148,Calvin Johnson's Mom
149,Calvin Johnson's Dad
151,Sloth (The Goonies)
152,Florencia
154,Loother Red Feather
155,Lony Red Feather
156,"""old Indian guy in a baseball cap"""
157,Kids in school
158,Men in military uniforms
159,Younger men
160,"""two big old Indian women"""
161,Group of teenagers
162,"""the adults"""
163,Creator
164,"""Pig-brained men"""
165,Columbus
166,Teddy Roosevelt
168,Manny Gonzales
169,"""two hundred or so people"""
170,First speaker
171,A few youth
172,Harold
173,"""Sea of white faces"""
174,Doctors
175,The coroner
176,Sixto
177,Bears
178,Harvey
179,Rocky
180,Rocky's Dad
182,U.S Government
183,"""Older men"" (at Alcatraz)"
184,Police Officers
185,Ronald
186,Trickster Spider (Veho)
187,"""the white man"""
188,Postgame crew
189,Jamie Red Feather
192,"""two [wearing] baseball caps"""
193,Adriana
194,Adriana's brother
195,Abortion resource
196,Edwin Black's Fake Self
197,Edwin Black's Fake Self's girlfriend
198,Edwin Black's Fake Self's mom
199,Edwin Black's Fake Self's dad
200,Johnny Depp
201,Homer Simpson
202,Jesus
203,DefeKate Moss
204,Obama
207,Old guy
208,Families
209,Old guy's brother
212,God
214,Powwow Dancer on TV
215,A Tribe Called Red
216,The neighbors
217,Woman in the car
218,people from foster care
219,People from group homes
220,Otis Redding
221,Smokey Robinson
222,Lucas's sister
223,"Indian Head (''test pattern Indian"")"
224,Social worker
225,Ronald McDonald
226,tiger-striped pitbull
227,A yelling man
228,Octavio Gomez's Father
229,Josefina's Father
230,Josefina's Mother
231,Josefina's love interest
232,Josefina's Uncle
233,Junior
234,Octavio Gomez's Mother
235,Sylvia
236,Manny & Daniel's Dad
238,CPS worker
