id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
77,"Prologue","level 1 (section)","3","11","[NULL]","[NULL]","[NULL]"
78,"Part I Remain","level 1 (section)","13","78","[NULL]","[NULL]","[NULL]"
79,"Part II: Reclaim","level 1 (section)","79","155","[NULL]","[NULL]","[NULL]"
80,"Part III: Return","level 1 (section)","157","225","[NULL]","[NULL]","[NULL]"
81,"Part IV Powwow","level 1 (section)","227","290","[NULL]","[NULL]","[NULL]"
82,"Tony Loneman (I)","level 2 (sub-section)","15","26","Tony Loneman","Tony Loneman","[NULL]"
83,"Dene Oxendene (I)","level 2 (sub-section)","27","44","[NULL]","Dene Oxendene","[NULL]"
84,"Bill Davis (II)","level 2 (sub-section)","81","87","[NULL]","Bill Davis","[NULL]"
85,"Calvin Johnson (II) (1)","level 2 (sub-section)","88","97","Calvin Johnson","Calvin Johnson","[NULL]"
86,"Jacquie Red Feather (II) (1)","level 2 (sub-section)","98","117","[NULL]","Jacquie Red Feather","Letter"
87,"Orvil Red Feather (II)","level 2 (sub-section)","118","133","[NULL]","Orvil Red Feather","[NULL]"
88,"Interlude","level 2 (sub-section)","134","141","[NULL]","[NULL]","Creative non-fiction"
89,"Powwows","level 3 (sub-sub-section)","134","135","[NULL]","[NULL]","[NULL]"
90,"Big Oakland Powwow","level 3 (sub-sub-section)","135","136","[NULL]","Big Oakland Powwow","[NULL]"
91,"Blood","level 3 (sub-sub-section)","136","139","[NULL]","[NULL]","[NULL]"
92,"Last Names","level 3 (sub-sub-section)","139","139","[NULL]","[NULL]","[NULL]"
93,"Apparent Death","level 3 (sub-sub-section)","140","141","[NULL]","[NULL]","[NULL]"
95,"Tony Loneman (II)","level 2 (sub-section)","142","143","[NULL]","Tony Loneman","[NULL]"
96,"Calvin Johnson (II) (2)","level 2 (sub-section)","144","146","[NULL]","Calvin Johnson","[NULL]"
97,"Dene Oxendene (II)","level 2 (sub-section)","147","150","[NULL]","Dene Oxendene","Oral Story"
99,"Jacquie Red Feather (II) (2)","level 2 (sub-section)","151","155","[NULL]","Jacquie Red Feather","Letter"
100,"Opal Viola Victoria Bear Shield (I)","level 2 (sub-section)","45","61","Opal Viola Victoria Bear Shield","Opal Viola Victoria Bear Shield","[NULL]"
101,"Edwin Black (I)","level 2 (sub-section)","62","78","Edwin Black","Edwin Black","[NULL]"
102,"Opal Viola Victoria Bear Shield (III)","level 2 (sub-section)","159","170","[NULL]","Opal Viola Victoria Bear Shield","[NULL]"
103,"Octavio Gomez (III)","level 2 (sub-section)","171","186","Octavio Gomez","Octavio Gomez","[NULL]"
104,"Daniel Gonzales (III)","level 2 (sub-section)","187","196","Daniel Gonzales","[NULL]","[NULL]"
105,"Blue (III)","level 2 (sub-section)","197","207","Blue","Blue","[NULL]"
106,"Orvil Red Feather (IV) (1)","level 2 (sub-section)","229","233","[NULL]","Orvil Red Feather","[NULL]"
107,"Tony Loneman (IV) (1)","level 2 (sub-section)","234","235","[NULL]","Tony Loneman","[NULL]"
108,"Blue (IV) (1)","level 2 (sub-section)","236","238","[NULL]","Blue","[NULL]"
109,"Dene Oxendene (IV) (1)","level 2 (sub-section)","239","240","[NULL]","Dene Oxendene","[NULL]"
110,"Opal Viola Victoria Bear Shield (IV) (1)","level 2 (sub-section)","241","242","[NULL]","Opal Viola Victoria Bear Shield","[NULL]"
111,"Edwin Black (IV) (1)","level 2 (sub-section)","243","247","[NULL]","Edwin Black","[NULL]"
112,"Calvin Johnson (IV) (1)","level 2 (sub-section)","248","250","[NULL]","Calvin Johnson","[NULL]"
113,"Daniel Gonzales (IV) (1)","level 2 (sub-section)","251","252","[NULL]","Daniel Gonzales","[NULL]"
114,"Jacquie Red Feather (IV) (1)","level 2 (sub-section)","253","255","[NULL]","Jacquie Red Feather","[NULL]"
115,"Octavio Gomez (IV) (1)","level 2 (sub-section)","256","256","[NULL]","Octavio Gomez","[NULL]"
116,"Edwin Black (IV) (2)","level 2 (sub-section)","257","260","[NULL]","Edwin Black","[NULL]"
117,"Thomas Frank (IV) (1)","level 2 (sub-section)","261","262","[NULL]","Thomas Frank","[NULL]"
118,"Loother and Lony (IV)","level 2 (sub-section)","263","264","[NULL]","[NULL]","[NULL]"
119,"Daniel Gonzales (IV) (2)","level 2 (sub-section)","265","266","[NULL]","Daniel Gonzales","[NULL]"
120,"Blue (IV) (2)","level 2 (sub-section)","267","268","[NULL]","Blue","[NULL]"
121,"Dene Oxendene (IV) (2)","level 2 (sub-section)","269","270","[NULL]","Dene Oxendene","[NULL]"
122,"Orvil Red Feather (IV) (2)","level 2 (sub-section)","271","271","[NULL]","Orvil Red Feather","[NULL]"
123,"Calvin Johnson (IV) (2)","level 2 (sub-section)","272","273","[NULL]","Calvin Johnson","[NULL]"
124,"Thomas Frank (IV) (2)","level 2 (sub-section)","274","275","[NULL]","Thomas Frank","[NULL]"
125,"Bill Davis (IV)","level 2 (sub-section)","276","277","[NULL]","Bill Davis","[NULL]"
126,"Opal Viola Victoria Bear Shield (IV) (2)","level 2 (sub-section)","278","278","[NULL]","Opal Viola Victoria Bear Shield","[NULL]"
127,"Jacquie Red Feather (IV) (2)","level 2 (sub-section)","279","280","[NULL]","Jacquie Red Feather","[NULL]"
128,"Blue (IV) (3)","level 2 (sub-section)","281","283","[NULL]","Blue","[NULL]"
129,"Opal Viola Victoria Bear Shield (IV) (3)","level 2 (sub-section)","284","285","[NULL]","Opal Viola Victoria Bear Shield","[NULL]"
130,"Tony Loneman (IV) (2)","level 2 (sub-section)","286","290","[NULL]","Tony Loneman","[NULL]"
131,"Thomas Frank (III)","level 2 (sub-section)","208","225","[NULL]","Thomas Frank","[NULL]"
132,"Indian Head","level 2 (sub-section)","4","6","[NULL]","[NULL]","Oral Story"
133,"Rolling Head","level 2 (sub-section)","6","7","[NULL]","[NULL]","Oral Story"
134,"Massacre as Prologue","level 2 (sub-section)","8","8","[NULL]","[NULL]","Oral Story"
135,"Hard, Fast","level 2 (sub-section)","8","10","[NULL]","[NULL]","Oral Story"
136,"Urbanity","level 2 (sub-section)","11","11","[NULL]","[NULL]","[NULL]"
