
"id","Name <br />(100 chars)"
"171","""a few other youth"" (103)"
"224","""a social worker"""
"211","""all the people [Harvey] hurt"" (112)"
"103","""An Indian...woman"" (grant judge)"
"104","""An older guy who's...Native"" (grant judge)"
"98","""black guy...with a white beard"" (grant judge)"
"161","""group of teenagers"""
"143","""guy across the hall"" (cannabis supplier)"
"117","""guy"" (stabbed by Bill Davis)"
"158","""guys in military uniforms"""
"244","""Indians"" at the Powwow (131)"
"246","""kids on field trips"" (133)"
"99","""middle-aged black guy"" (2) (grant judge)"
"100","""middle-aged white lady"" (1) (grant judge)"
"101","""middle-aged white lady"" (2) (grant judge)"
"141","""old guy on bus"""
"207","""old guy"" (111)"
"156","""old Indian guy in a baseball cap"" (102)"
"97","""Old white lady"" (grant judge)"
"183","""Older men"" (at Alcatraz)"
"190","""people like [Jacquie]"" (107)"
"164","""Pig-brained men"""
"188","""postgame crew"""
"132","""San Francisco teams"" (85)"
"173","""sea of white faces"" (103)"
"144","""sixty-three people"" (killed by earthquake)"
"137","""some homies"""
"195","""someone in west Oakland"" (abortion resource)"
"223","""test-pattern Indian"""
"162","""the adults"""
"170","""the first speaker"" (103)"
"157","""the kids in school"""
"187","""the white man"""
"192","""two [wearing] baseball caps"" (108)"
"160","""two big old Indian women"""
"169","""two hundred or so people"" (103)"
"106","""vet on the bus"""
"75","""white boy in the Kangol hat"""
"138","""white boys from the hills"""
"159","""younger men"" (who tend to the fire)"
"102","""youngish Hispanic guy"" (grant judge)"
"0","[NULL]"
"215","A Tribe Called Red"
"227","A yelling man"
"193","Adriana (60)"
"194","Adriana's brother (60)"
"116","Alcatraz"
"243","Beethoven"
"84","Big Oakland Powwow"
"80","Bill Davis"
"88","Blue"
"206","Brother"
"142","Bus driver"
"81","Calvin Johnson"
"149","Calvin Johnson's Dad"
"148","Calvin Johnson's Mom"
"76","Carlos"
"109","Catfish Hunter"
"240","Chance the Rapper"
"147","Charles"
"111","Charlie Finley"
"167","Chief Bromden"
"165","Columbus"
"238","CPS worker"
"163","Creator"
"87","Daniel Gonzales"
"203","DefeKate Moss"
"67","Dene Oxendene"
"174","Doctors"
"242","Earl Sweatshirt"
"86","Edwin Black"
"196","Edwin Black's Fake Self (63)"
"199","Edwin Black's Fake Self's dad"
"197","Edwin Black's Fake Self's girlfriend"
"198","Edwin Black's Fake Self's mom"
"129","Elmore Leonard"
"241","Eminem"
"121","Ernest Hemingway"
"120","F. Scott Fitzgerald"
"208","Families"
"152","Florencia"
"96","Gertrude Stein"
"212","God"
"172","Harold"
"178","Harvey"
"201","Homer Simpson"
"118","Hunter S. Thompson"
"127","Jack London"
"82","Jacquie Red Feather"
"113","Jacquie Red Feather's Father"
"189","Jamie Red Feather"
"202","Jesus"
"200","Johnny Depp"
"78","Josefina ""Fina"" (Octavio Gomez's Grandmother)"
"229","Josefina's Father"
"231","Josefina's love interest"
"230","Josefina's Mother"
"232","Josefina's Uncle"
"233","Junior (Octavio Gomez's Brother)"
"71","Karen"
"124","Ken Kesey"
"90","Kevin Farley"
"79","Kid on the bus"
"213","kids (at school)"
"155","Lony Red Feather"
"154","Loother Red Feather"
"74","Louise Erdrich"
"92","Lucas"
"222","Lucus's sister"
"146","Maggie"
"236","Manny & Daniel's Dad"
"168","Manny Gonzales"
"68","Mario"
"69","Maxine"
"72","MF Doom"
"93","Norma"
"130","Oakland Athletics"
"133","Oakland Raiders"
"204","Obama"
"77","Octavio Gomez"
"228","Octavio Gomez's Father"
"234","Octavio Gomez's Mother"
"177","old bear/bears in general"
"209","Old guy's brother (111)"
"114","Opal the ""medicine woman"""
"85","Opal Viola Victoria Bear Shield"
"112","Opal Viola Victoria Bear Shield's Father"
"83","Orvil Red Feather"
"119","Oscar Zeta Acosta"
"220","Otis Redding"
"218","people from foster care"
"219","people from group homes"
"136","Person who left IPod on bus"
"184","Police"
"248","Powwow Committee"
"214","Powwow Dancer on TV (121)"
"239","Powwow singers"
"91","Radiohead"
"122","Raymond Carver"
"110","Reggie Jackson"
"247","Rich people"
"126","Richard Brautigan"
"95","Rob"
"179","Rocky"
"180","Rocky's Dad"
"185","Ronald"
"225","Ronald McDonald"
"131","San Francisco Giants"
"245","Security Guard"
"176","Sixto (Octavio Gomez's Uncle)"
"151","Sloth (The Goonies)"
"221","Smokey Robinson"
"145","Sonny"
"94","Stanley Kubrick"
"128","Stephen King"
"235","Sylvia"
"166","Teddy Roosevelt"
"139","Texas Rangers"
"140","the A's"
"175","The coroner"
"135","The Indians"
"216","The neighbors"
"134","The white men"
"89","Thomas Frank"
"226","tiger-striped pitbull"
"66","Tony Loneman"
"73","Tony Loneman's Father"
"70","Tony Loneman's Mother"
"186","Trickster Spider (Veho)"
"115","Two Shoes"
"182","U.S Government"
"107","vet on the bus (84)"
"105","Victoria (Vicky)"
"108","Vida Blue"
"123","William Faulkner"
"217","Woman in the car"
