id,label
221,"""2 Negroes"" (13)"
80,"""a crowd"" (of demonstrators)"
105,"""a doctah"""
103,"""a janitah"""
220,"""a white prostitute"" (12)"
190,"""American White Women"" (abstract)"
84,"""bad n*****s"""
17,"""black and white soldiers"""
128,"""black folks"" (abstract)"
154,"""black folks"" (townspeople BMS)"
252,"""black folks"" (townspeople FC)"
108,"""black man"" (killed by police)"
23,"""black men"" (abstract)"
18,"""black soldier"""
24,"""black women"" (croppers)"
111,"""blue-coated policemen"""
54,"""Brother""  (congregation member)"
12,"""buddy"" (of gramophone salesman)"
72,"""chillun of Israel"""
235,"""Colored folks up North"" (28)"
7,"""everbody"" (victims of war)"
136,"""fellow negro porters"" (8)"
35,"""five or six thousand of us"""
166,"""Jew boy"""
121,"""kind neighbor"""
104,"""Miz Harvey"""
155,"""n*****s"""
216,"""Negroes who lived in the south"" (10)"
330,"""Ol Anderson"""
209,"""one fellow"" (8)"
175,"""One of the bell-boys"""
176,"""one of the Negro maids"""
172,"""prostitutes"" (11)"
110,"""Sistah Henry"" (congregation member)"
53,"""Sistah"" (congregation member)"
173,"""snowy-skinned Blonde"" (11)"
52,"""sonny"" (congregation member)"
219,"""The Child"" (12)"
97,"""the dead"""
131,"""the folks at home"" (7)"
33,"""the n*****"""
264,"""the ol n*****"""
248,"""the old folks"" (45)"
215,"""the relief"""
151,"""the rich bosses"""
32,"""the white man"""
174,"""thick-set man"""
65,"""thin black woman"""
141,"""white and black Communists"" (223)"
99,"""white boy"" (Houston's neighbourhood)"
120,"""white boys who lived beyond the tracks."""
125,"""white folks"" (abstract)"
227,"""white folks"" (poor white townspeople)"
254,"""white folks"" (white townspeople)"
98,"""white man"" (Houston's neighbourhood)"
30,"""white man"" (shot by Silas)"
156,"""white men in glistening raincoats"""
27,"""white men with pistols and rifles"""
22,"""white men"" (abstract)"
19,"""white woman"" (accuser of black soldier)"
100,"""white woman"" (Houston's neighbourhood)"
234,"""yo mama"" (17)"
292,6 men who drowned (85)
193,Abraham Lincoln
313,Another soldier (102)
315,Another soldier (103)
316,Another soldier (104)
293,Another white nurse (88)
294,assorted white nurses and doctors
16,Aunt Peel
225,baby (of congregation member)
283,Barrett (Barrett's Pasture pg 81)
179,bell-boy caught with white sex-worker
171,Bell-boys
117,Bertha
45,Bess (Taylor's mule)
114,Big Boy
276,Black People working on the levee
126,"Black preachers, teachers, and clerks (3)"
153,Blattberg
60,Bob (Jimmy's friend)
143,Bob (Johnny-Boy's friend)
92,Bob (kidnapper)
261,Bob Cobb
115,Bobo
246,Bobo's family
86,Bonds
152,Booker
132,Boss of Clothing Store
213,Boss of delivery company
127,Boss of the optical company
258,Brinkley
70,Brother Booker
274,Brother Hall
241,Brother Jenkins
240,Brother Sanders
228,Buck
13,Burgess
249,Casey Jones
223,Catholic co-worker
195,Catholics (abstract)
85,Chamber of Commerce
325,Charley
56,Chief Bruden
78,children in the church
83,children in the playground
69,children of thin black woman
133,Clothing Store Boss' Son
188,Co-workers at Memphis optical company
298,Colonel Davis
47,committee from congregation
63,Deacon Board
106,Deacon Bonds’s children
107,Deacon Bonds’s wife
122,Doctor
291,Doctor Burrows
265,Elder Murray
239,Elder Peters
307,eleven people on the roof (103)
93,Ellis (kidnapper)
15,farm hire
208,Fellow Negro Porters
26,figure in nightmare
163,first white man with shotgun (sheriff's man)
204,folks at the store
191,French Women (abstract)
306,General
10,God
11,gramophone salesman
259,Grannie
39,Green (Hadley's comrade)
159,Green (Johnny-Boy's comrade)
38,Hadley
180,Hall-boys
273,Heartfield
280,Heartfield's daughter
284,Heartfield's folks
89,Hilton
311,Hospital crowds (100)
282,Hospital employees (abstract)
181,Hotel Management
96,Houston
251,Industrial Squad
61,Jack (Jimmy's friend)
328,Jack (Lynch mob)
299,Jack (Soldier at desk)
192,Jack Johnson
76,Jacob
55,Jesus Christ
197,Jews (abstract)
263,Jim (sheriff's man)
301,Jim (soldier in boat 3) (95)
124,Jim Crow
232,Jim Harvey
40,Jimmy
62,Jimmy's boys
255,Joe (Jimmy's friend)
139,Johnny-Boy
160,Johnson
74,Jonah
90,Jones
50,Judas
95,kidnappers
137,Lead White Boy from the car
79,leaders of organizations
262,Lem (Reva's father)
230,Lester
210,Librarian
184,Library-goers (14)
236,Liza Morrison (Big Boy's Mother)
310,Long line of soldiers (100)
238,Lucy
257,Lulu
244,Lynch Mob / White friends of the Harveys
200,Lynch-mobs (abstract)
285,Mac (Soldier on bannister 1)
222,maids
211,Main boy (8)
253,man who starved
242,man with wife (congregation member)
256,Mann
41,May
48,Mayor Bolton
82,mob (attacked Scott)
323,Mob after Mann
130,Morrie
44,Moses
309,Mr. Bridges
57,Mr. Lowe
279,Mrs. Heartfield
161,Murphy
187,Negro Soldiers in France (14)
305,Officer bawling (98)
304,Officer stepping out from cement plant (96)
270,Old Man Bowman
233,Old Man Harvey
322,One of the four soldiers
324,One of the four soldiers who wants a cigarette
8,participants in Tom's war
129,Pease
260,Peewee
112,people on sidewalks
275,People selling boats
59,Pete (Jimmy's friend)
167,Pete (sheriff's man)
199,Police (abstract)
177,Police after the bell-boy
135,Police officer outside clothing store
113,policeman (City Hall)
102,policeman (Houston's neighbourhood)
170,Policeman 1 (10)
217,Policeman 2 (10)
281,Ralph Heartfield
271,Red Cross
88,Red Squad
212,Reluctant boy (9)
147,Reva
149,Reva's brother
150,Reva's mother
118,Richard Wright
123,Richard Wright's Mother
119,Richard's Childhood Gang
202,Richard's friend who ran an elevator (15)
185,Roman Catholic Library-goer
4,Ruth
266,Sally (The cow)
58,Sam (Jimmy's friend)
101,Samson
3,Sarah
77,Saul
237,Saul Morrison (Big Boy's Father)
81,Scott
73,"Shadrach, Meshach, and Abednego"
142,Sheriff Bradley
162,sheriff's men
5,Silas
67,Sister Davis
66,Sister Harris
68,Sister James
278,Sister James' Boy
267,Sister Jeff
320,small black woman with coffee
49,Smith
289,Soldier at door (86)
287,Soldier in boat 1 (85)
288,Soldier in boat 2 (85)
302,soldier in boat 4 (95)
286,Soldier on bannister 2
300,Soldier on other end of telephone (93)
319,Soldier saying halt (114)
312,Soldier talking to colonel (101)
297,Soldier who stops Mann ( 90)
318,soldier with blanket (114)
317,soldiers on the grass (113)
144,Sue
145,Sue's mother
146,Sue’s husband
140,Sug
165,tall man with crowbar (sheriff's man)
31,Taylor
46,Taylor's congregation
43,Taylor's father
42,Taylor's mother
268,The Baby
51,the Devil
321,The four soldiers (including Charley)
272,The Heartfield Family
189,The Ku Klux Klan
186,The Librarian
182,The maid with Richard
178,The maid's baby
64,the police
196,The Pope
34,the Reds
198,The Republican Party
164,Tim (sheriff's man)
6,Tom
214,townspeople (FC)
295,Two white nurses rolling stretcher
269,U.S. Government (abstract)
277,U.S. Military
224,Ulysses S. Grant
329,unnamed women (Lynch Mob)
138,white boy with Whiskey (9)
168,White boys in Car (8)
203,white folks who employ Richard's mother
158,white man coming forward
245,white man in a wagon (34)
157,white man throwing greens
28,white man with gun (155)
29,white man with red can (155)
218,white men around the hotel (12)
201,white men in the elevator (15)
183,white night-watchman
290,white Nurse (87)
308,white soldier with flashlight (102)
36,white woman at desk
250,white Women
226,wife (of congregation member)
116,Will
247,Will Sanders
194,William Sherman
87,Williams
134,Woman in the Clothing store
243,woman with baby (congregation member)
75,“wicked men”
