source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
118,125,Richard Wright,"""white folks"" (abstract)",Directed,1,1,Knows,Richard Wright
120,119,"""white boys who lived beyond the tracks.""",Richard's Childhood Gang,Directed,1,1,Exchange,Richard Wright
118,119,Richard Wright,Richard's Childhood Gang,Directed,1,1,Knows,Richard Wright
119,120,Richard's Childhood Gang,"""white boys who lived beyond the tracks.""",Directed,1,1,Exchange,Richard Wright
118,120,Richard Wright,"""white boys who lived beyond the tracks.""",Directed,1,1,Knows of,Richard Wright
118,123,Richard Wright,Richard Wright's Mother,Directed,1,1,Knows,Richard Wright
119,118,Richard's Childhood Gang,Richard Wright,Directed,1,1,Knows,Richard Wright
118,128,Richard Wright,"""black folks"" (abstract)",Directed,1,1,Knows,Richard Wright
118,124,Richard Wright,Jim Crow,Directed,1,1,Knows of,Richard Wright
128,118,"""black folks"" (abstract)",Richard Wright,Directed,1,1,Knows,Richard Wright
123,118,Richard Wright's Mother,Richard Wright,Directed,1,1,Knows,Richard Wright
118,121,Richard Wright,"""kind neighbor""",Directed,1,2,Exchange,Richard Wright
118,123,Richard Wright,Richard Wright's Mother,Directed,1,2,Exchange,Richard Wright
123,118,Richard Wright's Mother,Richard Wright,Directed,1,2,Exchange,Richard Wright
119,120,Richard's Childhood Gang,"""white boys who lived beyond the tracks.""",Directed,1,2,Exchange,Richard Wright
123,203,Richard Wright's Mother,white folks who employ Richard's mother,Directed,1,2,Knows,Richard Wright
118,124,Richard Wright,Jim Crow,Directed,1,2,Knows of,Richard Wright
120,119,"""white boys who lived beyond the tracks.""",Richard's Childhood Gang,Directed,1,2,Exchange,Richard Wright
118,125,Richard Wright,"""white folks"" (abstract)",Directed,1,2,Knows of,Richard Wright
122,118,Doctor,Richard Wright,Directed,1,2,Exchange,Richard Wright
118,203,Richard Wright,white folks who employ Richard's mother,Directed,1,2,Knows of,Richard Wright
118,122,Richard Wright,Doctor,Directed,1,2,Exchange,Richard Wright
118,119,Richard Wright,Richard's Childhood Gang,Directed,1,2,Knows of,Richard Wright
118,120,Richard Wright,"""white boys who lived beyond the tracks.""",Directed,1,2,Knows of,Richard Wright
121,118,"""kind neighbor""",Richard Wright,Directed,1,2,Exchange,Richard Wright
125,118,"""white folks"" (abstract)",Richard Wright,Directed,1,2,Knows of,Richard Wright
203,123,white folks who employ Richard's mother,Richard Wright's Mother,Directed,1,2,Knows,Richard Wright
123,125,Richard Wright's Mother,"""white folks"" (abstract)",Directed,1,2,Knows of,Richard Wright
118,10,Richard Wright,God,Directed,1,3,Knows of,Richard Wright
118,126,Richard Wright,"Black preachers, teachers, and clerks (3)",Directed,1,3,Knows of,Richard Wright
125,118,"""white folks"" (abstract)",Richard Wright,Directed,1,3,Knows of,Richard Wright
118,124,Richard Wright,Jim Crow,Directed,1,3,Knows of,Richard Wright
118,125,Richard Wright,"""white folks"" (abstract)",Directed,1,3,Knows of,Richard Wright
127,118,Boss of the optical company,Richard Wright,Directed,1,3,Exchange,Richard Wright
123,10,Richard Wright's Mother,God,Directed,1,3,Knows of,Richard Wright
118,123,Richard Wright,Richard Wright's Mother,Directed,1,3,Exchange,Richard Wright
123,118,Richard Wright's Mother,Richard Wright,Directed,1,3,Exchange,Richard Wright
118,127,Richard Wright,Boss of the optical company,Directed,1,3,Exchange,Richard Wright
130,118,Morrie,Richard Wright,Directed,1,4,Exchange,Richard Wright
127,118,Boss of the optical company,Richard Wright,Directed,1,4,Exchange,Richard Wright
127,130,Boss of the optical company,Morrie,Directed,1,4,Exchange,Richard Wright
129,127,Pease,Boss of the optical company,Directed,1,4,Exchange,Richard Wright
130,129,Morrie,Pease,Directed,1,4,Knows,Richard Wright
130,127,Morrie,Boss of the optical company,Directed,1,4,Exchange,Richard Wright
129,130,Pease,Morrie,Directed,1,4,Knows,Richard Wright
118,130,Richard Wright,Morrie,Directed,1,4,Exchange,Richard Wright
127,129,Boss of the optical company,Pease,Directed,1,4,Exchange,Richard Wright
118,124,Richard Wright,Jim Crow,Directed,1,4,Knows of,Richard Wright
118,129,Richard Wright,Pease,Directed,1,4,Knows of,Richard Wright
118,127,Richard Wright,Boss of the optical company,Directed,1,4,Exchange,Richard Wright
129,118,Pease,Richard Wright,Directed,1,5,Exchange,Richard Wright
129,130,Pease,Morrie,Directed,1,5,Knows,Richard Wright
118,124,Richard Wright,Jim Crow,Directed,1,5,Knows of,Richard Wright
130,118,Morrie,Richard Wright,Directed,1,5,Exchange,Richard Wright
132,118,Boss of Clothing Store,Richard Wright,Directed,1,5,Knows,Richard Wright
118,130,Richard Wright,Morrie,Directed,1,5,Exchange,Richard Wright
118,129,Richard Wright,Pease,Directed,1,5,Exchange,Richard Wright
130,129,Morrie,Pease,Directed,1,5,Knows,Richard Wright
118,132,Richard Wright,Boss of Clothing Store,Directed,1,5,Knows,Richard Wright
130,129,Morrie,Pease,Directed,1,6,Knows,Richard Wright
129,118,Pease,Richard Wright,Directed,1,6,Exchange,Richard Wright
129,130,Pease,Morrie,Directed,1,6,Knows,Richard Wright
118,129,Richard Wright,Pease,Directed,1,6,Exchange,Richard Wright
130,118,Morrie,Richard Wright,Directed,1,6,Exchange,Richard Wright
118,124,Richard Wright,Jim Crow,Directed,1,6,Knows of,Richard Wright
118,130,Richard Wright,Morrie,Directed,1,6,Exchange,Richard Wright
133,132,Clothing Store Boss' Son,Boss of Clothing Store,Directed,1,7,Exchange,Richard Wright
133,134,Clothing Store Boss' Son,Woman in the Clothing store,Directed,1,7,Exchange,Richard Wright
132,134,Boss of Clothing Store,Woman in the Clothing store,Directed,1,7,Exchange,Richard Wright
132,135,Boss of Clothing Store,Police officer outside clothing store,Directed,1,7,Knows,Richard Wright
134,135,Woman in the Clothing store,Police officer outside clothing store,Directed,1,7,Exchange,Richard Wright
127,118,Boss of the optical company,Richard Wright,Directed,1,7,Knows,Richard Wright
134,132,Woman in the Clothing store,Boss of Clothing Store,Directed,1,7,Exchange,Richard Wright
132,118,Boss of Clothing Store,Richard Wright,Directed,1,7,Knows,Richard Wright
135,134,Police officer outside clothing store,Woman in the Clothing store,Directed,1,7,Exchange,Richard Wright
131,118,"""the folks at home"" (7)",Richard Wright,Directed,1,7,Exchange,Richard Wright
134,133,Woman in the Clothing store,Clothing Store Boss' Son,Directed,1,7,Exchange,Richard Wright
132,133,Boss of Clothing Store,Clothing Store Boss' Son,Directed,1,7,Exchange,Richard Wright
118,131,Richard Wright,"""the folks at home"" (7)",Directed,1,7,Exchange,Richard Wright
135,132,Police officer outside clothing store,Boss of Clothing Store,Directed,1,7,Knows,Richard Wright
118,134,Richard Wright,Woman in the Clothing store,Directed,1,7,Knows,Richard Wright
118,133,Richard Wright,Clothing Store Boss' Son,Directed,1,7,Knows,Richard Wright
135,133,Police officer outside clothing store,Clothing Store Boss' Son,Directed,1,7,Knows,Richard Wright
118,135,Richard Wright,Police officer outside clothing store,Directed,1,7,Knows,Richard Wright
118,129,Richard Wright,Pease,Directed,1,7,Exchange,Richard Wright
