id,Name
80,"""a crowd"" (of demonstrators)"
105,"""a doctah"""
103,"""a janitah"""
190,"""American White Women"" (abstract)"
84,"""bad n*****s"""
17,"""black and white soldiers"""
20,"""black folks"""
108,"""black man"" (valley resident)"
23,"""black men"""
18,"""black soldier"""
24,"""black women"" (croppers)"
111,"""blue-coated policemen"""
54,"""Brother""  (congregation member)"
12,"""buddy"" (of gramophone salesman)"
72,"""chillun of Israel"""
7,"""everbody"" (victims of war)"
136,"""fellow negro porters"" (8)"
35,"""five or six thousand of us"""
166,"""Jew boy"""
121,"""kind neighbor"""
169,"""Leave him alone"" (9)"
71,"""mankind"""
8,"""men"" (soldiers)"
104,"""Miz Harvey"""
155,"""n*****s"""
175,"""One of the bell-boys"""
176,"""one of the Negro maids"""
91,"""poor white folks"""
172,"""prostitutes"" (11)"
110,"""Sistah Henry"" (congregation member)"
53,"""Sistah"" (congregation member)"
173,"""snowy-skinned Blonde"" (11)"
52,"""sonny"" (congregation member)"
97,"""the dead"""
131,"""the folks at home"" (7)"
33,"""the n*****"""
151,"""the rich bosses"""
32,"""the white man"""
174,"""thick-set man"""
65,"""thin black woman"""
163,"""two white men with shotguns"""
141,"""white and black Communists"" (223)"
99,"""white boy"" (Houston's neighbourhood)"
120,"""white boys who lived beyond the tracks."""
14,"""white folks"""
125,"""White Folks"" (abstract)"
98,"""white man"" (Houston's neighbourhood)"
30,"""white man"" (shot by Silas)"
156,"""white men in glistening raincoats"""
27,"""white men with pistols and rifles"""
22,"""white men"""
19,"""white woman"" (accuser of black soldier)"
100,"""white woman"" (Houston's neighbourhood)"
0,"[NULL]"
193,"Abraham Lincoln"
28,"arsonist with gun"
29,"arsonist with red can"
16,"Aunt Peel"
179,"bell-boy caught with white sex-worker"
171,"Bell-boys"
117,"Bertha"
45,"Bess (Taylor's mule)"
114,"Big Boy"
128,"Black people (abstract)"
126,"Black preachers, teachers, and clerks (3)"
153,"Blattberg"
60,"Bob (Jimmy's friend)"
143,"Bob (Johnny-Boy's friend)"
92,"Bob (kidnapper)"
115,"Bobo"
152,"Booker"
132,"Boss of Clothing Store"
127,"Boss of the optical company"
70,"Brother Booker"
13,"Burgess"
195,"Catholics (abstract)"
85,"Chamber of Commerce"
56,"Chief Bruden"
78,"children in the church"
83,"children in the playground"
69,"children of thin black woman"
133,"Clothing Store Boss' Son"
188,"Co-workers at Memphis optical company"
47,"committee from congregation"
63,"Deacon Board"
86,"Deacon Bonds"
106,"Deacon Bonds’s children"
107,"Deacon Bonds’s wife"
89,"Deacon Hilton"
90,"Deacon Jones"
49,"Deacon Smith"
87,"Deacon Williams"
122,"Doctor"
93,"Ellis (kidnapper)"
15,"farm hire"
26,"figure in nightmare"
191,"French Women (abstract)"
10,"God"
11,"gramophone salesman"
39,"Green (Hadley's comrade)"
159,"Green (Johnny-Boy's comrade)"
38,"Hadley"
180,"Hall-boys"
181,"Hotel Management"
96,"Houston"
61,"Jack (Jimmy's friend)"
192,"Jack Johnson"
76,"Jacob"
55,"Jesus"
197,"Jews (abstract)"
124,"Jim Crow"
40,"Jimmy"
62,"Jimmy's boys"
139,"Johnny-Boy"
160,"Johnson"
74,"Jonah"
50,"Judas"
95,"kidnappers"
137,"Lead White Boy from the car"
79,"leaders of organizations"
148,"Lem"
184,"Library-goers (13)"
200,"Lynch-mobs (abstract)"
41,"May"
48,"Mayor Bolton"
82,"mob (attacked Scott)"
130,"Morrie"
44,"Moses"
57,"Mr. Lowe"
161,"Murphy"
187,"Negro Soldiers in France (14)"
129,"Pease"
112,"people on sidewalks"
59,"Pete (Jimmy's friend)"
167,"Pete (sheriff's enforcer)"
199,"Police (abstract)"
177,"Police after the bell-boy"
135,"Police officer outside clothing store"
113,"policeman (City Hall)"
102,"policeman (Houston's neighbourhood)"
170,"Policemen (10)"
88,"Red Squad"
147,"Reva"
149,"Reva's brother"
150,"Reva's mother"
31,"Reverend Dan Taylor"
118,"Richard Wright"
123,"Richard Wright's Mother"
119,"Richard's Childhood Gang"
202,"Richard's friend who ran an elevator (15)"
185,"Roman Catholic Library-goer"
4,"Ruth"
58,"Sam (Jimmy's friend)"
101,"Samson"
3,"Sarah"
77,"Saul"
81,"Scott"
73,"Shadrach, Meshach, and Abednego"
142,"sheriff"
162,"sheriff's men"
5,"Silas"
67,"Sister Davis"
66,"Sister Harris"
68,"Sister James"
144,"Sue"
145,"Sue's mother"
154,"Sue's neighbours (234)"
146,"Sue’s husband"
140,"Sug"
165,"tall man with crowbar"
46,"Taylor's congregation"
43,"Taylor's father"
42,"Taylor's mother"
51,"the Devil"
189,"The Ku Klux Klan"
186,"The Librarian"
182,"The maid with Richard"
178,"The maid's baby"
64,"the police"
196,"The Pope"
34,"the Reds"
198,"The Republican Party"
164,"Tim"
6,"Tom"
37,"valley residents"
138,"White boy with Whiskey (9)"
168,"White boys in Car (8)"
203,"white folks who employ Richard's mother"
158,"white man coming forward"
157,"white man throwing greens"
201,"White men in the elevator (15)"
183,"White night-watchman"
36,"white woman at desk"
116,"Will"
194,"William Sherman"
134,"Woman in the Clothing store"
75,"“wicked men”"
