id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
1,"Long Black Song","level 1 (section)","125","156","[NULL]","Sarah","[NULL]"
2,"Fire and Cloud","level 1 (section)","157","220","[NULL]","Reverend Dan Taylor","[NULL]"
3,"The Ethics of Living Jim Crow","level 1 (section)","1","15","Richard Wright","Richard Wright","Creative non-fiction"
4,"Big Boy Leaves Home","level 1 (section)","16","61","[NULL]","[NULL]","Short story"
5,"Bright and Morning Star","level 1 (section)","221","263","[NULL]","Sue","[NULL]"
6,"Down by the Riverside","level 1 (section)","62","124","[NULL]","[NULL]","[NULL]"
7,"I","level 2 (sub-section)","125","137","[NULL]","Sarah","[NULL]"
8,"II","level 2 (sub-section)","138","146","[NULL]","Sarah","[NULL]"
9,"III","level 2 (sub-section)","146","150","[NULL]","Sarah","[NULL]"
10,"IV","level 2 (sub-section)","150","156","[NULL]","Sarah","[NULL]"
11,"I","level 2 (sub-section)","157","162","[NULL]","Reverend Dan Taylor","[NULL]"
12,"II","level 2 (sub-section)","162","165","[NULL]","Reverend Dan Taylor","[NULL]"
13,"III","level 2 (sub-section)","165","169","[NULL]","Reverend Dan Taylor","[NULL]"
14,"IV","level 2 (sub-section)","169","172","[NULL]","Reverend Dan Taylor","[NULL]"
15,"V","level 2 (sub-section)","172","179","[NULL]","Reverend Dan Taylor","[NULL]"
16,"VI","level 2 (sub-section)","179","187","[NULL]","Reverend Dan Taylor","[NULL]"
17,"VII","level 2 (sub-section)","187","195","[NULL]","Reverend Dan Taylor","[NULL]"
18,"VIII","level 2 (sub-section)","195","201","[NULL]","Reverend Dan Taylor","[NULL]"
19,"IX","level 2 (sub-section)","201","206","[NULL]","Reverend Dan Taylor","[NULL]"
20,"X","level 2 (sub-section)","206","211","[NULL]","Reverend Dan Taylor","[NULL]"
21,"XI","level 2 (sub-section)","211","212","[NULL]","Reverend Dan Taylor","[NULL]"
22,"XII","level 2 (sub-section)","212","214","[NULL]","Reverend Dan Taylor","[NULL]"
23,"XIII","level 2 (sub-section)","214","220","[NULL]","Reverend Dan Taylor","[NULL]"
24,"I","level 2 (sub-section)","221","230","[NULL]","Sue","[NULL]"
25,"II","level 2 (sub-section)","230","236","[NULL]","Sue","[NULL]"
26,"III","level 2 (sub-section)","236","241","[NULL]","Sue","[NULL]"
27,"IV","level 2 (sub-section)","241","247","[NULL]","Sue","[NULL]"
28,"V","level 2 (sub-section)","247","254","[NULL]","Sue","[NULL]"
29,"VI","level 2 (sub-section)","254","263","[NULL]","Sue","[NULL]"
30,"I (TELJC)","level 2 (sub-section)","1","7","Richard Wright","Richard Wright","Creative non-fiction"
31,"II (TELJC)","level 2 (sub-section)","7","8","Richard Wright","Richard Wright","Creative non-fiction"
32,"III (TELJC)","level 2 (sub-section)","8","10","Richard Wright","Richard Wright","Creative non-fiction"
33,"IV (TELJC)","level 2 (sub-section)","10","10","Richard Wright","Richard Wright","Creative non-fiction"
34,"V (TELJC)","level 2 (sub-section)","11","11","Richard Wright","Richard Wright","Creative non-fiction"
35,"VI (TELJC)","level 2 (sub-section)","11","12","Richard Wright","Richard Wright","Creative non-fiction"
36,"VII (TELJC)","level 2 (sub-section)","12","12","Richard Wright","Richard Wright","Creative non-fiction"
37,"VIII (TELJC)","level 2 (sub-section)","12","13","Richard Wright","Richard Wright","Creative non-fiction"
38,"IX (TELJC)","level 2 (sub-section)","13","15","Richard Wright","Richard Wright","Creative non-fiction"
