leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Cholly Breedlove",magenta,26,"Pauline Breedlove (33.3); Darlene (18.3); White man (flashlight) (16.7); White man (spirit lamp) (16.7); Blue Jack (14.1)",910,80.0000,51.38,108,
"Claudia",red,15,"Frieda (75.2); Mrs. MacTeer (Claudia's Mother) (43.6); Maureen Peal (29.1); Mr. Henry (21.4); Rosemary Villanucci (17.2)",908,174.0000,100.00,44,
"Pecola Breedlove",blue,14,"Miss Marie (22.4); Soaphead Church (18.3); China (17.2); God (TBE) (15.2); Louis Junior (15.2)",912,140.0000,82.41,130,
"Aunt Jimmy",violet,8,"Miss Alice (17.2); Mrs. Gaines (15.2); Aunt Jimmy's Friends (12.1); M'Dear (12.1); Black Men (11.6)",1029,21.0000,20.86,85,
"Bay Boy",,4,"Woodrow Cain (15.7); Buddy Wilson (14.7); Junie Bug (14.1)",1016,13.0000,16.72,23,
"Isaley's in Akron",,3,"Maureen's Uncle (11.0); Maureen's Uncle's friend (11.0)",1058,3.0000,11.55,81,
"Insurance Folks",,2,"O.V. (11.0)",1059,2.0000,11.03,100,
"Jake",,2,"Suky (12.1)",1061,6.0000,13.10,134,
"The Fishers",,2,"Mr. Fisher (10.5)",1024,3.0000,11.55,137,
"""Northern colored folk""",,1,,953,0.0000,10.00,0,
"3rd Person Narrator (TBE) as character",,1,,1687,0.0000,10.00,1,
"A girl (that Maureen knows)",,1,,1068,0.0000,10.00,2,
"Ada Williams",,1,,947,0.0000,10.00,3,
"Audrey",,1,,1072,0.0000,10.00,4,
"Audrey's hairdresser",,1,,1073,0.0000,10.00,5,
"Aunt Jimmy's Cousins",,1,,1051,0.0000,10.00,6,
"Auntie Julia",,1,,941,0.0000,10.00,7,
"Bertha Reese",,1,,1114,0.0000,10.00,8,
"Betty Grable",,1,,1069,0.0000,10.00,9,
"Bill ""Bojangles"" Robinson",,1,,958,0.0000,10.00,10,
"Black boys",,1,,1011,0.0000,10.00,11,
"Black girls",,1,,1014,0.0000,10.00,12,
"Black women",,1,,962,0.0000,10.00,13,
"Bobby",,1,,981,0.0000,10.00,14,
"Boys (at the pizza parlor)",,1,,971,0.0000,10.00,15,
"Brother (of the woman Pauline used to work for)",,1,,1001,0.0000,10.00,16,
"Charles Breedlove (Aunt Jimmy's Brother)",,1,,1032,0.0000,10.00,17,
"Chicken",,1,,1002,0.0000,10.00,18,
"Cholly's Father's Brother",,1,,1031,0.0000,10.00,19,
"Cholly's Mother",,1,,1028,0.0000,10.00,20,
"Church women",,1,,1078,0.0000,10.00,21,
"Clark Gable",,1,,1007,0.0000,10.00,22,
"Claudia's Grandmother",,1,,1076,0.0000,10.00,24,
"Creditors and Service People",,1,,1027,0.0000,10.00,25,
"Dante",,1,,1110,0.0000,10.00,26,
"De Gobineau",,1,,1105,0.0000,10.00,27,
"Dewey Prince",,1,,993,0.0000,10.00,28,
"Dick",,1,,923,0.0000,10.00,29,
"Dick and Jane's Father",,1,,926,0.0000,10.00,30,
"Dick and Jane's Friend",,1,,927,0.0000,10.00,31,
"Dick and Jane's Mother",,1,,925,0.0000,10.00,32,
"Dick and Jane's narrator as character",,1,,1688,0.0000,10.00,33,
"Doreen",,1,,1116,0.0000,10.00,34,
"Dostoyevsky",,1,,1111,0.0000,10.00,35,
"Drunken men",,1,,930,0.0000,10.00,36,
"Emma",,1,,1052,0.0000,10.00,37,
"Essie Foster",,1,,1046,0.0000,10.00,38,
"Family (""of slender means..."")",,1,,998,0.0000,10.00,39,
"Family (breaking open a watermelon)",,1,,1035,0.0000,10.00,40,
"Fifteen-year-old Girl",,1,,1102,0.0000,10.00,41,
"Fowler Williams",,1,,948,0.0000,10.00,42,
"Franklin D. Roosevelt",,1,,965,0.0000,10.00,43,
"Friend (of Jane)",,1,,1122,0.0000,10.00,45,
"Friends (of the woman that Pauline use to work for",,1,,1000,0.0000,10.00,46,
"Funeral Attendees",,1,,1047,6.0000,13.10,47,
"Ginger Rogers",,1,,944,0.0000,10.00,48,
"Girl (with blue eyes)",,1,,1126,0.0000,10.00,49,
"Greek landlord",,1,,1130,0.0000,10.00,50,
"Greta Garbo",,1,,943,0.0000,10.00,51,
