leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Pecola Breedlove",blue,70,"Cholly Breedlove (69.4); Pauline Breedlove (56.0); Sammy Breedlove (23.3); Pecola's Baby (14.8); Darlene (14.2)",912,386.0000,83.45,11,
"Claudia",red,43,"Frieda (73.9); Mrs. MacTeer (Claudia's Mother) (44.1); Mr. Henry (22.9); The Maginot Line (19.3); Mr. MacTeer (Claudia's Father) (18.4)",908,473.0000,100.00,17,
"Maureen Peal",cyan,28,"Louis Junior (16.1); Bay Boy (14.2); Geraldine (14.0); Woodrow Cain (13.0); Buddy Wilson (12.3)",1010,89.0000,26.93,9,
"Aunt Jimmy",violet,21,"Samson Fuller (Cholly's Father) (16.1); Funeral Attendees (14.4); Miss Alice (13.8); Mrs. Gaines (12.9); M'Dear (12.3)",1029,74.0000,24.08,4,
"Soaphead Church",yellow,15,"God (TBE) (15.1); Velma (12.7); Schoolmaster (son of the religious fanatic) (12.3); Little girls (11.7); Half-Chinese Girl (11.1)",911,92.0000,27.51,14,
"Miss Marie",salmon,14,"China (16.5); Poland (12.5); Jesus (TBE) (11.5); Dewey Prince (11.1); Women (11.0)",986,43.0000,18.18,10,
"Sixteen Grandchildren (of the ""mulatto bastard"")",chartreuse,9,"Sir Whitcomb's ""mulatto bastard"" (11.9); Fifteen-year-old Girl (11.1); Religious fanatic (in the Whitcomb family) (11.1); Six children (of the ""mulatto bastard"") (11.1); Sir Whitcomb (10.8)",1104,11.0000,12.09,13,
"Jane",green,6,"Dick and Jane's Father (13.8); Dick and Jane's Mother (13.8); Dick (13.4); Dick and Jane's Friend (10.8); Friend (of Jane) (10.4)",924,28.0000,15.33,8,
"Jake",,4,"Girls at the funeral (11.1); Boys at the funeral (10.8); Suky (10.8)",1061,9.0000,11.71,15,
"Boys (at the pizza parlor)",,2,"People (at the pizza parlor) (10.2)",971,1.0000,10.19,12,
"3rd Person Narrator (TBE) as character",,1,,1687,0.0000,10.00,0,
"Brother (of the woman Pauline used to work for)",,1,,1001,0.0000,10.00,1,
"Dick and Jane's narrator as character",,1,,1688,0.0000,10.00,2,
"Friends (of the woman that Pauline use to work for",,1,,1000,0.0000,10.00,3,
"Greek landlord",,1,,1130,0.0000,10.00,5,
"Gypsy family",,1,,1129,0.0000,10.00,6,
"Hungarian baker",,1,,1128,0.0000,10.00,7,
"The King",,1,,1099,0.0000,10.00,16,
