leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Cholly Breedlove",magenta,75,"Pauline Breedlove (53.9); Aunt Jimmy (33.6); Sammy Breedlove (32.2); Darlene (22.3); Samson Fuller (Cholly's Father) (20.2)",910,290.0000,87.68,8,
"Pecola Breedlove",blue,51,"Maureen Peal (30.1); China (26.9); Bay Boy (24.2); Woodrow Cain (21.8); Poland (20.7)",912,336.0000,100.00,13,
"Claudia",red,44,"Frieda (73.2); Mrs. MacTeer (Claudia's Mother) (48.3); Mr. Henry (31.2); The Maginot Line (23.1); Mr. MacTeer (Claudia's Father) (20.7)",908,312.0000,93.57,7,
"God (TBE)",yellow,29,"Soaphead Church (29.6); Velma (18.3); Schoolmaster (son of the religious fanatic) (15.1); Little girls (14.6); Half-Chinese Girl (13.5)",951,84.0000,32.50,11,
"Jane",green,11,"Dick and Jane's Father (15.1); Dick and Jane's Mother (14.8); Dick (14.0); Chicken (13.8); Pie (13.8)",924,25.0000,16.70,10,
"Boys (at the pizza parlor)",,2,"People (at the pizza parlor) (10.3)",971,1.0000,10.27,9,
"3rd Person Narrator (TBE) as character",,1,,1687,0.0000,10.00,0,
"Brother (of the woman Pauline used to work for)",,1,,1001,0.0000,10.00,1,
"Dick and Jane's narrator as character",,1,,1688,0.0000,10.00,2,
"Friends (of the woman that Pauline use to work for",,1,,1000,0.0000,10.00,3,
"Greek landlord",,1,,1130,0.0000,10.00,4,
"Gypsy family",,1,,1129,0.0000,10.00,5,
"Hungarian baker",,1,,1128,0.0000,10.00,6,
"The King",,1,,1099,0.0000,10.00,12,
