leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Marina Alexandrovna",yellow,23,"Natasha/Natalia (89.8); Alla Innokentevna (64.2); Petya (45.8); Eva (43.8); Chegga/Sergei Adukanov (40.7)",32,176.0000,100.00,180,
"Yegor Gusakov",chartreuse,14,"Alyona Golosovsky (34.5); Lada (32.5); Sophia Golosovsky (32.5); Kristina (31.5); Masha/Mashenka Zakotnova (31.5)",31,50.0000,35.57,170,
"Oksana",green,11,"Max/Maxim (42.7); Katya/Ekaterina (40.7); Anton (15.1); a bear (14.1); Malysh (Oksana's dog) (14.1)",22,70.0000,45.80,171,
"Ksyusha/Ksenia Adukanov",blue,11,"Chander (30.5); Ruslan (27.9); Alisa (25.3); Margarita Anatolyevna (22.3); The dance troupe (18.2)",7,83.0000,52.44,217,
"Valentina Nikolaevna",red,11,"Olya/Olga (24.3); Diana (17.2); The doctor (14.1); a vendor (12.0); Dr. Popkov (12.0)",30,38.0000,29.43,227,
"Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky",salmon,8,"Anfisa (47.8); Zoya (38.6); Fedya (30.5); Dima (28.4); Tatyana Yurievna (14.1)",17,78.0000,49.89,242,
"Nadia/Nadezhda",purple,7,"Mila/Ludmila (31.5); Baba / Nadia's Mother (25.3); Slava Bychkov (22.3); Nadia's father (19.2); waiter (158) (14.1)",10,124.0000,73.41,178,
"Revmira",orange,7,"Artyom (16.1); Inna (Artyom's Teammate's Wife) (15.1); Vera Vasilievna (Gleb's Mother) (13.1); ""the other nurse"" (11.0); Artyom's Sister (11.0)",16,40.0000,30.45,198,
"a reporter (161)",,2,"a Ukrainian commuter (161) (11.0)",277,2.0000,11.02,99,
"""[apartment] owners who had money now""",,1,,108,0.0000,10.00,0,
"""[apartment] owners who once had money""",,1,,107,0.0000,10.00,1,
"""[the old drunks'] wives""",,1,,225,0.0000,10.00,2,
"""a boy on the dance floor""",,1,,302,0.0000,10.00,3,
"""a couple""",,1,,45,0.0000,10.00,4,
"""a few old drunks""",,1,,224,0.0000,10.00,5,
"""a foreigner""",,1,,124,0.0000,10.00,6,
"""a mother"" (at the hospital)",,1,,119,0.0000,10.00,7,
"""a redheaded soap-opera star""",,1,,227,0.0000,10.00,8,
"""a short haired woman""",,1,,62,0.0000,10.00,9,
"""a team of strangers"" (surgeons)",,1,,141,0.0000,10.00,10,
"""all the children"" (of Russia)",,1,,129,0.0000,10.00,11,
"""an old lady""",,1,,49,0.0000,10.00,12,
"""an older boy in a fitted cap""",,1,,59,0.0000,10.00,13,
"""another five [people in the sauna]""",,1,,292,0.0000,10.00,14,
"""anyone else in their families""",,1,,204,0.0000,10.00,15,
"""arsonists""",,1,,376,0.0000,10.00,16,
"""big familiar men""",,1,,325,0.0000,10.00,17,
"""children wandering""",,1,,97,0.0000,10.00,18,
"""city kids""",,1,,166,0.0000,10.00,19,
"""city people""",,1,,174,0.0000,10.00,20,
"""drivers""",,1,,106,0.0000,10.00,21,
"""drunk drivers and petty arsonists"" (134)",,1,,237,0.0000,10.00,22,
"""everyone else ... [who] had enetered surgery""",,1,,140,0.0000,10.00,23,
"""female colleagues""",,1,,80,0.0000,10.00,24,
"""girls from settlements near Esso""",,1,,175,0.0000,10.00,25,
"""guys in [the dance] group""",,1,,160,0.0000,10.00,26,
"""her daughter"" (in hospital)",,1,,120,0.0000,10.00,27,
"""high school boys on their bikes""",,1,,52,0.0000,10.00,28,
"""investigators""",,1,,229,0.0000,10.00,29,
"""Kamchatka men""",,1,,323,0.0000,10.00,30,
"""kitchen crew""",,1,,197,0.0000,10.00,31,
"""late communters""",,1,,114,0.0000,10.00,32,
"""male coleagues""",,1,,79,0.0000,10.00,33,
"""men who carry weapons""",,1,,366,0.0000,10.00,34,
"""news reporter""",,1,,68,0.0000,10.00,35,
"""official guide""",,1,,362,0.0000,10.00,36,
"""old men""",,1,,118,0.0000,10.00,37,
"""old women""",,1,,110,0.0000,10.00,38,
"""one boy...in year ten of highschool""",,1,,179,0.0000,10.00,39,
"""one person up the Okhotsk coast""",,1,,326,0.0000,10.00,40,
"""other ensembles""",,1,,202,0.0000,10.00,41,
"""other men"" (who wanted Zoya)",,1,,373,0.0000,10.00,42,
"""other passengers""",,1,,264,0.0000,10.00,43,
"""other students""",,1,,168,0.0000,10.00,44,
"""other villagers"" (in Esso)",,1,,266,0.0000,10.00,45,
"""parents neglecting their duties""",,1,,98,0.0000,10.00,46,
"""people ... in Australia""",,1,,105,0.0000,10.00,47,
"""people ... in Hawaii""",,1,,104,0.0000,10.00,48,
"""people at a neighbouring campsite""",,1,,87,0.0000,10.00,49,
"""people freezing to death over the winter""",,1,,378,0.0000,10.00,50,
"""poachers""",,1,,374,0.0000,10.00,51,
"""professional [dance] ensembles""",,1,,154,0.0000,10.00,52,
"""rich visitors""",,1,,363,0.0000,10.00,53,
"""Russian [bus] riders""",,1,,109,0.0000,10.00,54,
"""salmon poachers""",,1,,127,0.0000,10.00,55,
"""somebody in [the sauna]""",,1,,301,0.0000,10.00,56,
"""someone"" (at NYE party)",,1,,213,0.0000,10.00,57,
"""someone's girlfriend""",,1,,35,0.0000,10.00,58,
"""Soviet military""",,1,,130,0.0000,10.00,59,
"""tabloid reporter""",,1,,95,0.0000,10.00,60,
"""the [Golosovsky girls'] father's friends""",,1,,138,0.0000,10.00,61,
"""the boys in Esso""",,1,,188,0.0000,10.00,62,
"""the boys"" (of the dance troupe)",,1,,206,0.0000,10.00,63,
"""the girl at the desk""",,1,,99,0.0000,10.00,64,
"""the guys"" (Yuri's friends)",,1,,149,0.0000,10.00,65,
"""the kid who sat behind [Olya]""",,1,,42,0.0000,10.00,66,
"""the men"" (in Kysusha's family)",,1,,169,0.0000,10.00,67,
"""the men"" (of the reindeer herd)",,1,,199,0.0000,10.00,68,
"""the neighbors""",,1,,280,0.0000,10.00,69,
"""the neighbours they knew"" (Kysusha & Ruslan)",,1,,193,0.0000,10.00,70,
"""the nurses""",,1,,279,0.0000,10.00,71,
"""the other girls"" (of the dance troupe)",,1,,207,0.0000,10.00,72,
"""the politicians who were killing the herding indu",,1,,194,0.0000,10.00,73,
"""the principal""",,1,,102,0.0000,10.00,74,
"""the public"" (53) ?",,1,,132,0.0000,10.00,75,
"""the sick people""",,1,,122,0.0000,10.00,76,
"""the townspeople"" of past Zavoyko",,1,,58,0.0000,10.00,77,
"""the university""",,1,,203,0.0000,10.00,78,
"""the whole family"" (Valentina's extended family)",,1,,117,0.0000,10.00,79,
"""the women in the school office""",,1,,89,0.0000,10.00,80,
"""the women"" (of the reindeer herd)",,1,,198,0.0000,10.00,81,
"""tourist group from Tokyo""",,1,,111,0.0000,10.00,82,
"""tresspassers""",,1,,375,0.0000,10.00,83,
"""Uzbek"" ethnic group",,1,,126,0.0000,10.00,84,
"""vagrants""",,1,,125,0.0000,10.00,85,
"""village women"" (of Esso)",,1,,231,0.0000,10.00,86,
"""white kids in the village"" (Esso)",,1,,167,0.0000,10.00,87,
"""white kids""",,1,,157,0.0000,10.00,88,
"""yet another woman"" (Oksana's husband's lover)",,1,,86,0.0000,10.00,89,
"A ""girl they knew"" (in photo)",,1,,40,0.0000,10.00,90,
"a bus driver",,1,,257,0.0000,10.00,91,
"a girl ""from Lada and Kristina's graduating class""",,1,,290,0.0000,10.00,92,
"a hundred patients",,1,,251,0.0000,10.00,93,
"a landlord",,1,,368,0.0000,10.00,94,
"a lost skier",,1,,254,0.0000,10.00,95,
"a native craftsman",,1,,360,0.0000,10.00,96,
"a pilot",,1,,259,0.0000,10.00,97,
"a trainee (142)",,1,,255,0.0000,10.00,98,
"Airport Security",,1,,165,0.0000,10.00,100,
"Aliens",,1,,92,0.0000,10.00,101,
"Alisa's friends",,1,,150,0.0000,10.00,102,
"Alisa's mother",,1,,146,0.0000,10.00,103,
"Andryukha",,1,,297,0.0000,10.00,104,
"Anfisa's Parents",,1,,221,0.0000,10.00,105,
"artisan (221)",,1,,343,0.0000,10.00,106,
"Artyom's Rescue Teammates",,1,,234,0.0000,10.00,107,
"Artyom's Team Medic",,1,,253,0.0000,10.00,108,
"boy (221)",,1,,344,0.0000,10.00,109,
"Chander's ""neighbours"" (73)",,1,,185,0.0000,10.00,110,
"Chander's ex girlfriend",,1,,182,0.0000,10.00,111,
"Chander's family",,1,,181,0.0000,10.00,112,
"Chander's father",,1,,183,0.0000,10.00,113,
"Chegga & Ksyusha's father",,1,,156,0.0000,10.00,114,
"Chegga & Ksyusha's grandfather",,1,,173,0.0000,10.00,115,
"Chegga & Ksyusha's Uncles",,1,,172,0.0000,10.00,116,
"Chukchi Indigenous peoples",,1,,82,0.0000,10.00,117,
"civilian search party",,1,,112,0.0000,10.00,118,
"civilians of Petropavlosk",,1,,236,0.0000,10.00,119,
"Classmate 1 (in photo)",,1,,37,0.0000,10.00,120,
"Classmate 2 (in photo)",,1,,38,0.0000,10.00,121,
"Communists",,1,,85,0.0000,10.00,122,
"crane operators",,1,,53,0.0000,10.00,123,
"cruise-ship tourists",,1,,61,0.0000,10.00,124,
"customs officers",,1,,69,0.0000,10.00,125,
"dancers (218)",,1,,359,0.0000,10.00,126,
"Doctors",,1,,250,0.0000,10.00,127,
"Esso Police/Village Officers",,1,,163,0.0000,10.00,128,
"Esso's dance troupes",,1,,152,0.0000,10.00,129,
"girl with the golden slipper",,1,,347,0.0000,10.00,130,
"Gleb",,1,,233,0.0000,10.00,131,
"Gorbachev",,1,,244,0.0000,10.00,132,
"history teacher",,1,,34,0.0000,10.00,133,
