leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Valentina Nikolaevna",,62,"Olya/Olga (29.6); Diana (21.9); Olya's mother (15.4); Valentina's Husband (name?) (14.9); Kamchatka police (14.8)",30,210.0000,38.67,8,
"Ksyusha/Ksenia Adukanov",,51,"Ruslan (28.5); Chander (27.0); Alisa (26.3); The dance troupe (20.8); Margarita Anatolyevna (17.8)",7,449.0000,71.46,4,
"Marina Alexandrovna",,43,"Alyona Golosovsky (62.4); Sophia Golosovsky (60.1); Yegor Gusakov (34.1); Eva (31.3); Petya (30.3)",32,657.0000,100.00,1,
"Lada",,37,"Kristina (23.9); Masha/Mashenka Zakotnova (22.2); Kristina's cousin (15.1); Kristina's boyfriend (11.8); Masha's parents (11.8)",28,160.0000,31.81,0,
"Oksana",,35,"Katya/Ekaterina (30.3); Max/Maxim (26.6); Malysh (Oksana's dog) (18.9); Anton (17.0); civilian search party (12.1)",22,211.0000,38.81,6,
"Natasha/Natalia",,33,"Alla Innokentevna (55.1); Lilia Solodikova (42.5); Anfisa (33.5); Denis (31.3); Lilia's Kidnapping/Disappearance (26.6)",12,455.0000,72.29,3,
"Chegga/Sergei Adukanov",,24,"Nadia/Nadezhda (44.3); Mila/Ludmila (26.6); Baba / Nadia's Mother (21.9); Nadia's father (19.2); Slava Bychkov (17.1)",8,326.0000,54.59,2,
"Revmira",,24,"Artyom (19.6); Gleb (13.6); Inna (Artyom's Teammate's Wife) (12.3); Revmira's Father (11.8); Revmira's Mother (11.8)",16,166.0000,32.64,7,
"Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky",,14,"Zoya (32.0); Fedya (17.8); Dima (17.4); Sasha/Alexandra (15.9); Tatyana Yurievna (13.4)",17,250.0000,44.16,9,
"dancers (218)",,9,"Nurgenek Festival Attendees (14.3); a native craftsman (11.5); volunteer (221) (11.5); Russians (generally??) (11.4); boy (221) (11.2)",359,44.0000,15.90,5,
