label,width,height,font_size,label_radius
"""a few people out and about"" (399)",489.60,28.80,24.0,245.22
"""archeomests""",195.00,30.00,25.0,98.65
"""audience"" (on the young junior)",499.20,31.20,26.0,250.09
"""boy"" (missing an arm)",330.00,30.00,25.0,165.68
"""boy"" (red-haired girl's relative)",510.00,30.00,25.0,255.44
"""boy"" (tiny Equatorial)",345.00,30.00,25.0,173.15
"""boy"" (with no penis)",315.00,30.00,25.0,158.21
"""casual travellers""",285.00,30.00,25.0,143.29
"""child"" (in the Season's End)",417.60,28.80,24.0,209.30
"""clerk"" (with Asael and Heresmith)",550.80,32.40,27.0,275.88
"""cooks"" (in the Fulcrum)",360.00,30.00,25.0,180.62
"""fellow juniors"" (in the Fulcrum)",475.20,28.80,24.0,238.04
"""first few women"" (Alabaster was with)",547.20,28.80,24.0,273.98
"""forest cats and other animals"" (233)",555.00,30.00,25.0,277.91
"""girl"" (old burn scars)",345.00,30.00,25.0,173.15
"""girl"" (pushed Damaya in the shower)",518.40,28.80,24.0,259.60
"""girl"" (red-haired eastern Coaster)",525.00,30.00,25.0,262.93
"""girl"" (with sharp teeth)",375.00,30.00,25.0,188.10
"""grit"" (broken hand)",300.00,30.00,25.0,150.75
"""group of young women""",330.00,30.00,25.0,165.68
"""handful of grits"" (in the Fulcrum)",504.00,28.80,24.0,252.41
"""head cook"" (in the Fulcrum)",420.00,30.00,25.0,210.54
"""instructors"" (in the Fulcrum)",666.00,44.40,37.0,333.74
"""leaders of the empire""",345.00,30.00,25.0,173.15
"""mailpost-riders""",244.80,28.80,24.0,123.24
"""man"" (at the roadhouse)",345.60,28.80,24.0,173.40
"""merchant caravanners""",316.80,28.80,24.0,159.05
"""militia units""",225.00,30.00,25.0,113.50
"""old man"" (at the roadhouse)",403.20,28.80,24.0,202.11
"""old masters at uni"" (232)",390.00,30.00,25.0,195.58
"""ones who can't make the steps"" (419)",555.00,30.00,25.0,277.91
"""other people"" (234)",300.00,30.00,25.0,150.75
"""people"" (at the roadhouse)",405.00,30.00,25.0,203.05
"""people"" (loading a ship)",360.00,28.80,24.0,180.58
"""people"" (on the road)",316.80,28.80,24.0,159.05
"""quartent patrol""",244.80,28.80,24.0,123.24
"""servant"" (in Allia)",300.00,30.00,25.0,150.75
"""several dozen people"" (399)",403.20,28.80,24.0,202.11
"""specialists in other areas"" (392)",510.00,30.00,25.0,255.44
"""two of the ones"" (224)",331.20,28.80,24.0,166.22
"""two women"" (at the roadhouse)",432.00,28.80,24.0,216.48
"""woman"" (on the road)",315.00,30.00,25.0,158.21
"""woman"" (with Heresmith)",360.00,30.00,25.0,180.62
"""young junior"" (singing in the Fulcrum)",608.40,31.20,26.0,304.60
"""young man"" (in Allia)",343.20,31.20,26.0,172.31
a clalsu crew woman (385),375.00,30.00,25.0,188.10
a dead Meovite,201.60,28.80,24.0,101.82
a Fulcrum senior (387),316.80,28.80,24.0,159.05
a woman at the Fulcrum (299),403.20,28.80,24.0,202.11
"a young, uncertain man (235)",487.20,34.80,29.0,244.22
a younger Sanzed woman (in the group of five) (235,1020.00,40.80,34.0,510.41
Adolescents/Children (in Allia),483.60,31.20,26.0,242.30
adult orogenes (at the Fulcrum) (298),555.00,30.00,25.0,277.91
Alabaster,885.60,196.80,164.0,453.60
Alabaster's children,300.00,30.00,25.0,150.75
alchemists,150.00,30.00,25.0,76.49
Allia's citizens,268.80,33.60,28.0,135.45
Allia's quartent governor,435.00,34.80,29.0,218.19
Allia's residents at the inn,403.20,28.80,24.0,202.11
an anonymous orogene (237),390.00,30.00,25.0,195.58
Anafumeth (Sanzed Emperor),405.60,31.20,26.0,203.40
ancient orogenes (380),330.00,30.00,25.0,165.68
Antarctic woman (266),466.20,44.40,37.0,234.15
Antimony,168.00,42.00,35.0,86.59
archeomest who Alabaster had affair with,576.00,28.80,24.0,288.36
Asael Leadership Allia,554.40,50.40,42.0,278.34
astronomests,172.80,28.80,24.0,87.59
attack ship members (376),375.00,30.00,25.0,188.10
Bandits (404),195.00,30.00,25.0,98.65
Binof,126.00,50.40,42.0,67.85
Binof's father,218.40,31.20,26.0,110.31
Binof's mother,226.80,32.40,27.0,114.55
Binof's nurses,210.00,30.00,25.0,106.07
Binof's Tutors,210.00,30.00,25.0,106.07
Biomests,115.20,28.80,24.0,59.37
Breeders,115.20,28.80,24.0,59.37
Brevard's citizens,270.00,30.00,25.0,135.83
Brevard's lorists,244.80,28.80,24.0,123.24
bunch of bureaucrats,288.00,28.80,24.0,144.72
cannibals,129.60,28.80,24.0,66.38
Cargo vessel crew (375/76),421.20,32.40,27.0,211.22
Carnelian,167.40,37.20,31.0,85.74
Castrima's citizens,421.80,44.40,37.0,212.07
Castrima's founders,296.40,31.20,26.0,149.02
Chaga,96.00,38.40,32.0,51.70
Charlatans,144.00,28.80,24.0,73.43
child #1 in Ykka's story (337),450.00,30.00,25.0,225.50
child #2 in Ykka's story (337),450.00,30.00,25.0,225.50
Children (in Damaya's creche),435.00,30.00,25.0,218.02
children playing (339),316.80,28.80,24.0,159.05
citizens in Binof's story (317),446.40,28.80,24.0,223.66
Clalsu crew,224.40,40.80,34.0,114.04
Cleaner (Jasper bought liquor from),525.00,30.00,25.0,262.93
Cleaners (in the Fulcrum),375.00,30.00,25.0,188.10
Coaster men (357),244.80,28.80,24.0,123.24
comm that controlled the Geode in the prior season,780.00,31.20,26.0,390.31
commless band that took over Geode,530.40,31.20,26.0,265.66
Corundum,259.20,64.80,54.0,133.59
Crack,93.00,37.20,31.0,50.08
Cranks,86.40,28.80,24.0,45.54
Damaya,471.60,157.20,131.0,248.56
Damaya's cousin,225.00,30.00,25.0,113.50
Damaya's father,342.00,45.60,38.0,172.51
Damaya's mother,369.00,49.20,41.0,186.13
Deelashet,135.00,30.00,25.0,69.15
Dibars' citizens,230.40,28.80,24.0,116.10
doctors,100.80,28.80,24.0,52.42
Drover (in Allia),255.00,30.00,25.0,128.38
Ecella,90.00,30.00,25.0,47.43
Edki,76.80,38.40,32.0,42.93
Equatorials,165.00,30.00,25.0,83.85
Eran,60.00,30.00,25.0,33.54
Essun,588.00,235.20,196.0,316.65
Father (in Tirimo),270.00,30.00,25.0,135.83
Father Earth,345.60,57.60,48.0,175.18
Feldspar,148.80,37.20,31.0,76.69
Feldspar's children,285.00,30.00,25.0,143.29
First Old Sanze Emperor,345.00,30.00,25.0,173.15
Fulcrum orogenes,249.60,31.20,26.0,125.77
gaggle of old women (255),360.00,28.80,24.0,180.58
Galena,93.60,31.20,26.0,49.33
Galena's chatty companion (310),465.00,30.00,25.0,232.98
Gate crew (in Allia),300.00,30.00,25.0,150.75
Geneer Licensure,230.40,28.80,24.0,116.10
Geneers,109.20,31.20,26.0,56.78
Geomests,134.40,33.60,28.0,69.27
Geoneers,115.20,28.80,24.0,59.37
Grit Instructor for Geomestry (277),504.00,28.80,24.0,252.41
Grits (in the Fulcrum),528.00,48.00,40.0,265.09
Guardian Leshet,234.00,31.20,26.0,118.04
Guardian who attacked Hessionite (289),592.80,31.20,26.0,296.81
Guardian who collects Timay's body (327),624.00,31.20,26.0,312.39
Guardians (at the Fulcrum),577.20,44.40,37.0,289.45
Guardians east of Yumenes (346),446.40,28.80,24.0,223.66
Guardians who attack Meov,510.00,40.80,34.0,255.81
Guards/City Militia (308),375.00,30.00,25.0,188.10
Harlas,115.20,38.40,32.0,60.72
Hemoo,75.00,30.00,25.0,40.39
Heresmith Leadership Allia,530.40,40.80,34.0,265.98
Hessionite,156.00,31.20,26.0,79.54
Hoa,275.40,183.60,153.0,165.49
Hostages from the cargo vessel (375),583.20,32.40,27.0,292.05
Imperial Scholars,244.80,28.80,24.0,123.24
Innon,219.00,87.60,73.0,117.94
Innon's children,240.00,30.00,25.0,120.93
Instructor Marcasite,288.00,28.80,24.0,144.72
Jasper,111.60,37.20,31.0,58.82
Jasper's mother,216.00,28.80,24.0,108.96
Jija,134.40,67.20,56.0,75.13
junk science practitioners (246),460.80,28.80,24.0,230.85
Karra,90.00,36.00,30.0,48.47
Karra's children,240.00,30.00,25.0,120.93
Kirkhusa,148.80,37.20,31.0,76.69
Lerna,159.00,63.60,53.0,85.62
Lerna's mother,210.00,30.00,25.0,106.07
Lerna's mother's family,345.00,30.00,25.0,173.15
Leshiye,105.00,30.00,25.0,54.60
Limi,60.00,30.00,25.0,33.54
Little boy (in Tirimo),330.00,30.00,25.0,165.68
Lorists,113.40,32.40,27.0,58.97
mainland Coaster comms (294),420.00,30.00,25.0,210.54
Makenba,109.20,31.20,26.0,56.78
man #1 in Ykka's story (337),420.00,30.00,25.0,210.54
man #2 in Ykka's story (337),420.00,30.00,25.0,210.54
man on stairs (339),273.60,28.80,24.0,137.56
Marald,90.00,30.00,25.0,47.43
Marald's daughter,255.00,30.00,25.0,128.38
Marcasite,135.00,30.00,25.0,69.15
Maxixe,108.00,36.00,30.0,56.92
Meovite abled-bodied adults (349),495.00,30.00,25.0,247.95
Meovite Children,259.20,32.40,27.0,130.61
Meovites,177.60,44.40,37.0,91.53
Meovites on cook duty (419),405.00,30.00,25.0,203.05
Metallorists,180.00,30.00,25.0,91.24
Militia Man (that Ecella hits),450.00,30.00,25.0,225.50
Misalem,142.80,40.80,34.0,74.26
Misalem's children,270.00,30.00,25.0,135.83
Misalem's family,240.00,30.00,25.0,120.93
Monsters,115.20,28.80,24.0,59.37
Muh Dear,124.80,31.20,26.0,64.32
Muh Dear's friends,270.00,30.00,25.0,135.83
Nassun,169.20,56.40,47.0,89.18
Neighbours (in Palela),316.80,28.80,24.0,159.05
newcomers to Ykka's comm (406),450.00,30.00,25.0,225.50
Node maintainer,270.00,36.00,30.0,136.19
old Sanzed comms (417),343.20,31.20,26.0,172.31
older man in cavern (341),375.00,30.00,25.0,188.10
oldest woman (in the group of five) (235),713.40,34.80,29.0,357.12
One of Innon's crew members (377),495.00,30.00,25.0,247.95
orogene attacking Meov with Guardians,555.00,30.00,25.0,277.91
orogenes attacked by old Sanzed people (417),660.00,30.00,25.0,330.34
Others who knew of Syenite,374.40,28.80,24.0,187.75
Ough,60.00,30.00,25.0,33.54
Owel,62.40,31.20,26.0,34.88
Oyamar,97.20,32.40,27.0,51.23
Palela's headman,249.60,31.20,26.0,125.77
people following Essun (389),453.60,32.40,27.0,227.38
poorly armed Strongbacks (239),432.00,28.80,24.0,216.48
potential attackers (265),360.00,28.80,24.0,180.58
Proprietor (in Allia),315.00,30.00,25.0,158.21
Rask,112.80,56.40,47.0,63.06
Rask's father,195.00,30.00,25.0,98.65
Rask's mother,195.00,30.00,25.0,98.65
Rask's sister,210.60,32.40,27.0,106.54
Red-haired woman (266/269),468.00,36.00,30.0,234.69
Refugees,124.80,31.20,26.0,64.32
renowned scholars (391),345.00,30.00,25.0,173.15
Resistants,144.00,28.80,24.0,73.43
ringed orogenes at the Fulcrum (298),561.60,31.20,26.0,281.23
Schaffa,285.60,81.60,68.0,148.51
Schaffa's other orogenes,360.00,30.00,25.0,180.62
Second Guardian who collects Timay's body (327),733.20,31.20,26.0,366.93
Second Yumenescene Lore Council,446.40,28.80,24.0,223.66
Selsi,75.00,30.00,25.0,40.39
seniors (at the Fulcrum),360.00,30.00,25.0,180.62
Shantare,120.00,30.00,25.0,61.85
Shemshena,162.00,36.00,30.0,82.98
small coaster comm (352),360.00,30.00,25.0,180.62
smaller settlements and newcomms (418),547.20,28.80,24.0,273.98
Stablehand (in Allia),315.00,30.00,25.0,158.21
Stills,93.60,31.20,26.0,49.33
stone eater (in the obelisk),453.60,32.40,27.0,227.38
stone eaters in Ykka's comm (397),495.00,30.00,25.0,247.95
Strongbacks,165.00,30.00,25.0,83.85
Sume's citizens,234.00,31.20,26.0,118.04
Syenite,1008.00,288.00,240.0,524.17
Syenite's fellow survivors,374.40,28.80,24.0,187.75
Syenite's roommates,273.60,28.80,24.0,137.56
tall woman (251),230.40,28.80,24.0,116.10
Teachers (from Damaya's creche),446.40,28.80,24.0,223.66
The Emperor,171.60,31.20,26.0,87.21
The Emperor (in the Season of Teeth),626.40,34.80,29.0,313.68
