leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Bennie Salazar",blue,42,"Alex (67.4); Scotty Hausmann (50.9); Lulu Peale (34.4); Rebecca (Alex's wife) (25.3); Cara-Ann (Alex's daughter) (23.2)",67,150.0000,71.93,55,
"Sasha",red,35,"Drew Blake (59.5); Alison Blake (57.9); Robert Freeman Jr. (47.2); Ted Hollander (39.7); Lincoln Blake (31.9)",66,218.0000,100.00,252,
"Lou Kline",orange,34,"Rhea (50.9); Jocelyn (43.9); Rolph (33.9); Charlie (29.0); Alice (22.4)",130,125.0000,61.61,214,
"Jules Jones",cyan,27,"Dolly Peale (41.8); Kitty Jackson (41.8); Stephanie (39.7); Arc (27.3); Bosco (19.1)",138,89.0000,46.74,136,
"Chandra (oldest Stop/Go sister)",,5,"Louisa (younger Stop/Go sister) (13.3); Stop/Go Producer 1 (11.7); Stop/Go Producer 2 (11.7); Stop/Go Producer 3 (11.7)",114,8.0000,13.30,242,
"Flaming Dildos (band)",,3,"crowd at the Mab (12.5); four guys with safety pin chains (11.7)",126,8.0000,13.30,104,
"Lassimo Hotel Concierge",,3,"""security"" (on the phone) (10.8); ""the police"" (10.8)",74,8.0000,13.30,140,
"Jury at Kitty Jackson's trial",,2,"Kitty Jackson's Defense Attorney (10.8)",472,2.0000,10.83,137,
"news reporters",,2,"The General's Human Relations Cpt. (10.8)",526,2.0000,10.83,260,
"""[Kitty's] director""",,1,,263,0.0000,10.00,0,
"""child in the shadows""",,1,,401,0.0000,10.00,1,
"""cloistered nuns""",,1,,103,0.0000,10.00,2,
"""college students"" (in Naples)",,1,,295,0.0000,10.00,3,
"""concert-goers""",,1,,529,0.0000,10.00,4,
"""crone"" (in Naples)",,1,,291,0.0000,10.00,5,
"""disembodied tenants moving inside their rooms""",,1,,194,0.0000,10.00,6,
"""doorman"" (in Naples)",,1,,296,0.0000,10.00,7,
"""girl with the sick heart""",,1,,224,0.0000,10.00,8,
"""girl"" (at the end of the novel)",,1,,421,0.0000,10.00,9,
"""girls from the office""",,1,,104,0.0000,10.00,10,
"""girls with jumpy hands and cracked leather purses",,1,,195,0.0000,10.00,11,
"""guy"" (who snatched Rebecca's purse)",,1,,345,0.0000,10.00,12,
"""iconic actor""",,1,,486,0.0000,10.00,13,
"""kid in a green T-shirt"" (in Naples)",,1,,292,0.0000,10.00,14,
"""last year's Pitters""",,1,,511,0.0000,10.00,15,
"""little girl"" (scarf victim)",,1,,92,0.0000,10.00,16,
"""little girl's"" mother",,1,,93,0.0000,10.00,17,
"""male memoirist""",,1,,156,0.0000,10.00,18,
"""men"" (outside Alex's windows)",,1,,360,0.0000,10.00,19,
"""old woman"" (in Naples)",,1,,293,0.0000,10.00,20,
"""parents"" (of the girl with the sick heart)",,1,,322,0.0000,10.00,21,
"""people"" (at the restaurant)",,1,,261,0.0000,10.00,22,
"""people"" (at the WATERWALK!)",,1,,349,0.0000,10.00,23,
