Dataset,Date,GraphType,NumNodes,NumEdges,AverageDegree,MeanNodeStrength,AverageWeightedDegree,NetworkDiameter,GraphDensity,Modularity,NumCommunities,NumFloatersRemoved
s,April16,ex,378,466,1.2328042328042328,5.8465608465608465,2.9232804232804233,10.0,0.0032700377527963734,0.6330249241603287,226,0
s,April16,exnf,176,466,2.647727272727273,12.556818181818182,6.278409090909091,10.0,0.01512987012987013,0.6330249241603286,24,202
s,April16,ex,378,466,1.2328042328042328,5.8465608465608465,2.9232804232804233,10.0,0.0032700377527963734,0.6330249241603285,226,0
s,April16,exnf,176,466,2.647727272727273,12.556818181818182,6.278409090909091,10.0,0.01512987012987013,0.6330249241603286,24,202
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ts,378,3068,16.232804232804234,33.68783068783069,33.68783068783069,5.0,0.04305783616128444,0.4118387375575959,9,0
s,April16,ex,378,466,1.2328042328042328,5.8465608465608465,2.9232804232804233,10.0,0.0032700377527963734,0.6330249241603285,226,0
s,April16,exnf,176,466,2.647727272727273,12.556818181818182,6.278409090909091,10.0,0.01512987012987013,0.6330249241603285,24,202
s,April23,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April23,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5748476108136386,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5746302337239632,10,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
sh,April28,ss,354,1645,4.646892655367232,18.15819209039548,9.07909604519774,7.0,0.013164001856564396,0.5615887204657661,10,0
to,April28,ss,749,2098,2.801068090787717,10.469959946595461,5.2349799732977305,7.0,0.0037447434368819746,0.5461710241909523,33,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5352525957237247,16,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
s,April23,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
