leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Evelina Harp",,45,"Seraph Milk (Mooshum) (77.2); Shamengwa Milk (33.6); Clemence Harp (32.4); Joseph Harp (31.2); Father Cassidy (29.8)",3,459.0000,100.00,7,
"Emil Buckendorf",,35,"Cuthbert Peace (32.6); Henri Peace (31.2); Emil Buckendorf's First Brother (29.5); Emil Buckendorf's Third Brother (29.5); Emil Buckendorf's Second Brother (29.1)",67,128.0000,34.96,0,
"Marn Wolde",,24,"Billy Peace (34.6); Earl (15.3); Judah Peace (15.3); Lilith Peace (15.3); Marn Wolde's Mother (14.9)",5,194.0000,47.93,3,
"Judge Antone Bazil Coutts",,24,"Doctor Cordelia Lochren (25.9); Neve Harp (24.3); Geraldine Milk (22.0); John Wildstrand (22.0); Judge Coutts' Mother (12.9)",4,111.0000,31.62,4,
"""Mustache"" Maude Black",,6,"Junesse Malaterre (11.8); Ott Black (11.2); Neighbours (of Maude Black) (11.0); Man (who Ott shot in the leg) (10.8); Junesse's Aunt (10.2)",42,20.0000,13.73,6,
"Octave Harp",,5,"Stamp Dealers (10.6); Wealthy Brazilian Woman (10.6); Customs Officials (10.2); Dealer in London (10.2)",29,14.0000,12.55,5,
"""Dakota...Town Site Company"" Members",,2,"Frank Harp (10.2)",238,2.0000,10.20,1,
"Evelina's Ancestors",,2,"French Settlers (10.2)",14,2.0000,10.20,2,
"Train Car Passengers",,1,"",121,2.0000,10.20,8,
"Young Mothers",,1,"",234,2.0000,10.20,9,
