label,width,height,font_size,label_radius
"""[A]congressionalmember""",345.60,28.80,24.0,173.40
"""[B]lue bloodScots""",273.60,28.80,24.0,137.56
"""[E]ightretiredpersons""",379.64,33.01,27.51,190.54
"""[L]awyer""(Billy hires)",331.20,28.80,24.0,166.22
"""[L]ocal boy""(whose handwas amputated)",547.20,28.80,24.0,273.98
"""[L]ocal poetsand hippies""(Evelina liveswith)",648.00,28.80,24.0,324.32
"""[M]ixed-bloods""",247.58,30.95,25.79,124.76
"""[P]eople"" (inMarn's house)",388.80,28.80,24.0,194.93
"""[P]eople""(praying overEd's mother)",504.00,28.80,24.0,252.41
"""[S]ingingpeople""",297.53,35.00,29.17,149.79
"""[S]mall townstripper""",340.43,30.95,25.79,170.92
"""[T]wo...Vallientboys"" (inEdward'sclass)",576.00,28.80,24.0,288.36
"""[W]aitress""(at the 4-B's)",374.40,28.80,24.0,187.75
"""[W]hitegirls""(Evelinaknows)",403.20,28.80,24.0,202.11
"""[Y]oung manon a passengertrain""",460.80,28.80,24.0,230.85
"""AIM-lookingboyfriends""",331.20,28.80,24.0,166.22
"""citizens ofArgus""",259.20,28.80,24.0,130.40
"""cop"" (inCorwin'sfavouritemovie)",460.80,28.80,24.0,230.85
"""Dakota...TownSite Company""Members",526.12,30.95,25.79,263.51
"""doctor""(Wildstrandtook Neve to)",495.17,30.95,25.79,248.07
"""farmer""(pulled Nevefrom a ditch)",510.64,30.95,25.79,255.79
"""four men""(desertedB.J.)",345.60,28.80,24.0,173.40
"""HaskellIndianPrincess""",331.20,28.80,24.0,166.22
"""Indian women""(on campus)",360.00,28.80,24.0,180.58
"""Indians""",139.27,30.95,25.79,71.33
"""local doctor""(Ginimosheassisted)",577.57,35.00,29.17,289.31
"""manager"" (ofa music store)",388.80,28.80,24.0,194.93
"""musician""(pg. 208)",294.01,30.95,25.79,147.82
"""Mustache""Maude Black",406.98,38.76,32.3,204.41
"""nun"" (pg.204)",201.60,28.80,24.0,101.82
"""patients"" (ofthe localdoctor)",464.22,30.95,25.79,232.63
"""patron"" (pg.276)",244.80,28.80,24.0,123.24
"""people"" (atShamengwa'sfuneral)",479.69,30.95,25.79,240.35
"""people"" (inthe foodcourt)",402.32,30.95,25.79,201.76
"""people"" (pg.208)",244.80,28.80,24.0,123.24
"""police"" (withNeve)",294.01,30.95,25.79,147.82
"""robber"" (heldJohn up)",316.80,28.80,24.0,159.05
"""roommate"" (ofJudge Coutts'Mother)",489.60,28.80,24.0,245.22
"""The greatchiefs""",244.80,28.80,24.0,123.24
"""woman"" (pg.208)",230.40,28.80,24.0,116.10
"""youth"" (ofSt. Anthony)",355.90,30.95,25.79,178.62
"Agathe(""Happy"")",232.11,30.95,25.79,117.08
AlbertCamus,158.40,28.80,24.0,80.50
Alexander theGreat,259.20,28.80,24.0,130.40
AnaïsNin,123.79,30.95,25.79,63.80
Anguish,115.54,33.01,27.51,60.08
Apollo,86.40,28.80,24.0,45.54
ArthurRimbaud,187.20,28.80,24.0,94.70
Asiginak,297.31,74.33,61.94,153.23
Athena,86.40,28.80,24.0,45.54
Aunt (whoworked inCanada),386.85,30.95,25.79,194.04
B.J.Bolt,194.64,48.66,40.55,100.32
Babies,92.84,30.95,25.79,48.93
Baby (who theMilk familylost),448.75,30.95,25.79,224.91
BankRobbers,158.40,28.80,24.0,80.50
BenjaminFranklin,230.40,28.80,24.0,116.10
BerylHoop,129.60,28.80,24.0,66.38
BillyPeace,436.74,87.35,72.79,222.69
Billy Peace'sFather,313.61,33.01,27.51,157.67
Billy Peace'sGrandfather,371.38,30.95,25.79,186.33
Billy Peace'sGrandmother,371.38,30.95,25.79,186.33
Billy Peace'sMother,332.54,35.00,29.17,167.19
Bliss,96.90,38.76,32.3,52.18
BobDylan,115.20,28.80,24.0,59.37
Bonnie,86.40,28.80,24.0,45.54
BrazilianWoman's Son,309.48,30.95,25.79,155.51
CaiusCaesar,158.40,28.80,24.0,80.50
Candy,77.37,30.95,25.79,41.67
Card-PlayingGroups,259.20,28.80,24.0,130.40
CharlesBerlitz,201.60,28.80,24.0,101.82
CharlieChaplin,201.60,28.80,24.0,101.82
ChiefGall,129.60,28.80,24.0,66.38
ChurchSociety,187.20,28.80,24.0,94.70
ClemenceHarp,524.09,87.35,72.79,265.66
Clemence'sDoctor,230.40,28.80,24.0,116.10
Colonel BentonLungsford,505.36,43.94,36.62,253.63
ColonelLeVinne P.Poolcaugh,429.16,33.01,27.51,215.21
Cordelia'sFirst Husband,331.20,28.80,24.0,166.22
Cordelia'sNurse,216.00,28.80,24.0,108.96
Cordelia'sOlder Sister,316.80,28.80,24.0,159.05
Cordelia'sPatients,278.53,30.95,25.79,140.12
Cordelia'sReceptionist,340.43,30.95,25.79,170.92
Corwin(Billy's bestbuddy),360.00,28.80,24.0,180.58
CorwinPeace,393.16,71.48,59.57,199.80
Corwin Peace'sGirlfriends,360.00,28.80,24.0,180.58
Corwin'sProbationOfficer,371.38,30.95,25.79,186.33
Customers atThe 4-B's,302.40,28.80,24.0,151.88
CustomsOfficials,230.40,28.80,24.0,116.10
CuthbertPeace,477.13,73.40,61.17,241.37
Dealer inLondon,216.00,28.80,24.0,108.96
Deborah,122.51,35.00,29.17,63.71
Deborah'schildren,263.06,30.95,25.79,132.44
Democritas,144.00,28.80,24.0,73.43
Doctor (whoMaude sentfor),360.00,28.80,24.0,180.58
DoctorCordeliaLochren,869.78,82.84,69.03,436.86
Doctors (atthe statementalhospital),541.59,30.95,25.79,271.24
Dorea AnnSwivel,276.84,36.91,30.76,139.64
Dorea'sHusband,216.64,30.95,25.79,109.42
DwightEisenhower,230.40,28.80,24.0,116.10
Earl,81.10,40.55,33.79,45.33
"Ed (""[M]ainpreacher"")",346.63,33.01,27.51,174.10
Ed'sMother,165.06,33.01,27.51,84.16
EdwardCurtis,185.69,30.95,25.79,94.12
EdwardHarp,367.02,73.40,61.17,187.14
Edward'sStudents,230.40,28.80,24.0,116.10
Electa andTobek'sParents,371.38,30.95,25.79,186.33
ElectaHoag,175.02,35.00,29.17,89.24
EmilBuckendorf,680.32,97.19,80.99,343.61
EmilBuckendorf'sFirst Brother,1364.68,94.12,78.43,683.96
EmilBuckendorf'sSecond Brother,1411.74,94.12,78.43,707.44
EmilBuckendorf'sThird Brother,1364.68,94.12,78.43,683.96
EneryMantle,203.02,36.91,30.76,103.17
EnglishBill,387.75,70.50,58.75,197.05
Epictetus,129.60,28.80,24.0,66.38
Erling NicolaiRolfsrud,316.80,28.80,24.0,159.05
EugeneWildstrand,522.24,65.28,54.4,263.15
Evelina andJoseph'sFriends,402.32,30.95,25.79,201.76
Evelina andJoseph's OtherCousins,460.80,28.80,24.0,230.85
EvelinaHarp,825.00,150.00,125.0,419.26
Evelina'sAncestors,259.20,28.80,24.0,130.40
Evelina'sFormerTeachers,331.20,28.80,24.0,166.22
Evelina'sfriends (inGrand Forks),495.17,30.95,25.79,248.07
Evelina'sGirlfriends,288.00,28.80,24.0,144.72
Evelina'sRoommate,244.80,28.80,24.0,123.24
FarmWomen,139.27,30.95,25.79,71.33
Farmers (whoshipped theirharvests bytrain),604.80,28.80,24.0,302.74
Farmers (whowatched thelynchingparty),532.80,28.80,24.0,266.79
FatherCassidy,438.28,67.43,56.19,221.72
FatherJasperine,232.11,30.95,25.79,117.08
FirstIcelandicWoman,294.01,30.95,25.79,147.82
FrancisBacon,172.80,28.80,24.0,87.59
FrankBaptist,185.69,30.95,25.79,94.12
FrankHarp,139.27,30.95,25.79,71.33
FredericVogeli,398.92,56.99,47.49,201.48
FrenchSettlers,201.60,28.80,24.0,101.82
FrenchVoyageur,201.60,28.80,24.0,101.82
Frenchie,123.79,30.95,25.79,63.80
Freshmen'sParents,244.80,28.80,24.0,123.24
GabrielDumont,201.16,30.95,25.79,101.76
Geraldine andCoutts'Wedding Guests,526.12,30.95,25.79,263.51
GeraldineMilk,451.78,69.50,57.92,228.55
GermanSettlers,201.60,28.80,24.0,101.82
Ginimoshe,174.42,38.76,32.3,89.34
God,60.82,40.55,33.79,36.55
Gottschalk,154.74,30.95,25.79,78.90
Henri andLafayettePeace's Uncles,495.17,30.95,25.79,248.07
HenriPeace,397.98,79.60,66.33,202.93
Henri Peace'sFather,294.01,30.95,25.79,147.82
Henri Peace'sWife,244.80,28.80,24.0,123.24
HenricGostlin,214.58,33.01,27.51,108.55
Henry DavidThoreau,259.20,28.80,24.0,130.40
Heraclitus,144.00,28.80,24.0,73.43
Herodotus,129.60,28.80,24.0,66.38
Hobby ClubMembers,244.80,28.80,24.0,123.24
HolyTrack,350.57,77.90,64.92,179.56
"HolyTrack's""deydey""",273.60,28.80,24.0,137.56
Holy Track’sMother,315.04,35.00,29.17,158.49
Husband (ofthe womanmurdered acouple farmsover,711.80,30.95,25.79,356.24
Husbands (ofYoung Mothers),374.40,28.80,24.0,187.75
JabezWoods,144.00,28.80,24.0,73.43
JackieKennedy,187.20,28.80,24.0,94.70
JanisJoplin,158.40,28.80,24.0,80.50
Jesus,87.51,35.00,29.17,47.13
JohannVogeli,263.66,43.94,36.62,133.65
JohannVogeli's LateMother,386.85,30.95,25.79,194.04
Johann'sMother'sFamily inHeidelburg,504.00,28.80,24.0,252.41
John F.Kennedy,216.64,30.95,25.79,109.42
JohnWildstrand,441.34,63.05,52.54,222.91
JohnWildstrand'sEmployees,360.00,28.80,24.0,180.58
JoniMitchell,172.80,28.80,24.0,87.59
Joseph(biblicalfigure),340.43,30.95,25.79,170.92
JosephHarp,402.12,80.42,67.02,205.04
Joseph J.Coutts,638.55,85.14,70.95,322.10
Joseph J.Coutts' Wife,324.95,30.95,25.79,163.21
Joseph Milk(Seraph Milk'sFather),676.42,42.28,35.23,338.87
JudahPeace,315.24,63.05,52.54,160.74
Judge AntoneBazil Coutts,1329.84,110.82,92.35,667.22
Judge Coutts'Cousin,273.60,28.80,24.0,137.56
Judge Coutts'Father,350.66,36.91,30.76,176.30
Judge Coutts'Mother,401.62,42.28,35.23,201.92
Judge Coutts'Mother'sFamily,388.80,28.80,24.0,194.93
JunesseMalaterre,412.70,51.59,42.99,207.96
Junesse'sAunt,201.16,30.95,25.79,101.76
Junesse's SixYoungerCousins,417.80,30.95,25.79,209.47
LafayettePeace,551.29,78.76,65.63,278.44
LafayettePeace's Wife,324.95,30.95,25.79,163.21
LaFountaine,158.40,28.80,24.0,80.50
LilithPeace,352.97,64.18,53.48,179.38
LouisRiel,166.10,36.91,30.76,85.08
Louis Riel'sChild,263.06,30.95,25.79,132.44
Louis Riel'sEvelina,273.60,28.80,24.0,137.56
Louis Riel'sLieutenants,355.90,30.95,25.79,178.62
Louis Riel'sWife,247.58,30.95,25.79,124.76
LouisaBird,154.74,30.95,25.79,78.90
Lucille,115.54,33.01,27.51,60.08
Lucille'sChildren,263.06,30.95,25.79,132.44
Lucretius,129.60,28.80,24.0,66.38
MaggiePeace,298.98,54.36,45.3,151.94
Man (who Ottshot in theleg),417.80,30.95,25.79,209.47
MantleFamily,172.80,28.80,24.0,87.59
MarcusAurelius,231.08,33.01,27.51,116.72
MargaretLesperance,278.53,30.95,25.79,140.12
MarieAntoinette,216.00,28.80,24.0,108.96
MarnWolde,450.47,100.10,83.42,230.73
Marn Wolde'sFather,437.94,48.66,40.55,220.32
Marn Wolde'sFirst Brother,412.65,33.01,27.51,206.98
Marn Wolde'sGrandfather,355.90,30.95,25.79,178.62
Marn Wolde'sGrandmother,355.90,30.95,25.79,178.62
Marn Wolde'sMother,451.33,50.15,41.79,227.05
Marn Wolde'sSecond Brother,429.16,33.01,27.51,215.21
Marn'sCopperhead,280.03,35.00,29.17,141.11
Marn'sDiamondback,297.53,35.00,29.17,149.79
Mary (biblicalfigure),346.63,33.01,27.51,174.10
Mom (carryinghertwo-year-old),417.60,28.80,24.0,209.30
Mrs.Bannock,158.40,28.80,24.0,80.50
Mrs.L,96.90,38.76,32.3,52.18
"Mrs.L's""littleboy""",259.20,28.80,24.0,130.40
