modularity_class,community_size,leader_id,leader_label,leader_strength,leader_size,other_large_nodes,assigned_color,notes
155,34,11,"Marie Beaudoin",201.0000,97.82,"Sylvie Beaudoin (74.2); Johnny Beaudoin (32.7); Slutty Christy (24.9); Michelle (23.1); Helen Mckay (20.5)",blue,
111,33,28,"Bing/Bernard Espiritu",206.0000,100.00,"Edna Espiritu (57.6); Tita Mae (19.6); Estheticians at Edna's salon (18.3); Hakim (17.0); children in the community (15.2)",red,
208,22,96,"Victor",31.0000,23.54,"Lady Roy (19.6); Cindy (17.0); The police (17.0); Pamela Roy (15.7); White people (13.1)",yellow,
141,20,3,"Laura Mitkowski",94.0000,51.07,"Cory Mitkowski (41.9); Clive (17.4); Ivana (16.1); Mrs. Kamal (16.1); Jessica (Laura's Mom) (14.4)",green,
183,12,5,"Hina Hassani",170.0000,84.27,"Jane Fulton (31.0); Evalyn Chau (17.0); ""the literary centre's regulars"" (132) (13.5); Family Doctor (Hina's friend) (13.5); Ryan Hoffman (13.5)",cyan,
214,7,106,"Clementine (orangutan)",8.0000,13.50,"Clementine's siblings (13.5); Other animals (at the zoo) (13.5); Zookeepers (12.6); Painted Box Turtles (11.7); Visitors (of the zoo) (11.7)",magenta,
115,6,295,"Elder Fay",10.0000,14.37,"Bing's Class (12.6); Mrs. Rhodes (11.7); Aiden Chan (10.9); Cole Hester (10.9); Levy (10.9)",,
201,6,115,"the cashier (dollar store)",8.0000,13.50,"the manager (dollar store) (13.5); ""the lady in front of us"" (80) (12.6); ""the rest of the line"" (80) (12.6); Mr. George (12.6); ""a man with a basket of party favours"" (79) (11.7)",,
113,5,7,"Clara Jane Donohue",43.0000,28.79,"Edward Donohue (22.2); Wendy Donohue (20.5); Uncle Olly (19.6); Jason (11.7)",,
218,4,121,"Winsum",30.0000,23.11,"Lorna (16.1); Melvin (13.5); person on the phone with Winsum (11.7)",,
181,3,216,"Residents of the Galloway Shelter",6.0000,12.62,"""abusive partners"" (10.9); ""angry drug dealers"" (10.9)",,
222,3,225,"Aunt (who took away the woman's kids)",4.0000,11.75,"Kids (of the woman who collapsed) (10.9); Woman (Michelle sees collapse) (10.9)",,
75,2,113,"""some man wearing a UFC bandana"" (79)",2.0000,10.87,"""white lady wearing a muumuu"" (78) (10.9)",,
88,2,368,"Autistic child (in video)",2.0000,10.87,"Caregiver (in video) (10.9)",,
121,2,244,"Babies",2.0000,10.87,"Filipinos (10.9)",,
159,2,179,"""parents"" (of children in Landau's class)",2.0000,10.87,"Mrs Landau (10.9)",,
171,2,17,"Parker",2.0000,10.87,"Parker's mom (10.9)",,
175,2,371,"Five Women (holding certificates)",4.0000,11.75,"Photographer (10.9)",,
179,2,308,"Brown family",2.0000,10.87,"Ravinder Kaur (10.9)",,
182,2,94,"""Mitchell next door"" (72)",2.0000,10.87,"Richard (10.9)",,
221,2,262,"People in the East Point Bird Sanctuary",2.0000,10.87,"Wives (of homosexuals) (10.9)",,
0,1,183,"""a cop"" (118)",0.0000,10.00,,,
1,1,187,"""a crowd of people"" (125)",0.0000,10.00,,,
2,1,128,"""a few folks"" (84)",0.0000,10.00,,,
3,1,78,"""a flurry of children"" (60)",0.0000,10.00,,,
4,1,199,"""a parent"" (131)",0.0000,10.00,,,
