leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Sylvie Beaudoin",blue,106,"Marie Beaudoin (64.2); Johnny Beaudoin (34.1); Michelle (21.3); Slutty Christy (20.8); Jonathon Beaudoin (17.4)",10,536.0000,89.19,7,
"Bing/Bernard Espiritu",pink,74,"Edna Espiritu (49.7); Bing's Dad (15.2); Tita Mae (14.7); Hakim (14.1); Mrs. Rhodes (13.8)",28,457.0000,77.50,0,
"Hina Hassani",yellow,70,"Jane Fulton (26.9); Helen Mckay (17.3); Fern Donahue (16.5); Pamela Roy (16.4); parents in the community (16.1)",5,609.0000,100.00,4,
"Laura Mitkowski",red,52,"Cory Mitkowski (42.7); Jessica (Laura's Mom) (17.0); Mrs. Kamal (14.6); Ivana (14.3); Mrs Landau (13.0)",3,292.0000,53.08,3,
"Victor",cyan,41,"Cindy (17.3); The police (16.4); Travis (13.7); White people (12.4); Eunice (Cindy's dog) (12.2)",96,66.0000,19.62,8,
"Winsum",magenta,18,"Clive (18.1); Lorna (16.7); Melvin (15.3); Winsum's Mother (11.2); Joffrey (10.7)",121,65.0000,19.47,9,
"Clara Jane Donohue",,11,"Edward Donohue (15.9); Uncle Olly (14.3); Wendy Donohue (14.1); Santa (12.2); Jason (11.9)",7,83.0000,22.14,1,
"Bob Marley",,2,"Elders (10.0)",306,1.0000,10.00,2,
"Five Women (holding certificates)",,2,"Photographer (10.1)",371,4.0000,10.44,5,
"Brown family",,2,"Ravinder Kaur (10.1)",308,2.0000,10.15,6,
