label,width,height,font_size,label_radius
"""a cop"" (118)",201.16,30.95,25.79,101.76
"""a cop"" (74)",185.69,30.95,25.79,94.12
"""a crowd ofpeople"" (125)",371.38,30.95,25.79,186.33
"""a few folks""(84)",263.06,30.95,25.79,132.44
"""a flurry ofchildren"" (60)",374.40,28.80,24.0,187.75
"""a man with abasket ofparty favours""(79)",775.20,38.76,32.3,388.08
"""a parent""(131)",232.11,30.95,25.79,117.08
"""a shirtlessman"" (20)",406.98,38.76,32.3,204.41
"""a teacher""(87)",216.00,28.80,24.0,108.96
"""a toddler""(131)",247.58,30.95,25.79,124.76
"""a white lady""at the nailsalon (68)",577.71,33.01,27.51,289.33
"""a young girlnamedSamantha""(108)",560.06,35.00,29.17,280.58
"""abusivepartners""",263.06,30.95,25.79,132.44
"""Ada, the palmreader"" (74)",402.32,30.95,25.79,201.76
"""all of thechildren"" inthe GallowayShelter (137",775.78,33.01,27.51,388.24
"""all thechildrensitting crosslegged"" (85)",676.75,33.01,27.51,338.78
"""all the girlson theplayground""(113)",557.06,30.95,25.79,278.96
"""all theparents"" (61)",302.40,28.80,24.0,151.88
"""an elderlyAsian woman""(41) / Thebowling alley",848.98,36.91,30.76,424.89
"""angry drugdealers""",294.01,30.95,25.79,147.82
"""Brothers""(141)",232.11,30.95,25.79,117.08
"""Children""(141)",232.11,30.95,25.79,117.08
"""chubby whiteboy with redhair"" (77)",541.59,30.95,25.79,271.24
"""Cindy, thepuppy milllady"" (74)",511.69,33.01,27.51,256.37
"""Cousins""(141)",216.64,30.95,25.79,109.42
"""Daddies""(141)",216.64,30.95,25.79,109.42
"""each student""(117)",294.01,30.95,25.79,147.82
"""families withlighter skin""(113)",460.80,28.80,24.0,230.85
"""fat kids""(108)",216.00,28.80,24.0,108.96
"""Fathers""(141)",216.64,30.95,25.79,109.42
"""four ganglyteens"" (84)",355.90,30.95,25.79,178.62
"""grade threeclassmates""(24)",417.80,30.95,25.79,209.47
"""her mother inlaw"" (36)",355.90,30.95,25.79,178.62
"""Hilda""",108.32,30.95,25.79,56.33
"""his friendswho came over""(72)",464.22,30.95,25.79,232.63
"""his grandma""(78)",263.06,30.95,25.79,132.44
"""hungrypeople"" (57)",273.60,28.80,24.0,137.56
"""Indian kids""(26)",244.80,28.80,24.0,123.24
"""Kids"" (at theWoodbineRacetrack)(138)",572.54,30.95,25.79,286.69
"""Maurie, thebus driver""(74)",445.66,33.01,27.51,223.44
"""Mitchell nextdoor"" (72)",465.12,38.76,32.3,233.37
"""moneyedfolks"" (129)",288.00,28.80,24.0,144.72
"""Mother[s]""(141)",247.58,30.95,25.79,124.76
"""niece""(80)",170.21,30.95,25.79,86.50
"""nosy people""(73)",263.06,30.95,25.79,132.44
"""old ladies""(73)",247.58,30.95,25.79,124.76
"""older kids""(33)",230.40,28.80,24.0,116.10
"""one andone-halfparents"" (114)",464.22,30.95,25.79,232.63
"""one elderlywoman"" (32)",331.20,28.80,24.0,166.22
"""one mother""(130)",263.06,30.95,25.79,132.44
"""one of theVietnameseladies at thecounter"" (67)",727.28,30.95,25.79,363.97
"""otherunsupervisedchildren""(138)",460.80,28.80,24.0,230.85
"""our fathers""(114)",278.53,30.95,25.79,140.12
"""ourgrandmothers""(114)",340.43,30.95,25.79,170.92
"""P*kis""",108.32,30.95,25.79,56.33
"""parents"" (atthe WoodbineRacetrack)(138)",618.96,30.95,25.79,309.87
"""parents"" (ofchildren inLandau'sclass)",588.01,30.95,25.79,294.41
"""poor brownand Blackparents"" (126)",526.12,30.95,25.79,263.51
"""severaltoddlers"" (87)",316.80,28.80,24.0,159.05
"""siblings fromdifferentdads"" (114)",526.12,30.95,25.79,263.51
"""Singlemamas""",187.20,28.80,24.0,94.70
"""smiling blackwomen inshower caps""(79)",547.20,28.80,24.0,273.98
"""Socialworkers"" (141)",324.95,30.95,25.79,163.21
"""some blackboy"" (118)",302.40,28.80,24.0,151.88
"""some lady ina pantsuit""(126)",448.75,30.95,25.79,224.91
"""some lawyeron TV"" (103)",345.60,28.80,24.0,173.40
"""some manwearing a UFCbandana"" (79)",678.30,38.76,32.3,339.70
"""some of thecaregivers""(130)",433.27,30.95,25.79,217.19
"""spiesdisguised aswaiters"" (onTV)(105)",588.01,30.95,25.79,294.41
"""the bandEnglish Beat""(118)",388.80,28.80,24.0,194.93
"""the bandKiss"" (131)",288.00,28.80,24.0,144.72
"""the boys""(Cory'sfriends)",386.85,30.95,25.79,194.04
"""the driver""(140)",244.80,28.80,24.0,123.24
"""thehooligans""(114)",294.01,30.95,25.79,147.82
"""the lady infront of us""(80)",462.17,33.01,27.51,231.67
"""the literarycentre'sregulars""(132)",678.30,38.76,32.3,339.70
"""the nurses""(135)",244.80,28.80,24.0,123.24
"""the peoplesitting acrossfrom him"" (73)",603.49,30.95,25.79,302.14
"""the rest ofthe line"" (80)",503.88,38.76,32.3,252.68
"""the rest ofthe tenants""(125)",417.60,28.80,24.0,209.30
"""theschool-agers""(61)",324.95,30.95,25.79,163.21
