leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Bobby Mahon",red,41,"Frank Mahon (45.2); Triona Cahill/Mahon (39.5); Jim Gildea (35.3); Bobby's Grandad (19.8); Bobby's Mother (15.6)",1,128.0000,100.00,140,
"Réaltín",salmon,36,"Seanie Shaper (Sean Shanahan) (62.0); George McSweeney (28.3); Tom (Réaltín's father) (26.9); Hillary (24.1); Seanie's brothers (15.6)",5,86.0000,70.47,109,
"Josie Burke",chartreuse,22,"Pokey Burke (52.2); Eamonn Burke (50.8); Dorothy (49.4); Eileen Burke (48.0); Doctor Roche (43.8)",2,90.0000,73.28,76,
"Trevor",green,21,"Denis (32.5); Kate (31.1); Lloyd (25.5); Dylan (Réaltín's son) (23.4); Trevor's mother (17.0)",8,40.0000,38.13,138,
"Timmy Hanrahan",cyan,20,"Mickey Briars (25.5); ""the boys"" (who worked for Pokey) (24.1); Noreen (19.8); Polish men (15.6); Timmy's Nana (15.6)",6,70.0000,59.22,133,
"Vasya Afanasiev",magenta,18,"Viktor Afanasiev (18.4); Men (who worked with Vasya and her brother) (15.6); Man (Vasya worked with) (14.2); Vasya's boss (14.2); Vasya's family (14.2)",4,58.0000,50.78,144,
"Bridie Connors",blue,14,"Michael Connors (23.4); Bridie's other children (17.0); Eugene Connors (15.6); John Cotter (15.6); Peter Connors (15.6)",9,39.0000,37.42,90,
"Brian",orange,10,"Paddy (Brian's father) (19.1); Brian's mother (18.4); Kenny Farrell (14.2); Pawsy Rogers (14.2); ""a lad from the village"" (11.4)",7,19.0000,23.36,97,
"Lily",yellow,9,"Bernie McDermott (15.6); John-John (15.6); ""young fella"" (12.8); Men (who come see Lily) (12.8); ""old farmers"" (11.4)",3,40.0000,38.13,82,
"Jason",violet,9,"Eugene Penrose (13.5); the Cunliffes' son (13.5); Armed Response Guards (12.8); Jason's ex-girlfriend (12.8); some farmer lad (12.8)",10,14.0000,19.84,114,
"Hughie",,7,"Hughie's wife (28.3); Millicent (24.1); ""pricks bollockses and stupid fuckers"" (12.8); Assumpta Gill (12.8); ""other fellas driving their cars"" (11.4)",102,26.0000,28.28,65,
"Rory Slattery",,4,"Rory's Father (17.0); Rory's Mother (17.0); Holly (12.8)",15,24.0000,26.88,107,
"the Tans",,3,"children (abstract) (11.4); women (abstract) (11.4)",341,4.0000,12.81,130,
"""Aussies""",,2,"""crathur"" (11.4)",186,2.0000,11.41,3,
"Joe Duffy",,2,"Whingers on Joe Duffy (11.4)",308,2.0000,11.41,148,
"""auld black doctors""",,1,,153,0.0000,10.00,0,
"""blondie wan""",,1,,191,0.0000,10.00,1,
"""C2 boys""",,1,,146,0.0000,10.00,2,
"""four or five boys"" (Josie brought with him)",,1,,82,0.0000,10.00,4,
"""four or five more bollockses""",,1,,301,0.0000,10.00,5,
"""four or five qualified childminders""",,1,,317,0.0000,10.00,6,
"""Godless fuckin Proddie""",,1,,347,0.0000,10.00,7,
"""Gombeen man""",,1,,182,0.0000,10.00,8,
"""great big fat fella"" (Josie worked for)",,1,,81,0.0000,10.00,9,
"""junior solicitors""",,1,,234,0.0000,10.00,10,
"""lads in films""",,1,,298,0.0000,10.00,11,
"""Little bitches at work""",,1,,292,0.0000,10.00,12,
"""naked women"" in a magazine",,1,,159,0.0000,10.00,13,
"""next prick""",,1,,26,0.0000,10.00,14,
"""old guard in front of Ciss's front bar""",,1,,74,0.0000,10.00,15,
"""other teachers""",,1,,86,0.0000,10.00,16,
"""Paki doctors""",,1,,344,0.0000,10.00,17,
"""People who give out the dole""",,1,,289,0.0000,10.00,18,
"""poor tenant farmer""",,1,,181,0.0000,10.00,19,
"""starving babbies""",,1,,155,0.0000,10.00,20,
"""the Pope"" (Seán Pól)",,1,,47,0.0000,10.00,21,
"""wans from the convent""",,1,,241,0.0000,10.00,22,
"""young lads""",,1,,87,0.0000,10.00,23,
"Angelina Jolie",,1,,280,0.0000,10.00,24,
"Anselm Grogan",,1,,178,0.0000,10.00,25,
"Auntie Mary",,1,,164,0.0000,10.00,26,
"Bible bashers",,1,,357,0.0000,10.00,27,
"bigmouths (on the radio & tv)",,1,,333,0.0000,10.00,28,
"Black Francis",,1,,283,0.0000,10.00,29,
"Braveheart",,1,,226,0.0000,10.00,30,
"Colin Firth",,1,,42,0.0000,10.00,31,
"Conleth Barry",,1,,300,0.0000,10.00,32,
"Cops (general)",,1,,24,0.0000,10.00,33,
"Cordelia",,1,,64,0.0000,10.00,34,
