leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Bobby Mahon",red,41,"Frank Mahon (44.3); Triona Cahill/Mahon (38.6); Jim Gildea (34.3); Bobby's Grandad (18.6); Bobby's Mother (14.3)",1,128.0000,100.00,13,
"Réaltín",salmon,36,"Seanie Shaper (Sean Shanahan) (61.4); George McSweeney (27.1); Tom (Réaltín's father) (25.7); Hillary (22.9); Seanie's brothers (14.3)",5,86.0000,70.00,7,
"Josie Burke",chartreuse,22,"Pokey Burke (51.4); Eamonn Burke (50.0); Dorothy (48.6); Eileen Burke (47.1); Doctor Roche (42.9)",2,90.0000,72.86,2,
"Trevor",green,21,"Denis (31.4); Kate (30.0); Lloyd (24.3); Dylan (Réaltín's son) (22.1); Trevor's mother (15.7)",8,40.0000,37.14,12,
"Timmy Hanrahan",cyan,20,"Mickey Briars (24.3); ""the boys"" (who worked for Pokey) (22.9); Noreen (18.6); Polish men (14.3); Timmy's Nana (14.3)",6,70.0000,58.57,11,
"Vasya Afanasiev",magenta,18,"Viktor Afanasiev (17.1); Men (who worked with Vasya and her brother) (14.3); Man (Vasya worked with) (12.9); Vasya's boss (12.9); Vasya's family (12.9)",4,58.0000,50.00,14,
"Bridie Connors",blue,14,"Michael Connors (22.1); Bridie's other children (15.7); Eugene Connors (14.3); John Cotter (14.3); Peter Connors (14.3)",9,39.0000,36.43,4,
"Brian",orange,10,"Paddy (Brian's father) (17.9); Brian's mother (17.1); Kenny Farrell (12.9); Pawsy Rogers (12.9); ""a lad from the village"" (10.0)",7,19.0000,22.14,5,
"Lily",yellow,9,"Bernie McDermott (14.3); John-John (14.3); ""young fella"" (11.4); Men (who come see Lily) (11.4); ""old farmers"" (10.0)",3,40.0000,37.14,3,
"Jason",violet,9,"Eugene Penrose (12.1); the Cunliffes' son (12.1); Armed Response Guards (11.4); Jason's ex-girlfriend (11.4); some farmer lad (11.4)",10,14.0000,18.57,8,
"Hughie",,7,"Hughie's wife (27.1); Millicent (22.9); ""pricks bollockses and stupid fuckers"" (11.4); Assumpta Gill (11.4); ""other fellas driving their cars"" (10.0)",102,26.0000,27.14,1,
"Rory Slattery",,4,"Rory's Father (15.7); Rory's Mother (15.7); Holly (11.4)",15,24.0000,25.71,6,
"the Tans",,3,"children (abstract) (10.0); women (abstract) (10.0)",341,4.0000,11.43,10,
"""Aussies""",,2,"""crathur"" (10.0)",186,2.0000,10.00,0,
"Joe Duffy",,2,"Whingers on Joe Duffy (10.0)",308,2.0000,10.00,15,
"Teapot Taliban",,1,,366,2.0000,10.00,9,
