leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
7,67,5,"Réaltín",291.0000,60.68,"Seanie Shaper (Sean Shanahan) (46.2); Dylan (Réaltín's son) (36.7); Trevor (26.8); Hillary (23.5); Tom (Réaltín's father) (23.1)",,
2,57,1,"Bobby Mahon",516.0000,100.00,"Frank Mahon (48.1); Triona Cahill/Mahon (38.5); Rory Slattery (25.6); Jesus (17.3); Bobby's Mother (17.2)",,
9,57,6,"Timmy Hanrahan",151.0000,36.21,"Vasya Afanasiev (25.6); ""the boys"" (who worked for Pokey) (18.0); Mickey Briars (14.9); Noreen (13.8); Timmy's Nana (13.8)",,
6,37,19,"Jim Gildea",131.0000,32.72,"Bridie Connors (24.0); God (21.7); Michael Connors (15.4); Peter Connors (14.4); the Cunliffes' son (13.1)",,
3,29,22,"Pokey Burke",210.0000,46.52,"Josie Burke (43.7); Eileen Burke (30.3); Eamonn Burke (26.8); Dorothy (25.2); Mags Burke (23.5)",,
1,28,17,"Denis",87.0000,25.03,"Kate (20.0); Nuala (13.8); Kate's workers (11.9); Denis's father (11.2); Fat arsehole in Galway (10.9)",,
0,27,7,"Brian",64.0000,21.01,"Brian's mother (14.2); Paddy (Brian's father) (13.7); Kenny Farrell (13.0); Pawsy Rogers (11.2); McDonaghs' boys (10.9)",,
5,21,14,"Lloyd",72.0000,22.41,"Hughie (18.6); Hughie's wife (18.6); Millicent (18.6); Assumpta Gill (13.8); Lloyd's mother (11.7)",,
8,16,10,"Jason",42.0000,17.17,"Jason's ex-girlfriend (12.3); Jason's father (11.6); Eugene Penrose (11.4); Cops (general) (11.0); shitbags in the welfare office (11.0)",,
4,15,3,"Lily",102.0000,27.65,"John-John (14.4); Ciss Brien (13.0); Bernie McDermott (12.3); Lily's children (11.9); Men (who come see Lily) (11.2)",,
