label,width,height,font_size,label_radius
"""a child""",135.00,30.00,25.0,69.15
"""a lad from the village""",360.00,30.00,25.0,180.62
"""airhostess""",180.00,30.00,25.0,91.24
"""auld black doctors""",300.00,30.00,25.0,150.75
"""Aussies""",135.00,30.00,25.0,69.15
"""big fat cop""",195.00,30.00,25.0,98.65
"""blondie wan""",187.20,28.80,24.0,94.70
"""C2 boys""",156.60,34.80,29.0,80.21
"""common whores""",225.00,30.00,25.0,113.50
"""crathur""",135.00,30.00,25.0,69.15
"""detective from town""",352.80,33.60,28.0,177.20
"""every fat Publican in five parishes""",532.80,28.80,24.0,266.79
"""fat nonce""",158.40,28.80,24.0,80.50
"""floozies""",150.00,30.00,25.0,76.49
"""foreign fella""",216.00,28.80,24.0,108.96
"""foreigners"" (in Khakassia)",437.40,32.40,27.0,219.30
"""four or five boys"" (Josie brought with him)",633.60,28.80,24.0,317.13
"""four or five more bollockses""",432.00,28.80,24.0,216.48
"""four or five qualified childminders""",599.40,32.40,27.0,300.14
"""gimpy lad in Lackagh""",316.80,28.80,24.0,159.05
"""girls around the estate",345.60,28.80,24.0,173.40
"""Godless fuckin Proddie""",360.00,30.00,25.0,180.62
"""Gombeen man""",187.20,28.80,24.0,94.70
"""great big fat fella"" (Josie worked for)",576.00,28.80,24.0,288.36
"""group of women""",249.60,31.20,26.0,125.77
"""hunchbacks""",172.80,28.80,24.0,87.59
"""junior solicitors""",285.00,30.00,25.0,143.29
"""lads in films""",216.00,28.80,24.0,108.96
"""lesbians""",144.00,28.80,24.0,73.43
"""lispers""",129.60,28.80,24.0,66.38
"""Little bitches at work""",374.40,31.20,26.0,187.85
"""little blonde girl""",348.00,34.80,29.0,174.87
"""little blondie wan""",300.00,30.00,25.0,150.75
"""little madam in a short skirt""",465.00,30.00,25.0,232.98
"""mad looking cop""",285.60,33.60,28.0,143.78
"""mad old biddy""",279.00,37.20,31.0,140.73
"""men and women...who have no work""",510.00,30.00,25.0,255.44
"""mental-case friend""",312.00,31.20,26.0,156.78
"""naked women"" in a magazine",388.80,28.80,24.0,194.93
"""NAMA crowd""",180.00,30.00,25.0,91.24
"""next prick""",180.00,30.00,25.0,91.24
"""old codgers""",195.00,30.00,25.0,98.65
"""old farmers""",195.00,30.00,25.0,98.65
"""old guard in front of Ciss's front bar""",600.00,30.00,25.0,300.37
"""one of Denis' lads""",288.00,28.80,24.0,144.72
"""other fellas driving their cars""",475.20,28.80,24.0,238.04
"""other teachers""",240.00,30.00,25.0,120.93
"""Paki doctors""",201.60,28.80,24.0,101.82
"""People who give out the dole""",450.00,30.00,25.0,225.50
"""poor tenant farmer""",288.00,28.80,24.0,144.72
"""pricks, bollockses, and stupid fuckers""",624.00,31.20,26.0,312.39
"""right-looking wanker""",330.00,30.00,25.0,165.68
"""scumbags""",150.00,30.00,25.0,76.49
"""smart boys""",187.20,31.20,26.0,94.89
"""smelly wans""",187.20,28.80,24.0,94.70
