leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
12,204,87,"Buzzworm",632.0000,84.35,"Manzanar Murakami (32.8); The homeless (abstract) (17.8); Margarita (12.9); ""Homey on the other end"" (12.6); Talk Radio Stations (12.1)",,
7,192,69,"Gabriel Balboa",765.0000,100.00,"Emi (72.4); Unnamed members of L.A. Underclass (21.3); Kerry the Technician (20.5); Corazon Juarez (15.9); Luey the Cameraman (15.1)",,
17,141,66,"Rafaela Cortés",502.0000,69.06,"Bobby Ngu (60.6); Sol (40.6); Doña Maria (28.7); The Orange (21.1); Hernando (Dona Maria's son) (20.2)",,
1,117,70,"Arcangel/El Gran Mojado",349.0000,51.06,"Bus passengers (15.6); Northern People (14.8); people in car jam (12.0); Cantina waiter (11.6); border guard (11.4)",,
25,24,419,"El Gran Mojado",59.0000,16.94,"SUPERNAFTA (16.9); Audience/Crowd (14.8); El Gran Chingón (12.1); La Chingada (12.1); La Raza Cósmica (12.1)",,
15,5,674,"Placido Domingo",6.0000,10.71,"Dorothy Buffum Chandler (10.5); Opera crowd (10.5); Peter Sellers (10.5); Rossini (10.4)",,
19,5,660,"Rose Bowl crowd",8.0000,10.94,"UCLA team (10.9); USC team (10.9); Bruin mascot (10.7); sweaty trojan horse rider (10.7)",,
21,5,268,"Shaquille O'Neal",9.0000,11.06,"Chicago Bulls (10.9); Forum crowd (10.9); Scottie Pippen (10.9); The Lakers (10.9)",,
14,4,616,"Motorcyclist in a pink suit and pink helmet",9.0000,11.06,"A rubbie (or two) (10.2); Heaven's Devils (10.2); Hell's Angels (10.2)",,
6,3,784,"fan 1",4.0000,10.47,"fan 2 (10.5); fan 2's mom (10.5)",,
8,3,691,"Hollywood Bowl audience",4.0000,10.47,"Hollywood Bowl Orchestra (10.5); John Mauceri (10.5)",,
16,3,717,"Chris",4.0000,10.47,"Japan America Theatre worker (10.5); Qris (10.5)",,
20,3,710,"Japanese American actors",3.0000,10.35,"Santa Anita Racetrack crowd (10.4); undocumenteds/illegals/aliens (10.4)",,
23,3,682,"Beast",4.0000,10.47,"Beauty (10.5); Shubert crowd (10.5)",,
24,3,712,"Sin Yang Chang",3.0000,10.35,"Sin Yang Chang's wife (10.4); Steven Spielberg (10.2)",,
28,3,667,"Hideo Nomo",4.0000,10.47,"Nomo fans (10.5); The Dodgers (10.5)",,
29,3,687,"Robert McNeil",4.0000,10.47,"The Greek audience (10.5); The Jubilee Choir (10.5)",,
0,2,673,"Boxing match attendees",2.0000,10.24,"Bud Girls (10.2)",,
2,2,698,"Andrei Codrescu",2.0000,10.24,"Central Library attendees (10.2)",,
4,2,702,"Chicanos",1.0000,10.12,"César Chávez (10.1)",,
9,2,708,"4-H demonstrators",2.0000,10.24,"L.A. County Fair attendees (10.2)",,
10,2,696,"King Tut",1.0000,10.12,"LACMA attendees (10.1)",,
11,2,705,"Gawkers",2.0000,10.24,"Market sellers (205) (10.2)",,
13,2,694,"Andy Warhol",1.0000,10.12,"MOCA attendees (10.1)",,
18,2,680,"Oscar awards crowd",2.0000,10.24,"Richard Sakai (10.2)",,
22,2,716,"dinner attendees",2.0000,10.24,"several Republican presidential candidates (10.2)",,
27,2,664,"Sports Arena crowd",2.0000,10.24,"The Clippers (10.2)",,
30,2,685,"Julio Iglesias",2.0000,10.24,"Thousands of Iglesias fans (10.2)",,
32,2,720,"Stomp performers",2.0000,10.24,"Wadsworth audience (10.2)",,
3,1,684,"Chinese housewives",2.0000,10.24,"",,
5,1,138,"E.T.",0.0000,10.00,"",,
26,1,700,"Surfers",0.0000,10.00,"",,
31,1,704,"Volleyball teams",2.0000,10.24,"",,
