label,width,height,font_size,label_radius
"""A brother""",171.60,31.20,26.0,87.21
"""a CHP""",105.00,30.00,25.0,54.60
"""Celestials""",180.00,30.00,25.0,91.24
"""children and passerby""",345.00,30.00,25.0,173.15
"""Colored People"" (Abstract)",388.80,28.80,24.0,194.93
"""commenter""",158.40,28.80,24.0,80.50
"""Everybody down south""",316.80,28.80,24.0,159.05
"""Homey on the other end""",432.00,36.00,30.0,216.75
"""local aborigines""",259.20,28.80,24.0,130.40
"""Mexicans and centroamericanos""",465.00,30.00,25.0,232.98
"""People in the way""",285.00,30.00,25.0,143.29
"""Poor Indian types""",285.00,30.00,25.0,143.29
"""Some real estate person""",360.00,28.80,24.0,180.58
"""source""",120.00,30.00,25.0,61.85
"""The Doctor""",180.00,30.00,25.0,91.24
"""The gays at the end of the bar""",480.00,30.00,25.0,240.47
"""The guy with the turban""",375.00,30.00,25.0,188.10
"""the masses""",180.00,30.00,25.0,91.24
"""They"" (The gov't)",259.20,28.80,24.0,130.40
"""this individual""",255.00,30.00,25.0,128.38
"""Young couples with children""",417.60,28.80,24.0,209.30
"""young man""",165.00,30.00,25.0,83.85
1-800 Lawyer,201.60,33.60,28.0,102.19
2.2 million braceros,300.00,30.00,25.0,150.75
25 million inhabitants,316.80,28.80,24.0,159.05
"250,000 people (or more)",360.00,30.00,25.0,180.62
4-H demonstrators,255.00,30.00,25.0,128.38
"400,000 deported Mexicans",360.00,28.80,24.0,180.58
5000 Women of Cochibamba,360.00,30.00,25.0,180.62
a dozen motorists,255.00,30.00,25.0,128.38
A Green-type from Colorado,390.00,30.00,25.0,195.58
A rubbie (or two),255.00,30.00,25.0,128.38
A white Guy wearing a Nirvana T-shirt and dreds,705.00,30.00,25.0,352.82
African slaves,201.60,28.80,24.0,101.82
African Woman,195.00,30.00,25.0,98.65
airport anouncer,240.00,30.00,25.0,120.93
Alfred Hitchcock,240.00,30.00,25.0,120.93
Allende,105.00,30.00,25.0,54.60
American tourists,244.80,28.80,24.0,123.24
Americans (abstract),312.00,31.20,26.0,156.78
Andrei Codrescu,225.00,30.00,25.0,113.50
Andy Warhol,158.40,28.80,24.0,80.50
another brother 1,255.00,30.00,25.0,128.38
another brother 2,255.00,30.00,25.0,128.38
Another brother 3,255.00,30.00,25.0,128.38
Anthony Quinn,187.20,28.80,24.0,94.70
Anthropologists,216.00,28.80,24.0,108.96
Antonín Dvořák,210.00,30.00,25.0,106.07
AQMD,60.00,30.00,25.0,33.54
Arcangel's inmates,270.00,30.00,25.0,135.83
Arcangel's torturers,300.00,30.00,25.0,150.75
Arcangel/El Gran Mojado,1697.40,147.60,123.0,851.90
Archbishop Romero,255.00,30.00,25.0,128.38
Aretha Franklin,225.00,30.00,25.0,113.50
Arthur Nielsen,210.00,30.00,25.0,106.07
Asian beauties in the poster,403.20,28.80,24.0,202.11
Asian dude in the poster,345.60,28.80,24.0,173.40
Astor Piazzolla,225.00,30.00,25.0,113.50
Atahualpa,135.00,30.00,25.0,69.15
Attorney General,230.40,28.80,24.0,116.10
Attorneys (93),201.60,28.80,24.0,101.82
Audience Members,307.20,38.40,32.0,154.80
Audience/Crowd,302.40,43.20,36.0,152.74
Baca Boyz,135.00,30.00,25.0,69.15
Baca Boyz's sisters (Nicole of Paramount),615.00,30.00,25.0,307.87
Bach,60.00,30.00,25.0,33.54
bad-mouth baby rappers,316.80,28.80,24.0,159.05
Barbie,90.00,30.00,25.0,47.43
Beast,75.00,30.00,25.0,40.39
Beauty,90.00,30.00,25.0,47.43
Beethoven,140.40,31.20,26.0,71.91
Benito,90.00,30.00,25.0,47.43
Beth,60.00,30.00,25.0,33.54
Bicycle Factory Workers,345.00,30.00,25.0,173.15
Bill Welch,150.00,30.00,25.0,76.49
Black men (abstract),288.00,28.80,24.0,144.72
Bloods,97.20,32.40,27.0,51.23
Bob the Weatherman,270.00,30.00,25.0,135.83
Bobby Ngu,783.00,174.00,145.0,401.05
Bobby Seale,158.40,28.80,24.0,80.50
Bobby's Brother,342.00,45.60,38.0,172.51
Bobby's Brother's Teacher,375.00,30.00,25.0,188.10
Bobby's Family (abstract),375.00,30.00,25.0,188.10
Bobby's Father,294.00,42.00,35.0,148.49
Bobby's grandfather,285.00,30.00,25.0,143.29
Bobby's Homies,210.00,30.00,25.0,106.07
Bobby's Mother,252.00,36.00,30.0,127.28
Bobby's Nephews and Nieces,405.60,31.20,26.0,203.40
Bobby's Sister 1,288.00,36.00,30.0,145.12
Bobby's Sister 2,288.00,36.00,30.0,145.12
Bobby's uncles,210.00,30.00,25.0,106.07
Bogie,75.00,30.00,25.0,40.39
border guard,194.40,32.40,27.0,98.54
Border patrol officer,315.00,30.00,25.0,158.21
Border Rats,165.00,30.00,25.0,83.85
Borges,90.00,30.00,25.0,47.43
Boxing match attendees,330.00,30.00,25.0,165.68
Boys in the Porsche,285.00,30.00,25.0,143.29
Boyz 2 Men,144.00,28.80,24.0,73.43
Braceros,115.20,28.80,24.0,59.37
Brazilian coroner,244.80,28.80,24.0,123.24
Brokerage Agent,225.00,30.00,25.0,113.50
Brother in a'78 Pontiac,345.00,30.00,25.0,173.15
Bruce Lee,135.00,30.00,25.0,69.15
Bruin mascot,187.20,31.20,26.0,94.89
Bud Girls,135.00,30.00,25.0,69.15
bureaucrats in parking violations,495.00,30.00,25.0,247.95
Bus Driver,156.00,31.20,26.0,79.54
