leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
9,64,88,"Blue",282.0000,65.17,"Edwin Black (58.9); Bill Davis (25.8); Karen (22.3); Paul (19.6); Geraldine (17.8)",,
7,58,85,"Opal Viola Victoria Bear Shield",460.0000,100.00,"Jacquie Red Feather (81.4); Harvey (50.5); Victoria (Vicky) (32.9); Ronald (20.2); Alcatraz (19.8)",,
8,51,77,"Octavio Gomez",377.0000,83.76,"Calvin Johnson (60.1); Big Oakland Powwow (58.7); Charles (46.8); Carlos (45.2); Tony Loneman (38.2)",,
2,27,67,"Dene Oxendene",194.0000,47.96,"Lucas (23.3); Norma (17.8); ""black guy...with a white beard"" (grant judge) (12.2); ""Old white lady"" (grant judge) (12.2); ""middle-aged white lady"" (2) (grant judge) (12.0)",,
4,24,83,"Orvil Red Feather",282.0000,65.17,"Lony Red Feather (58.1); Loother Red Feather (58.1); Jamie Red Feather (19.8); Trickster Spider (Veho) (16.7); People at the Powwow (15.9)",,
12,22,89,"Thomas Frank",176.0000,44.43,"Powwow Committee (20.2); Thomas Frank's Father (17.4); Thomas Frank's Mother (14.9); Thomas Frank's Sisters (13.5); Bobby Big Medicine (13.3)",,
6,20,351,"Indigenous people",34.0000,16.65,"Colonizers/colonists (13.9); Metacomet/ King Philip (12.0); Massasoit (11.2); Benjamin Church (10.8); John Alderman (10.8)",,
11,8,377,"Someone else on the yacht",7.0000,11.37,"Someone on the yacht (11.4); Hired thugs (10.8); People drowning (10.8); Someone's father (10.8); Children (10.4)",,
3,6,341,"Husband (in the Rolling Head story)",8.0000,11.57,"Wife (in the Rolling Head story) (11.6); Daughter (in the Rolling Head story) (11.2); Son (in the Rolling Head story) (11.2); Rolling Head (10.8); water monster (10.8)",,
13,4,337,"Joaquin Murieta",5.0000,10.98,"Texas Rangers (government) (10.8); Three Fingered Jack (10.8); John Rollin Ridge (10.2)",,
5,3,340,"Americans",2.0000,10.39,"Mel Gibson (10.4); Mexicans (10.2)",,
10,2,369,"Muslims",2.0000,10.39,"Saddam Hussein (10.4)",,
14,2,329,"Plymouth court",2.0000,10.39,"Wamsutta (10.4)",,
15,2,382,"Victims",4.0000,10.78,"Watchers (10.8)",,
0,1,164,"""Pig-brained men""",0.0000,10.00,"",,
1,1,187,"""the white man""",0.0000,10.00,"",,
