leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Opal Viola Victoria Bear Shield",red,79,"Jacquie Red Feather (81.4); Orvil Red Feather (65.2); Lony Red Feather (58.1); Loother Red Feather (58.1); Harvey (50.5)",85,460.0000,100.00,5,
"Blue",blue,63,"Edwin Black (58.9); Bill Davis (25.8); Karen (22.3); Paul (19.6); Geraldine (17.8)",88,282.0000,65.17,6,
"Octavio Gomez",green,51,"Calvin Johnson (60.1); Big Oakland Powwow (58.7); Charles (46.8); Carlos (45.2); Tony Loneman (38.2)",77,377.0000,83.76,7,
"Dene Oxendene",orange,27,"Lucas (23.3); Norma (17.8); ""black guy...with a white beard"" (grant judge) (12.2); ""Old white lady"" (grant judge) (12.2); ""middle-aged white lady"" (2) (grant judge) (12.0)",67,194.0000,47.96,2,
"Thomas Frank",magenta,24,"Powwow Committee (20.2); Thomas Frank's Father (17.4); Thomas Frank's Mother (14.9); Thomas Frank's Sisters (13.5); Bobby Big Medicine (13.3)",89,176.0000,44.43,10,
"Indigenous people",cyan,20,"Colonizers/colonists (13.9); Metacomet/ King Philip (12.0); Massasoit (11.2); Benjamin Church (10.8); John Alderman (10.8)",351,34.0000,16.65,4,
"Someone else on the yacht",,8,"Someone on the yacht (11.4); Hired thugs (10.8); People drowning (10.8); Someone's father (10.8); Children (10.4)",377,7.0000,11.37,9,
"Husband (in the Rolling Head story)",,6,"Wife (in the Rolling Head story) (11.6); Daughter (in the Rolling Head story) (11.2); Son (in the Rolling Head story) (11.2); Rolling Head (10.8); water monster (10.8)",341,8.0000,11.57,14,
"Indian Head (''test pattern Indian"")",,5,"""unknown artist"" (10.4); Americans (10.4); Mel Gibson (10.4); Mexicans (10.2)",223,7.0000,11.37,3,
"Joaquin Murieta",,4,"Texas Rangers (government) (10.8); Three Fingered Jack (10.8); John Rollin Ridge (10.2)",337,5.0000,10.98,11,
"Muslims",,2,"Saddam Hussein (10.4)",369,2.0000,10.39,8,
"Plymouth court",,2,"Wamsutta (10.4)",329,2.0000,10.39,12,
"Victims",,2,"Watchers (10.8)",382,4.0000,10.78,13,
"""Pig-brained men""",,1,,164,0.0000,10.00,0,
"""the white man""",,1,,187,0.0000,10.00,1,
