label,width,height,font_size,label_radius
"""An Indian...woman"" (grant judge)",554.40,33.60,28.0,277.71
"""An older guy who's...Native"" (grant judge)",722.40,33.60,28.0,361.59
"""another white woman""",340.20,32.40,27.0,170.87
"""black guy...with a white beard"" (grant judge)",800.40,34.80,29.0,400.58
"""five or six Indians""",327.60,31.20,26.0,164.54
"""huge Indian guy""",285.60,33.60,28.0,143.78
"""men behind the bus""",288.00,28.80,24.0,144.72
"""middle-aged black guy"" (2) (grant judge)",688.80,33.60,28.0,344.81
"""middle-aged white lady"" (1) (grant judge)",705.60,33.60,28.0,353.20
"""middle-aged white lady"" (2) (grant judge)",730.80,34.80,29.0,365.81
"""old Indian guy in a baseball cap""",510.00,30.00,25.0,255.44
"""Old white lady"" (grant judge)",522.00,34.80,29.0,261.58
"""Older men"" (at Alcatraz)",420.00,33.60,28.0,210.67
"""Person whose lap [Thomas] is in""",495.00,30.00,25.0,247.95
"""Pig-brained men""",244.80,28.80,24.0,123.24
"""Sea of white faces""",312.00,31.20,26.0,156.78
"""some crazy white woman""",374.40,31.20,26.0,187.85
"""some hipster""",210.00,30.00,25.0,106.07
"""some homies""",195.00,30.00,25.0,98.65
"""Someone"" from Vietnam War",390.00,30.00,25.0,195.58
"""the adults""",187.20,31.20,26.0,94.89
"""the white man""",216.00,28.80,24.0,108.96
"""those men"" (who kill women)",420.00,30.00,25.0,210.54
"""two [wearing] baseball caps""",678.60,46.80,39.0,340.11
"""two big old Indian women""",421.20,32.40,27.0,211.22
"""two hundred or so people""",468.00,36.00,30.0,234.69
"""unknown artist""",240.00,30.00,25.0,120.93
"""vet on the bus""",259.20,32.40,27.0,130.61
"""white boy in the Kangol hat""",435.00,30.00,25.0,218.02
"""white boys""",194.40,32.40,27.0,98.54
"""youngish Hispanic guy"" (grant judge)",621.60,33.60,28.0,311.25
A Bird,90.00,30.00,25.0,47.43
A couple of John's friends,561.60,43.20,36.0,281.63
A few youth,184.80,33.60,28.0,93.91
A Tribe Called Red,259.20,28.80,24.0,130.40
A yelling man,195.00,30.00,25.0,98.65
Abortion resource,265.20,31.20,26.0,133.51
Adriana,113.40,32.40,27.0,58.97
Adriana's brother,275.40,32.40,27.0,138.65
Alcatraz,225.60,56.40,47.0,116.27
Americans,135.00,30.00,25.0,69.15
Ancestors,145.80,32.40,27.0,74.68
Badger,108.00,36.00,30.0,56.92
Bat,48.60,32.40,27.0,29.20
Bears,84.00,33.60,28.0,45.24
Beethoven,135.00,30.00,25.0,69.15
Benjamin Church,234.00,31.20,26.0,118.04
Big Oakland Powwow,1522.80,169.20,141.0,766.09
Bill Davis,372.00,74.40,62.0,189.68
Blue,374.40,187.20,156.0,209.30
Blue's Adoptive Dad,296.40,31.20,26.0,149.02
Blue's Adoptive Mom,296.40,31.20,26.0,149.02
Blue's friend,195.00,30.00,25.0,98.65
Bobby Big Medicine,345.60,38.40,32.0,173.86
Bus driver,150.00,30.00,25.0,76.49
Calvin Johnson,1209.60,172.80,144.0,610.94
Calvin Johnson's Dad,336.00,33.60,28.0,168.84
Calvin Johnson's Mom,384.00,38.40,32.0,192.96
Cannabis supplier,255.00,30.00,25.0,128.38
Carlos,392.40,130.80,109.0,206.81
Catfish Hunter,201.60,28.80,24.0,101.82
Chance the Rapper,255.00,30.00,25.0,128.38
Charles,470.40,134.40,112.0,244.61
Charlie Finley,201.60,28.80,24.0,101.82
Children,120.00,30.00,25.0,61.85
Colonel John Chivington,345.00,30.00,25.0,173.15
Colonizers/colonists,396.00,39.60,33.0,198.99
Columbus,124.80,31.20,26.0,64.32
Corporate Tech Nerds,432.00,43.20,36.0,217.08
CPS worker,180.00,36.00,30.0,91.78
Creator,109.20,31.20,26.0,56.78
Daniel Gonzales,774.00,103.20,86.0,390.42
Darren Aronofsky,230.40,28.80,24.0,116.10
Daughter (in the Rolling Head story),583.20,32.40,27.0,292.05
dead woman's baby,255.00,30.00,25.0,128.38
