leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Taylor",blue,78,"God (74.9); Taylor's congregation (38.2); Jimmy (34.5); Smith (31.5); Mayor Bolton (30.9)",31,1041.0000,100.00,30,
"Richard Wright",red,63,"Co-workers at Memphis optical company (11.6); Morrie (11.6); Pease (11.5); Boss of Clothing Store (11.4); Jim Crow (11.3)",118,176.0000,25.22,25,
"Mann",magenta,60,"Grannie (39.3); Peewee (36.5); Lulu (29.3); The Baby (24.3); Bob Cobb (23.6)",256,592.0000,61.18,21,
"Sue",green,34,"Johnny-Boy (28.9); sheriff's men (26.5); Sheriff Bradley (24.4); ""white and black Communists"" (223) (22.7); Jesus Christ (22.4)",144,552.0000,57.72,36,
"Big Boy",cyan,24,"Bobo (29.8); Liza Morrison (Big Boy's Mother) (28.1); Saul Morrison (Big Boy's Father) (25.1); Lucy (24.9); Lester (23.1)",114,486.0000,52.02,14,
"Sarah",yellow,15,"Silas (21.2); gramophone salesman (14.5); Ruth (14.2); Tom (11.6); Aunt Peel (11.4)",3,210.0000,28.16,28,
"Charley",,2,"One of the four soldiers who wants a cigarette (10.2)",325,2.0000,10.17,23,
"Jack (Lynch mob)",,2,"unnamed women (Lynch Mob) (10.2)",328,2.0000,10.17,33,
"""a crowd"" (of demonstrators)",,1,,80,0.0000,10.00,0,
"""a janitah""",,1,,103,0.0000,10.00,1,
"""bad n*****s""",,1,,84,0.0000,10.00,2,
"""black and white soldiers""",,1,,17,0.0000,10.00,3,
"""black soldier""",,1,,18,0.0000,10.00,4,
"""everbody"" (victims of war)",,1,,7,0.0000,10.00,5,
"""fellow negro porters"" (8)",,1,,136,0.0000,10.00,6,
"""five or six thousand of us""",,1,,35,0.0000,10.00,7,
"""Miz Harvey""",,1,,104,0.0000,10.00,8,
"""n*****s""",,1,,155,0.0000,10.00,9,
"""the n*****""",,1,,33,0.0000,10.00,10,
"""the white man""",,1,,32,0.0000,10.00,11,
"""white men in glistening raincoats""",,1,,156,0.0000,10.00,12,
"""white woman"" (accuser of black soldier)",,1,,19,0.0000,10.00,13,
"Boss of delivery company",,1,,213,0.0000,10.00,15,
"children in the church",,1,,78,0.0000,10.00,16,
"farm hire",,1,,15,0.0000,10.00,17,
"figure in nightmare",,1,,26,0.0000,10.00,18,
"Heartfield's folks",,1,,284,0.0000,10.00,19,
"Lead White Boy from the car",,1,,137,0.0000,10.00,20,
"One of the four soldiers",,1,,322,0.0000,10.00,22,
"people on sidewalks",,1,,112,0.0000,10.00,24,
"Roman Catholic Library-goer",,1,,185,0.0000,10.00,26,
"Sally (The cow)",,1,,266,0.0000,10.00,27,
"Shadrach, Meshach, and Abednego",,1,,73,0.0000,10.00,29,
"The Librarian",,1,,186,0.0000,10.00,31,
"The maid's baby",,1,,178,0.0000,10.00,32,
"Will",,1,,116,0.0000,10.00,34,
"“wicked men”",,1,,75,0.0000,10.00,35,
