label,width,height,font_size,label_radius
"""2 Negroes"" (13)",230.40,28.80,24.0,116.10
"""a crowd"" (of demonstrators)",403.20,28.80,24.0,202.11
"""a doctah""",150.00,30.00,25.0,76.49
"""a janitah""",158.40,28.80,24.0,80.50
"""a white prostitute"" (12)",390.00,31.20,26.0,195.62
"""American White Women"" (abstract)",475.20,28.80,24.0,238.04
"""bad n*****s""",187.20,28.80,24.0,94.70
"""black and white soldiers""",374.40,28.80,24.0,187.75
"""black folks"" (abstract)",489.60,40.80,34.0,245.65
"""black folks"" (townspeople BMS)",483.60,31.20,26.0,242.30
"""black folks"" (townspeople FC)",522.00,34.80,29.0,261.58
"""black man"" (killed by police)",468.00,31.20,26.0,234.52
"""black men"" (abstract)",356.40,32.40,27.0,178.93
"""black soldier""",216.00,28.80,24.0,108.96
"""black women"" (croppers)",345.60,28.80,24.0,173.40
"""blue-coated policemen""",400.20,34.80,29.0,200.86
"""Brother"" (congregation member)",446.40,28.80,24.0,223.66
"""buddy"" (of gramophone salesman)",518.40,32.40,27.0,259.71
"""chillun of Israel""",296.40,31.20,26.0,149.02
"""Colored folks up North"" (28)",435.00,30.00,25.0,218.02
"""everbody"" (victims of war)",388.80,28.80,24.0,194.93
"""fellow negro porters"" (8)",374.40,28.80,24.0,187.75
"""five or six thousand of us""",403.20,28.80,24.0,202.11
"""Jew boy""",140.40,31.20,26.0,71.91
"""kind neighbor""",216.00,28.80,24.0,108.96
"""Miz Harvey""",172.80,28.80,24.0,87.59
"""n*****s""",129.60,28.80,24.0,66.38
"""Negroes who lived in the south"" (10)",555.00,30.00,25.0,277.91
"""Ol Anderson""",195.00,30.00,25.0,98.65
"""one fellow"" (8)",240.00,30.00,25.0,120.93
"""One of the bell-boys""",343.20,31.20,26.0,172.31
"""one of the Negro maids""",374.40,31.20,26.0,187.85
"""prostitutes"" (11)",270.00,30.00,25.0,135.83
"""Sistah Henry"" (congregation member)",885.60,49.20,41.0,443.48
"""Sistah"" (congregation member)",432.00,28.80,24.0,216.48
"""snowy-skinned Blonde"" (11)",405.00,30.00,25.0,203.05
"""sonny"" (congregation member)",435.00,30.00,25.0,218.02
"""The Child"" (12)",240.00,30.00,25.0,120.93
"""the dead""",144.00,28.80,24.0,73.43
"""the folks at home"" (7)",331.20,28.80,24.0,166.22
"""the n*****""",172.80,28.80,24.0,87.59
"""the ol n*****""",216.00,28.80,24.0,108.96
"""the old folks"" (45)",288.00,28.80,24.0,144.72
"""the relief""",180.00,30.00,25.0,91.24
"""the rich bosses""",244.80,28.80,24.0,123.24
"""the white man""",216.00,28.80,24.0,108.96
"""thick-set man""",225.00,30.00,25.0,113.50
"""thin black woman""",432.00,48.00,40.0,217.33
"""white and black Communists"" (223)",1122.00,66.00,55.0,561.97
"""white boy"" (Houston's neighbourhood)",532.80,28.80,24.0,266.79
"""white boys who lived beyond the tracks.""",615.00,30.00,25.0,307.87
"""white folks"" (abstract)",936.00,78.00,65.0,469.62
"""white folks"" (poor white townspeople)",820.80,43.20,36.0,410.97
"""white folks"" (white townspeople)",851.40,51.60,43.0,426.48
"""white man"" (Houston's neighbourhood)",532.80,28.80,24.0,266.79
"""white man"" (shot by Silas)",405.00,30.00,25.0,203.05
"""white men in glistening raincoats""",504.00,28.80,24.0,252.41
"""white men with pistols and rifles""",546.00,31.20,26.0,273.45
"""white men"" (abstract)",396.00,36.00,30.0,198.82
"""white woman"" (accuser of black soldier)",576.00,28.80,24.0,288.36
"""white woman"" (Houston's neighbourhood)",561.60,28.80,24.0,281.17
"""yo mama"" (17)",210.00,30.00,25.0,106.07
6 men who drowned (85),330.00,30.00,25.0,165.68
Abraham Lincoln,216.00,28.80,24.0,108.96
Another soldier (102),365.40,34.80,29.0,183.53
Another soldier (103),340.20,32.40,27.0,170.87
