id,Event Name,Start Date,End Date,Narrator,Start Page,End Page,Is ApproximaTRUEe?,Telling  Time,Start Date TT,End Date TT,Start Page TT,End Page TT,Is ApproximaTRUEe TRUETRUE?,Evidence,Evelina Harp,Judge Antone Basil Coutts,Marn Wolde,Doctor Cordelia Lochren,Seraph Milk,Corwin Peace,Billy Peace,Warren Wolde,Shamengwa Milk
59,Coutts and Geraldine marry,1974-05-01,1974-05-01,Judge Antone Basil Coutts,88,88,TRUE,1980-11-30,1980-11-30,1980-11-30,,,TRUE,,,,,,,,,,
11,Lochren Murder,1911-06-15,1911-06-15,Cordelia Lochren,15,15,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,,,,TRUE,,,,TRUE,
17,The Lynching,1911-06-15,1911-06-15,Cordelia Lochren,27,27,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,,,,,TRUE,,,,
19,Oric and Electa adopt Cordelia,1911-06-15,1911-06-15,Cordelia Lochren,31,31,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,,,,TRUE,,,,,
21,Octave collects stamps,1922-01-01,1928-12-31,Cordelia Lochren,35,35,,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,,,,,,,,,
25,Billy and John ransom Neve,1954-02-03,1954-02-03,Cordelia Lochren,48,48,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,,,,,,,TRUE,,
37,Warren put into state hospital,1968-07-01,1968-07-01,Cordelia Lochren,94,94,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,,,TRUE,,,,,TRUE,
52,Corwin’s music kills Warren,1973-05-05,1973-05-05,Cordelia Lochren,79,79,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,,TRUE,,,,,TRUE,,TRUE,
56,Murderer’s identity revealed,1973-06-05,1973-06-05,Cordelia Lochren,96,96,TRUE,1988-12-31,1986-01-01,1991-12-31,,,TRUE,"Cordelia learns of Warren's death ""several weeks"" (310) after he dies, when she recieves the package that reveals that he was the murderer. ",,,,TRUE,,,,TRUE,
1,Louis Riel is hanged,1885-11-16,1885-11-16,Evelina Harp,1,1,,1986-07-02,1986-07-02,1911-06-15,,,TRUE,Based on Louis Riel's death,,,,,,,,,
