id,Event Name,Start Date,End Date,Narrator,Start Page,End Page,Telling  Time,Start Date TT,End Date TT,Start Page TT,End Page TT,Caddy,Quentin,Benjy,Jason,Dilsey,Quentin Jr
180,Changing Benjamin's name,1/1/1900,1/1/1900,Benjamin Compson,56,56,,4/7/1928,4/7/1928,3,75,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
179,Damuddy's death,1/1/1900,1/1/1900,Benjamin Compson,17,17,,4/7/1928,4/7/1928,3,75,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
181,"Caddy wears perfume, which upsets Benjamin",1/1/1906,1/1/1906,Benjamin Compson,42,42,,4/7/1928,4/7/1928,3,75,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
183,Benjamin's pasture sold so Quentin can go to Harvard,1/1/1909,1/1/1909,Benjamin Compson,19,19,,4/7/1928,4/7/1928,3,75,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
184,Caddy and Charlie hook up,1/1/1909,1/1/1909,Benjamin Compson,47,47,,4/7/1928,4/7/1928,3,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
186,Quentin confronts Caddy at the creek,1/1/1909,1/1/1909,Quentin Compson III,147,147,,6/2/1910,6/2/1910,76,179,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
185,Quentin sees Caddy and Dalton,1/1/1909,1/1/1909,Quentin Compson III,88,88,,6/2/1910,6/2/1910,76,179,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
195,Benjamin attacks a girl and is castrated,1/1/1910,1/1/1910,Benjamin Compson,53,53,,4/7/1928,4/7/1928,3,75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
189,Herbert Head promises Jason a bank job,1/1/1910,4/23/1910,Quentin Compson III,93,93,,6/2/1910,6/2/1910,76,179,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
190,Quentin recieves Caddy and Herbert's wedding announcement,1/1/1910,4/23/1910,Quentin Compson III,77,77,,6/2/1910,6/2/1910,76,179,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
197,Jason loses bank job,1/1/1911,1/1/1911,Jason Compson ,202,202,,4/6/1928,4/6/1928,180,321,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
198,Quentin Jr. gets sent to live with the Compsons,1/1/1911,1/1/1912,Jason Compson ,196,196,,4/6/1928,4/6/1928,180,321,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
200,Caddy pays Jason to see Quentin Jr.,1/1/1912,1/1/1912,Jason Compson ,203,203,,4/6/1928,4/6/1928,180,321,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
203,Caddy visits Jason's office,1/1/1912,1/1/1913,Jason Compson ,205,205,,4/6/1928,4/6/1928,180,321,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
