source,target,type,weight,startPage,category
911,951,directed,1,176,Exchange
911,951,directed,1,177,Exchange
911,951,directed,1,178,Exchange
911,951,directed,1,179,Exchange
911,912,directed,1,180,Exchange
912,911,directed,1,180,Exchange
1115,951,directed,1,180,Exchange
951,1115,directed,1,180,Exchange
911,1115,directed,1,180,Exchange
911,951,directed,1,180,Exchange
911,951,directed,1,181,Exchange
911,951,directed,1,182,Exchange
999,909,directed,1,119,Exchange
909,999,directed,1,119,Exchange
910,999,directed,1,120,Exchange
999,910,directed,1,120,Exchange
909,910,directed,1,120,Exchange
909,999,directed,1,120,Exchange
999,909,directed,1,120,Exchange
999,909,directed,1,121,Exchange
909,999,directed,1,121,Exchange
909,912,directed,1,124,Exchange
1022,1023,directed,1,125,Exchange
1023,1022,directed,1,125,Exchange
909,1022,directed,1,125,Exchange
909,910,directed,1,130,Exchange
910,909,directed,1,130,Exchange
909,910,directed,1,131,Exchange
910,909,directed,1,131,Exchange
912,912,directed,1,193,Exchange
912,912,directed,1,194,Exchange
912,912,directed,1,195,Exchange
912,912,directed,1,196,Exchange
912,912,directed,1,197,Exchange
912,912,directed,1,198,Exchange
912,912,directed,1,199,Exchange
912,912,directed,1,200,Exchange
912,912,directed,1,201,Exchange
912,912,directed,1,202,Exchange
912,912,directed,1,203,Exchange
912,912,directed,1,204,Exchange
909,910,directed,1,116,Exchange
910,909,directed,1,116,Exchange
973,910,directed,1,39,Exchange
910,973,directed,1,39,Exchange
973,909,directed,1,39,Exchange
909,973,directed,1,39,Exchange
973,955,directed,1,39,Exchange
955,973,directed,1,39,Exchange
973,912,directed,1,39,Exchange
912,973,directed,1,39,Exchange
909,910,directed,1,40,Exchange
910,909,directed,1,40,Exchange
909,910,directed,1,41,Exchange
910,909,directed,1,41,Exchange
909,934,directed,1,42,Exchange
976,910,directed,1,42,Exchange
975,910,directed,1,42,Exchange
912,909,directed,1,43,Exchange
955,910,directed,1,44,Exchange
955,909,directed,1,44,Exchange
909,955,directed,1,44,Exchange
912,951,directed,1,45,Exchange
979,912,directed,1,45,Exchange
933,912,directed,1,47,Exchange
912,983,directed,1,48,Exchange
912,983,directed,1,49,Exchange
983,912,directed,1,49,Exchange
912,986,directed,1,51,Exchange
986,912,directed,1,51,Exchange
912,921,directed,1,51,Exchange
921,912,directed,1,51,Exchange
912,922,directed,1,51,Exchange
912,986,directed,1,52,Exchange
986,912,directed,1,52,Exchange
921,986,directed,1,52,Exchange
986,921,directed,1,52,Exchange
912,986,directed,1,53,Exchange
986,912,directed,1,53,Exchange
921,986,directed,1,53,Exchange
986,921,directed,1,53,Exchange
986,988,directed,1,53,Exchange
988,986,directed,1,53,Exchange
986,912,directed,1,54,Exchange
912,986,directed,1,54,Exchange
986,921,directed,1,54,Exchange
921,986,directed,1,54,Exchange
921,912,directed,1,54,Exchange
912,921,directed,1,54,Exchange
986,921,directed,1,55,Exchange
921,986,directed,1,55,Exchange
986,912,directed,1,55,Exchange
912,986,directed,1,55,Exchange
922,986,directed,1,55,Exchange
986,922,directed,1,55,Exchange
922,994,directed,1,55,Exchange
994,922,directed,1,55,Exchange
995,995,directed,1,56,Exchange
912,986,directed,1,57,Exchange
986,912,directed,1,57,Exchange
909,910,directed,1,118,Exchange
910,909,directed,1,118,Exchange
1026,1024,directed,1,127,Exchange
1024,1024,directed,1,128,Exchange
910,1029,directed,1,133,Exchange
1029,910,directed,1,133,Exchange
1034,1029,directed,1,133,Exchange
1033,910,directed,1,133,Exchange
910,1033,directed,1,133,Exchange
1033,910,directed,1,134,Exchange
910,1033,directed,1,134,Exchange
1033,1036,directed,1,135,Exchange
1036,1033,directed,1,135,Exchange
1033,910,directed,1,135,Exchange
910,1033,directed,1,135,Exchange
1029,1038,directed,1,136,Exchange
1038,1029,directed,1,136,Exchange
1039,1029,directed,1,136,Exchange
1029,1039,directed,1,136,Exchange
1040,1038,directed,1,137,Exchange
1038,1040,directed,1,137,Exchange
1040,1029,directed,1,137,Exchange
1029,1040,directed,1,137,Exchange
1039,1042,directed,1,137,Exchange
1042,1039,directed,1,137,Exchange
1039,1029,directed,1,137,Exchange
1029,1039,directed,1,137,Exchange
1042,1029,directed,1,137,Exchange
1029,1042,directed,1,137,Exchange
952,1029,directed,1,138,Exchange
952,1039,directed,1,138,Exchange
952,1042,directed,1,138,Exchange
1045,1029,directed,1,138,Exchange
1045,1039,directed,1,138,Exchange
1045,1042,directed,1,138,Exchange
1029,1039,directed,1,139,Exchange
1039,1029,directed,1,139,Exchange
1029,1042,directed,1,139,Exchange
1042,1029,directed,1,139,Exchange
