id,Label,Cat,startPage
1132,Leo,mention,3
1135,Bruno,mention,3
1136,Chinese Takeout Boy,mention,3
1137,Athletes Foot Clerk,mention,3
1141,Woman (Art Teacher),mention,4
1142,Mrs. Fried,mention,4
1143,Leo's Second Cousin,mention,4
1144,Leo's Second Cousin's Wife,mention,5
1161,Doctor who married Leo's second cousin's wife,mention,5
1162,Grocer,mention,5
1408,Bruno Schulz,mention,5
1146,Bruno's Wife,mention,6
1145,Doctor who pumped Bruno's stomach,mention,7
1147,Kipnis the Butcher,mention,7
1148,Grodzenski the Tailor,mention,7
1149,Fishl Shapiro,mention,7
1691,The History of Love,mention,7
1150,Beyla Asch,mention,8
1151,Alma Mereminski/Moritz,mention,8
1152,Leo's mother,mention,8
1153,Leo's younger brother (Josef),mention,8
1690,The Germans (Nazis),mention,8
1154,Man kicking a dog,mention,10
1155,Leo's father,mention,10
1172,Kid who yells Who smells shit?,mention,10
1156,Alma's Father,mention,11
1157,Isaac Moritz,mention,12
1134,Alma's Midwife,mention,13
1158,Mordecai Moritz,mention,13
1160,Someone who heard they were killing Jews in Pola,mention,13
1164,Leo's aunt(s),mention,14
1138,Alma Singer,mention,15
1165,Art Students (Drawing Class),mention,17
1166,Man who is locked out of his house,mention,20
1167,Limousine Driver,mention,21
1168,Wedding Party,mention,22
1692,Hasids,mention,22
1693,"""shvartzers""",mention,22
1173,Angel,mention,23
1174,God,mention,23
1175,Mr. Grossmark,mention,24
1176,Man under the bridge,mention,24
1169,Woman in line to meet Isaac,mention,25
1170,Security Guard,mention,25
1139,Bird,mention,35
1177,Charlotte Singer,mention,35
1178,Emanuel Ringelblum,mention,35
1179,Emanuel Feuermann,mention,35
1180,Isaac Babel,mention,35
1181,Charlotte's Uncle Chaim,mention,35
1182,David Singer,mention,35
1183,Mr. Goldstein,mention,36
1694,Friends (of Bird's who stopped coming over),mention,37
1184,Blind Photographer,mention,38
1185,Tutor (at Oxford),mention,39
1186,Nehemia,mention,40
1187,Library Clerk (at Oxford),mention,40
1188,Charlotte's Mother (Grandma Sasha),mention,40
1189,Charlotte's Father (Grandpa Simon),mention,40
1190,Misha Shklovsky,mention,41
1191,Old Man,mention,42
1192,Uncle Julian,mention,42
1193,Aunt Frances,mention,42
1194,Alberto Giacometti,mention,45
1195,Lyle (English Editor),mention,46
1196,Henry Lavender,mention,47
1197,Frank Tucci,mention,48
1198,Herman Cooper,mention,49
1199,Sharon Newman,mention,49
1200,Tenzing Norgay,mention,50
1201,Sir Edmund Hillary,mention,50
1202,Antoine de Saint-Exupery,mention,50
1203,Daniel Eldridge,mention,50
1695,German fighter (who shot Saint-Ex),mention,50
1766,Lamed Vovniks,mention,52
1204,Eldridge's Secretary,mention,53
1349,Luba,mention,54
1140,Zvi Litvinoff,mention,55
1208,Nicanor Parra,mention,55
1696,Eve,mention,57
1697,John Travolta,mention,58
1209,Rosa,mention,65
1210,Gracia Strumer,mention,65
1211,Rosa's Father,mention,65
1400,Rosa's Mother,mention,65
1212,Boris (Zvi's nephew),mention,67
1213,Miriam (Zvi's sister),mention,68
1214,Boris' Children,mention,68
1216,Editor (who met with the Litvinoffs),mention,68
1215,Girl (who unbuttoned her shirt behind the reeds ,mention,69
1698,Department Store Manager,mention,69
1699,Policemen (Rosa talks to),mention,69
1217,Postman (who brings Litvinoff a package),mention,70
1218,Publisher (of Litvinoff's The History of Love),mention,70
1219,First Bookstore Owner (In Buenos Aires),mention,71
1220,Jorge Luis Borges,mention,71
1221,Borges' Visitors,mention,71
1222,Maria Kodama,mention,71
1223,Cervantes,mention,71
1224,Goethe,mention,71
1225,Shakespeare,mention,71
1226,Second Bookstore Owner (In Buenos Aires),mention,71
1700,Bookstore Owner (of small secondhand bookstore),mention,72
1249,Antonio Alberto de Biedma,mention,73
1227,Man reading the newspaper (in Starbucks),mention,76
1228,Girl with Blue Hair (in Starbucks),mention,76
1229,Little Boy in a Soccer Uniform (in Starbucks),mention,76
1230,Mother of the Boy in the Soccer Uniform (in Star,mention,76
1231,Dudu Fisher,mention,76
1232,Philip Roth,mention,78
1233,Leon Wieseltier,mention,78
1234,Morton Levy,mention,78
1159,Bernard Moritz,mention,79
1235,Starbucks Employee (with a ring in his eyebrow),mention,79
