id,Label,Cat,startPage
1443,Benjamin Compson,narrator,3
1445,Golfers,mention,3
1446,Luster Gibson,mention,3
1489,"""caddie""",mention,3
1447,Caddy Compson,narrator,4
1448,Maury Bascomb,narrator,4
1538,"""n*****s""",mention,4
1436,Dilsey Gibson,mention,5
1440,Versh Gibson,mention,5
1441,Caroline Bascomb Compson,mention,5
1449,Santy Claus,mention,7
1434,Jason Compson IV,narrator,8
1444,Quentin Compson III,narrator,8
1450,Jason Compson III,mention,8
1437,T.P.,mention,9
1439,Roskus Gibson,mention,9
1435,Miss Quentin Compson,mention,10
1488,"""the soldier""",mention,11
1490,Mr. Patterson,mention,13
1491,Mrs. Patterson,mention,13
1492,People washing at the branch,mention,14
1494,Damuddy,mention,20
1438,Frony Gibson,mention,29
1498,Sis Beulah Clay,mention,33
1499,Satan,mention,45
1500,Charlie,mention,46
1479,Band member (that Quentin runs off with),mention,48
1676,"Miss Quentin""s suitors",mention,50
1486,Mr. Burgess,mention,52
1674,First girl (that Benjy assaults),mention,52
1675,Second girl (that Benjy assaults),mention,52
1678,"Luster""s father",mention,59
1501,Teachers,mention,67
1503,Charles Stuart Compson,mention,69
1497,Jesus ,mention,76
1510,Saint Francis,mention,76
1511,Shreve,mention,77
1512,Dean of Harvard,mention,78
1513,Students of Harvard,mention,78
1514,Spoade,mention,78
1515,Southern men,mention,78
1516,Dalton Ames,mention,79
1517,"Dalton Ames"" mother",mention,80
1518,"Dalton Ames"" father",mention,80
1519,George Washington,mention,80
1521,Police,mention,82
1523,Deacon,mention,82
1524,Giuseppe Garibaldi,mention,82
1525,Christopher Columbus,mention,82
1529,Girl (at the cigar shop),mention,83
1530,Bootblack (who Quentin gives a cigar to),mention,83
1531,Bootblack (who Quentin gives a nickel to),mention,83
1533,Horologist,mention,83
1539,Jeweller,mention,85
1540,Hardware store clerk,mention,85
1541,"""a n***** """,mention,86
1542,Southerners,mention,86
1543,Northerners,mention,86
2503,"""a n***** on a mule""",,86
1544,"""a gentleman""",mention,87
1545,White people,mention,87
1546,"""a grandparent""",mention,87
1549,"""troublesome children""",mention,88
1550,"""country folks""",mention,88
1551,Miss Laura,mention,88
1552,Henry,mention,88
1553,Hernando de Soto,mention,88
1555,Students,mention,88
1557,"""women in the car""",mention,89
1558,"""men in work-clothes""",mention,89
1559,"""man naked to the waist""",mention,89
1560,"""man in a straw hat""",mention,89
1502,Gerald Bland,mention,90
1576,Crew (that Quentin watches),mention,90
1578,Mrs. Bland,mention,90
1579,Two men (that Quentin watches),mention,90
1580,Oxford students,mention,90
1468,God,mention,91
1581,"""folks at the boathouse""",mention,91
1582,"""policeman""",mention,91
1584,"""Gerald""s n*****s""",mention,91
1586,"""Husbands and fathers in Kentucky""",mention,91
1587,"""some misfit Maingault or Mortemar""",mention,92
1588,"""lodge-keeper""s daughter""",mention,92
1589,"""pimple-faced infant"" (that Caddy met)",mention,92
1590,"""n****r women""",mention,92
1467,Herbert Head,mention,93
1592,Young Lochinvar,mention,93
1593,Byron,mention,93
1594,"""country girls""",mention,93
1595,"""country people""",mention,94
1598,"""women""",mention,96
1599,"""freshmen""",mention,97
1600,Uncle Tom,mention,97
1601,"""white boy of about fifteen""",mention,97
1602,Abraham Lincoln,mention,97
1603,"""dead and departed professors""",mention,98
1604,"""vet""runs""",mention,98
1605,"""ladies",mention,98
1606,"Deacon""s son-in-law",mention,98
1607,"""young fellows""",mention,100
1608,"""chauffeur""",mention,101
1609,"""people"" (waiting for the trolley)",mention,104
1610,Man that Quentin talks to about the trolley,mention,104
1611,"""miners""",mention,104
1612,"""proctor"" (that Mrs. Bland went to)",mention,106
