Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,id_x,Novel_x,Duration,Preceding Event,id_y,Container,TT Description,id,Novel_y,Preceding t-t
,,0000-01-01,0000-01-01,T,,,,,,,,F,,178,_CHOOSE A NOVEL,0,_CHOOSE AN EVENT,,,,,,
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),135,135,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,579,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),139,139,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,580,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),140,140,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,581,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),141,141,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,584,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),143,143,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,582,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),146,146,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,585,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),150,150,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",215,The Bluest Eye,1,Cholly's Mother abandons him,583,"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","Spring, 1941 (Third Person Narrator)",48,The Bluest Eye,_CHOOSE A TELLING TIME
,Benjamin attacks a girl and is castrated,1910-01-01,1910-01-01,T,Benjamin Compson (narrator),52,52,1928-04-07,1928-04-07,3,75,F,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",195,The Sound and the Fury,0,Quentin commits suicide,348,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,Benjamin attacks a girl and is castrated,1910-01-01,1910-01-01,T,Benjamin Compson (narrator),53,53,1928-04-07,1928-04-07,3,75,F,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",195,The Sound and the Fury,0,Quentin commits suicide,349,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
