
"id","Event <br />(choose)","Narrator <br />(choose)","Container <br />(choose)","Start page","End page","TellingTime <br />(choose)"
"0","_CHOOSE AN EVENT","_CHOOSE A NARRATOR","_CHOOSE CONTAINER","0","0","_CHOOSE A TELLING TIME"
"56","R Zvi dies","R Zvi's narrator","R FORGIVE ME","65","0","R Not Before 1980"
"57","R Zvi and Rosa meet","R Zvi's narrator","R FORGIVE ME","65","0","R Not Before 1980"
"58","R Zvi leaves for Chile with The History of Love","R Zvi's narrator","R FORGIVE ME","55","0","R Not Before 1980"
"59","R Zvi and Rosa finish translating The History of Love","R Zvi's narrator","R FORGIVE ME","66","0","R Not Before 1980"
"60","R Rosa destroys the manuscript of The History of Love","R Zvi's narrator","R FORGIVE ME","66","0","R Not Before 1980"
"61","R Zvi publishes The History of Love","R Zvi's narrator","R FORGIVE ME","67","0","R Not Before 1980"
"62","R Zvi learns about his family's death","R Zvi's narrator","R FORGIVE ME","68","0","R Not Before 1980"
"63","R Zvi publishes The History of Love","R Zvi's narrator","R FORGIVE ME","70","0","R Not Before 1980"
"64","R Zvi dies","R Zvi's narrator","R FORGIVE ME","71","0","R Not Before 1980"
"65","R Zvi leaves for Chile with The History of Love","R Zvi's narrator","R FORGIVE ME","74","0","R Not Before 1980"
"66","R David Singer buys The History of Love","R Zvi's narrator","R FORGIVE ME","74","0","R Not Before 1980"
"67","R Zvi leaves for Chile with The History of Love","R Zvi's narrator","R THE TROUBLE WITH THINKING","110","0","R Not Before 1980"
"68","R Zvi steals Leo's obituary","R Zvi's narrator","R THE TROUBLE WITH THINKING","118","0","R Not Before 1980"
"69","R Zvi leaves for Chile with The History of Love","R Zvi's narrator","R HERE WE ARE TOGETHER","153","0","R Not Before 1980"
"70","R Zvi leaves for Chile with The History of Love","R Zvi's narrator","R HERE WE ARE TOGETHER","154","0","R Not Before 1980"
"71","R The Nazis invade Slonim","R Zvi's narrator","R HERE WE ARE TOGETHER","155","0","R Not Before 1980"
"72","R Zvi learns about his family's death","R Zvi's narrator","R HERE WE ARE TOGETHER","156","0","R Not Before 1980"
"73","R Zvi and Rosa meet","R Zvi's narrator","R HERE WE ARE TOGETHER","157","0","R Not Before 1980"
"76","R Zvi sees Leo and Alma kiss","R Zvi's narrator","R THE LAST PAGE [1.1]","184","0","R Not Before 1980"
"77","R Zvi dies","R Zvi's narrator","R THE LAST PAGE [1.2]","187","0","R Not Before 1980"
"78","R Zvi dies","R Zvi's narrator","R THE LAST PAGE [1.2]","188","0","R Not Before 1980"
"79","R Zvi publishes The History of Love","R Zvi's narrator","R THE LAST PAGE [1.2]","188","0","R Not Before 1980"
"80","R Zvi publishes The History of Love","R Zvi's narrator","R THE LAST PAGE [1.2]","189","0","R Not Before 1980"
"81","R Rosa destroys the manuscript of The History of Love","R Zvi's narrator","R THE LAST PAGE [1.2]","190","0","R Not Before 1980"
