
"id","Novel <br />(choose)","Description <br />(max 150 chars)","Not Before<br />yyyy[-mm-dd]","Not After<br />yyyy[-mm-dd]","Preceding t-t <br />(choose)"
"0","_CHOOSE A NOVEL","_CHOOSE A TELLING TIME","0000-00-00","0000-00-00","_CHOOSE A TELLING TIME"
"1","_CHOOSE A NOVEL","_NO PRECEDING TELLING TIME","0000-00-00","0000-00-00","_NO PRECEDING TELLING TIME"
"13","Emma's The History of Love","E Not before December 2000","2000-12-00","0000-00-00","_CHOOSE A TELLING TIME"
"14","Emma's The History of Love","E Not before September 14 2000","2000-09-14","0000-00-00","_CHOOSE A TELLING TIME"
"15","Emma's The History of Love","E Not before October 5th 2000","2000-10-05","0000-00-00","E Not before September 14 2000"
"16","Emma's The History of Love","E Not before October 21st 2000","2000-10-21","0000-00-00","E Not before October 5th 2000"
"17","Emma's The History of Love","E Unknown (Not before 1980)","1980-00-00","0000-00-00","_CHOOSE A TELLING TIME"
"18","Emma's The History of Love","E October 3rd 2000","2000-10-03","2000-10-03","_CHOOSE A TELLING TIME"
"19","Emma's The History of Love","E October 6th 2000","2000-10-06","2000-10-06","E October 3rd 2000"
"20","Emma's The History of Love","E October 7th 2000","2000-10-07","2000-10-07","E October 6th 2000"
"6","Rowan's History of Love","R Not before 14 September 2000","2000-09-14","0000-00-00","_CHOOSE A TELLING TIME"
"7","Rowan's History of Love","R Not Before 1980","1980-00-00","0000-00-00","_CHOOSE A TELLING TIME"
"8","Rowan's History of Love","R 3 October 2000","2000-10-03","0000-00-00","_CHOOSE A TELLING TIME"
"9","Rowan's History of Love","R 6 October 2000","2000-10-06","0000-00-00","_CHOOSE A TELLING TIME"
"11","Rowan's History of Love","R Not before 1 December 2000","2000-12-01","2001-01-31","_CHOOSE A TELLING TIME"
"12","Rowan's History of Love","R Not before 21 October 2000","2000-10-21","2001-09-14","_CHOOSE A TELLING TIME"
"46","Rowan's History of Love","R Not before 5 October 2000","2000-10-05","0000-00-00","_CHOOSE A TELLING TIME"
"21","The Sound and the Fury","Quentin breaks his watch (June second 1910)","1910-06-02","1910-06-02","_NO PRECEDING TELLING TIME"
"22","The Sound and the Fury","Quentin writes notes to his father and Shreve (June second 1910)","1910-06-02","1910-06-02","Quentin breaks his watch (June second 1910)"
"23","The Sound and the Fury","Quentin sends his note to his father (June second 1910)","1910-06-02","1910-06-02","Quentin writes notes to his father and Shreve (June second 1910)"
"24","The Sound and the Fury","Quentin gives Shreve's note to Deacon (June second 1910)","1910-06-02","1910-06-02","Quentin sends his note to his father (June second 1910)"
"25","The Sound and the Fury","Quentin buys tire irons and hides them (June second 1910)","1910-06-02","1910-06-02","Quentin gives Shreve's note to Deacon (June second 1910)"
"26","The Sound and the Fury","Quentin finds the little Italian girl (June second 1910)","1910-06-02","1910-06-02","Quentin buys tire irons and hides them (June second 1910)"
"27","The Sound and the Fury","Quentin gets arrested for taking the little Italian girl (June second 1910)","1910-06-02","1910-06-02","Quentin finds the little Italian girl (June second 1910)"
"28","The Sound and the Fury","Quentin fights Gerald (June second 1910)","1910-06-02","1910-06-02","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"29","The Sound and the Fury","Quentin dresses up (June second 1910)","1910-06-02","1910-06-02","Quentin fights Gerald (June second 1910)"
"30","The Sound and the Fury","Breakfast where Jason learns that Quentin Jr. has been skipping school (April sixth 1928)","1928-04-06","1928-04-06","Quentin dresses up (June second 1910)"
"31","The Sound and the Fury","Jason drives Quentin Jr. to school (April sixth 1928)","1928-04-06","1928-04-06","Breakfast where Jason learns that Quentin Jr. has been skipping school (April sixth 1928)"
"32","The Sound and the Fury","Jason recieves Caddy's letter (April sixth 1928)","1928-04-06","1928-04-06","Jason drives Quentin Jr. to school (April sixth 1928)"
"33","The Sound and the Fury","Quentin Jr. asks for money (April sixth 1928)","1928-04-06","1928-04-06","Jason recieves Caddy's letter (April sixth 1928)"
"34","The Sound and the Fury","Jason forges a check (April sixth 1928)","1928-04-06","1928-04-06","Quentin Jr. asks for money (April sixth 1928)"
"35","The Sound and the Fury","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)","1928-04-06","1928-04-06","Jason forges a check (April sixth 1928)"
"36","The Sound and the Fury","Jason sees Quentin with the band member wearing the red tie (April sixth 1928)","1928-04-06","1928-04-06","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"37","The Sound and the Fury","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)","1928-04-06","1928-04-06","Jason sees Quentin with the band member wearing the red tie (April sixth 1928)"
"38","The Sound and the Fury","Jason loses money at the stock market (April sixth 1928)","1928-04-06","1928-04-06","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"39","The Sound and the Fury","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)","1928-04-06","1928-04-06","Jason loses money at the stock market (April sixth 1928)"
"40","The Sound and the Fury","Luster looks for a quarter (April seventh, 1928)","1928-04-07","1928-04-07","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"41","The Sound and the Fury","Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)","1928-04-07","1928-04-07","Luster looks for a quarter (April seventh, 1928)"
"42","The Sound and the Fury","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)","1928-04-07","1928-04-07","Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
"43","The Sound and the Fury","The Compsons have supper (April seventh, 1928)","1928-04-07","1928-04-07","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"44","The Sound and the Fury","Benjy watches Quentin run away (April seventh, 1928)","1928-04-07","1928-04-07","The Compsons have supper (April seventh, 1928)"
"45","The Sound and the Fury","April Eighth, 1928","1928-04-08","1928-04-08","Benjy watches Quentin run away (April seventh, 1928)"
"47","The Bluest Eye","Not before 1943 (Claudia)","1943-00-00","1993-00-00","_CHOOSE A TELLING TIME"
"48","The Bluest Eye","Spring, 1941 (Third Person Narrator)","1941-03-20","1941-06-21","_CHOOSE A TELLING TIME"
"49","The Bluest Eye","Unknown (Dick and Jane's Narrator)","0000-00-00","0000-00-00","_CHOOSE A TELLING TIME"
"50","The Bluest Eye","Not before 1941 (Pauline)","1941-00-00","1943-00-00","_CHOOSE A TELLING TIME"
"51","The Bluest Eye","September, 1941 (Pecola)","1941-09-01","1941-09-22","_CHOOSE A TELLING TIME"
