
"id","Title <br />(100 chars)","Novel <br />(choose)","Level <br />(choose)","Parent <br />(choose)","Start Page","Start phrase <br />(100 chars)","End Page","End phrase <br />(100 chars)","Narrator <br />(choose)","Protagonist <br />(choose)","Narratee <br />(choose)","Embed. Type <br />(choose)","Prev. Pub. <br />(choose)"
"0","_CHOOSE CONTAINER","_CHOOSE A NOVEL","_CHOOSE A LEVEL","_CHOOSE CONTAINER","0","","0","","_CHOOSE A NARRATOR","_CHOOSE A CHARACTER","_CHOOSE A CHARACTER","_CHOOSE EMBED. TYPE","No"
"470","Chapter I v 1 (exchanges and relationships)","_CHOOSE A NOVEL","level 1 (section)","_CHOOSE CONTAINER","0","It is a truth","0","its solace was visiting and news","_CHOOSE A NARRATOR","_CHOOSE A CHARACTER","_CHOOSE A CHARACTER","_CHOOSE EMBED. TYPE","No"
"1","E THE LAST WORDS ON EARTH","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","3","","34","","E Leo (narrator)","_CHOOSE A CHARACTER","_CHOOSE A CHARACTER","_CHOOSE EMBED. TYPE","No"
"22","E MY MOTHER'S SADNESS","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","35","","64","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"23","E FORGIVE ME","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","65","","74","","E Zvi's Narrator","","","_CHOOSE EMBED. TYPE","No"
"24","E A JOY FOREVER","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","75","","92","","E Leo (narrator)","","","_CHOOSE EMBED. TYPE","No"
"25","E MY FATHER'S TENT","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","93","","109","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"27","E THE TROUBLE WITH THINKING","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","110","","118","","E Zvi's Narrator","","","_CHOOSE EMBED. TYPE","No"
"29","E UNTIL THE WRITING HAND HURTS","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","119","","134","","E Leo (narrator)","","","_CHOOSE EMBED. TYPE","No"
"31","E FLOOD","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","135","","152","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"33","E HERE WE ARE TOGETHER","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","153","","159","","E Zvi's Narrator","","","_CHOOSE EMBED. TYPE","No"
"34","E DIE LAUGHING","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","160","","169","","E Leo (narrator)","","","_CHOOSE EMBED. TYPE","No"
"36","E IF NOT, NOT","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","170","","182","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"38","E THE LAST PAGE","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","183","","191","","E Zvi's Narrator","","","_CHOOSE EMBED. TYPE","No"
"39","E MY LIFE UNDERWATER","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","192","","202","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"41","E ONE NICE THING","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","203","","207","","E Bird (narrator)","","","_CHOOSE EMBED. TYPE","No"
"43","E THE LAST TIME I SAW YOU","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","208","","212","","E Leo (narrator)","","","_CHOOSE EMBED. TYPE","No"
"45","E WOULD A LAMED VOVNIK DO THIS?","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","213","","218","","E Bird (narrator)","","","_CHOOSE EMBED. TYPE","No"
"48","E A + L","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","219","","252","","_CHOOSE A NARRATOR","_CHOOSE A CHARACTER","_CHOOSE A CHARACTER","_CHOOSE EMBED. TYPE","No"
"52","E THE DEATH OF LEOPOLD GURSKY","Emma's The History of Love","level 1 (section)","_CHOOSE CONTAINER","255","","255","","E Leo (narrator)","","","_CHOOSE EMBED. TYPE","No"
"457","E THE LAST WORDS ON EARTH 1.1","Emma's The History of Love","level 2 (sub-section)","E THE LAST WORDS ON EARTH","3","","13","","E Leo (narrator)","E Leo","_CHOOSE A CHARACTER","_CHOOSE EMBED. TYPE","No"
"458","E THE LAST WORDS ON EARTH 1.2","Emma's The History of Love","level 2 (sub-section)","E THE LAST WORDS ON EARTH","14","","34","","E Leo (narrator)","E Leo","_CHOOSE A CHARACTER","_CHOOSE EMBED. TYPE","No"
"92","E 1. MY NAME IS ALMA SINGER","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","35","","35","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"93","E 2. WHAT I AM NOT","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","36","","36","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"94","E 3. MY BROTHER BELIEVES IN GOD","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","36","","37","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"96","E 4. MY FATHER DIED WHEN I WAS SEVEN","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","37","","38","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"97","E 5. THE DEAD SEA IS THE LOWEST PLACE ON EARTH","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","38","","38","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"99","E 6. NO TWO PEOPLE LOOKED LESS ALIKE THAN MY MOTHER AND FATHER","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","38","","38","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"102","E 7. THERE IS A PHOTOGRAPH OF MY MOTHER THAT NO ONE HAS EVER SEEN","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","38","","39","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"104","E 8. MY MOTHER IS THE MOST STUBBORN PERSON I KNOW","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","39","","40","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"106","E 9. WHAT FOLLOWED WERE THE HAPPIEST YEARS OF THEIR LIVES","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","40","","40","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"108","E 10. THEY MOVED TO NEW YORK AND HAD ME","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","41","","41","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
"168","E 11. I WAS SIX WHEN MY FATHER WAS DIAGNOSED WITH PANCREATIC","Emma's The History of Love","level 2 (sub-section)","E MY MOTHER'S SADNESS","41","","41","","E Alma (narrator)","","","_CHOOSE EMBED. TYPE","No"
