Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,E Alma Mereminski's Mother,E Alma Mereminski/Moritz,E Alma’s Father,E Leo’s mother,E Leo’s father,E Leo,E Zvi Litvinoff,E Isaac Moritz,E Mordecai Moritz,E Hitler's armies,E Zvi's Father,E Zvi's Mother,E Miriam Litvinoff,E Zvi's Brother,E Rosa,E David Singer,E Second Bookstore Owner (In Buenos Aires),E Charlotte Singer,E Bruno,E Alma Singer,E Misha Shklovsky,E Bird,E Herman Cooper,E Bernard Moritz,E Man in a Yellow Bow Tie and a White Jacket,E Man (from Fact-Checking Department),E Man (from Fiction Department)
1,E Alma Mereminski is born,1920-02-21,1920-02-21,F,E Leo (narrator),128.0,128.0,2000-12-01,0000-01-01,119.0,134.0,T,"""I knew her birthday was twenty-first of February (making her older than me by five months and twenty-eight days)""(28)",,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,
2,E Leo is born,1920-08-18,1920-08-18,F,E Leo (narrator),255.0,255.0,2000-12-01,0000-01-01,255.0,255.0,T,"""Leopold Gursky started dying on August 18, 1920"" (255)",,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),255.0,255.0,2000-12-01,0000-01-01,255.0,255.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Alma (narrator),57.0,57.0,2000-09-14,0000-01-01,57.0,58.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Alma (narrator),62.0,62.0,2000-09-14,0000-01-01,61.0,64.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Alma (narrator),63.0,63.0,2000-09-14,0000-01-01,61.0,64.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),80.0,80.0,2000-12-01,0000-01-01,75.0,92.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),85.0,85.0,2000-12-01,0000-01-01,75.0,92.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),90.0,90.0,2000-12-01,0000-01-01,75.0,92.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),126.0,126.0,2000-12-01,0000-01-01,119.0,134.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),127.0,127.0,2000-12-01,0000-01-01,119.0,134.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
