id,Character,Event
2,R Alma Mereminski,R Alma Mereminski is born
3,R Alma Mereminski's father,R Alma Mereminski is born
4,R Alma Mereminski's mother,R Alma Mereminski is born
5,R Leo Gursky,R Leo is born
6,R Leo's father,R Leo is born
7,R Leo's mother,R Leo is born
8,R Leo Gursky,R Leo and Alma fall in love
9,R Alma Mereminski,R Leo and Alma fall in love
10,R Zvi Litvinoff,R Zvi sees Leo and Alma kiss
11,R Leo Gursky,R Zvi sees Leo and Alma kiss
12,R Alma Mereminski,R Zvi sees Leo and Alma kiss
13,R Alma Mereminski,R Alma Mereminski leaves for America
14,R Alma Mereminski,R Isaac is born
15,R Isaac Moritz,R Isaac is born
16,R Zvi Litvinoff,R Zvi steals Leo's obituary
17,R Leo Gursky,R Zvi steals Leo's obituary
18,R Leo Gursky,R Leo completes The History of Love
19,R Zvi Litvinoff,R Zvi leaves for Chile with The History of Love
20,R Leo Gursky,R Leo escapes the Nazis
21,R Leo Gursky,R Leo leaves for America
22,R Alma Mereminski,R Alma refuses Leo's proposal
23,R Leo Gursky,R Alma refuses Leo's proposal
24,R Zvi Litvinoff,R Zvi learns about his family's death
25,R Zvi Litvinoff,R Zvi and Rosa meet
26,R Rosa Litvinoff,R Zvi and Rosa meet
27,R Zvi Litvinoff,R Zvi and Rosa finish translating The History of Love
28,R Rosa Litvinoff,R Zvi and Rosa finish translating The History of Love
29,R Zvi Litvinoff,R Zvi adds Leo's obituary to The History of Love
30,R Leo Gursky,R Zvi adds Leo's obituary to The History of Love
31,R Zvi Litvinoff,R Zvi publishes The History of Love
32,R Rosa Litvinoff,R Rosa destroys the manuscript of The History of Love
33,R David Singer,R David Singer buys The History of Love
34,R Bookstore owner (in Buenos Aires),R David Singer buys The History of Love
35,R Charlotte Singer,R Charlotte and David meet
36,R David Singer,R Charlotte and David meet
37,R Zvi Litvinoff,R Zvi dies
38,R Leo Gursky,R Leo and Bruno reunite
39,R Bruno,R Leo and Bruno reunite
40,R Alma Singer,R Alma Singer is born
41,R David Singer,R Alma Singer is born
42,R Charlotte Singer,R Alma Singer is born
43,R David Singer,R David Singer dies
44,R Alma Mereminski,R Alma Mereminski dies
45,R Alma Mereminski,R Alma becomes Misha's pen pal
46,R Misha Shklovsky,R Alma becomes Misha's pen pal
47,R Tatiana,R Alma becomes Misha's pen pal
48,R Leo Gursky,R Leo begins to write again
49,R Charlotte Singer,R Charlotte receives Isaac's first letter
50,R Isaac Moritz,R Charlotte receives Isaac's first letter
51,R Alma Singer,R Alma begins searching for Alma Mereminski
52,R Alma Mereminski,R Alma begins searching for Alma Mereminski
53,R Alma Singer,R Alma and Misha kiss (for the second time ??)
54,R Misha Shklovsky,R Alma and Misha kiss (for the second time ??)
55,R Alma Singer,R Alma realises Alma Mereminski had married
56,R Alma Mereminski,R Alma realises Alma Mereminski had married
57,R Uncle Julian,R Alma realises Alma Mereminski had married
58,R Alma Singer,R Alma reads Bird's journal
59,R Bird,R Alma reads Bird's journal
60,R Alma Singer,R Alma realises Alma Mereminski has died
61,R Alma Mereminski,R Alma realises Alma Mereminski has died
62,R Doorman (Alma Mereminski's building),R Alma realises Alma Mereminski has died
