Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Evelina Harp,Judge Antone Bazil Coutts,Marn Wolde,Doctor Cordelia Lochren,Seraph Milk,Corwin Peace,Billy Peace,Warren Wolde,Shamengwa Milk,Henri Peace,Lafayette Peace
9,Lochren Murder,1911-06-15,1911-06-15,T,SOLO Narrator,1,1,,,1,1,,"“1911” (92),  “[o]ne day in early summer” (60). The following four events happen in succession in the summer.  ",Doctor Cordelia Lochren and Warren Wolde,  ,,,T,,,,T,,,
4,Plague of doves,1896-01-01,1896-06-20,T,Evelina Harp,5,5,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",Seraph Milk,,,,,T,,,,,,
4,Plague of doves,1896-01-01,1896-06-20,T,Evelina Harp,6,6,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",Seraph Milk,,,,,T,,,,,,
4,Plague of doves,1896-01-01,1896-06-20,T,Evelina Harp,7,7,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",Seraph Milk,,,,,T,,,,,,
4,Plague of doves,1896-01-01,1896-06-20,T,Evelina Harp,8,8,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",Seraph Milk,,,,,T,,,,,,
17,Billy and John ransom Neve,1954-02-03,1954-02-03,T,Evelina Harp,9,9,1986-07-02,1986-07-02,3,86,T,"Neve exclaiming ""'In this snow?'"" (119) indicates that it is winter and on the same day John suggests that Billy kidnaps Neve ""tomorrow night"" (123). As Maggie is already pregnant, this happens within nine months of Corwin's birth and as Corwin is born in 1954 this must be in winter 1953/54. ",Billy Peace,,,,,,,T,,,,
4,Plague of doves,1896-01-01,1896-06-20,T,Evelina Harp,11,11,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",Seraph Milk,,,,,T,,,,,,
4,Plague of doves,1896-01-01,1896-06-20,T,Evelina Harp,12,12,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",Seraph Milk,,,,,T,,,,,,
6,Mustache Maude stops lynching,1902-07-02,1902-07-02,T,Evelina Harp,16,16,1986-07-02,1986-07-02,3,86,T,"Seraph and Junesse live with Mustache Maude ""for six years” (16) and meet her right after the plague of doves in 1896. The attempted lynching is the inciting incident to their departure so therefore it happens at the end of the six years. ",Seraph Milk,,,,,T,,,,,,
6,Mustache Maude stops lynching,1902-07-02,1902-07-02,T,Evelina Harp,17,17,1986-07-02,1986-07-02,3,86,T,"Seraph and Junesse live with Mustache Maude ""for six years” (16) and meet her right after the plague of doves in 1896. The attempted lynching is the inciting incident to their departure so therefore it happens at the end of the six years. ",Seraph Milk,,,,,T,,,,,,
