Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
1,Dill arrives in Maycomb,1933-07-30,1933-07-30,T,Scout,3,3,1936-07-30,1936-07-30,3,376,T,...the summer Dill came to us,"Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
1,Dill arrives in Maycomb,1933-07-30,1933-07-30,T,Scout,7,7,1936-07-30,1936-07-30,3,376,T,That was the summer Dill came to us.,"Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
1,Dill arrives in Maycomb,1933-07-30,1933-07-30,T,Scout,8,8,1936-07-30,1936-07-30,3,376,T,"...instead, we found someone sitting looking at us.","Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
1,Dill becomes interested in Boo Radley,1933-08-30,1933-08-31,T,Scout,3,3,1936-07-30,1936-07-30,3,376,T,...when Dill first gave us the idea of making Boo Radley come out.,"Boo Radley, Dill, Jem, and Scout",T,T,T,F,F,T
1,Dill becomes interested in Boo Radley,1933-08-30,1933-08-31,T,Scout,10,10,1936-07-30,1936-07-30,3,376,T,Dill gave us the idea of making Boo Radley come out,"Boo Radley, Dill, Jem, and Scout",T,T,T,F,F,T
1,Dill becomes interested in Boo Radley,1933-08-30,1933-08-31,T,Scout,15,15,1936-07-30,1936-07-30,3,376,T,"The more we told Dill about the Radleys, the more he wanted to know...","Boo Radley, Dill, Jem, and Scout",T,T,T,F,F,T
1,Dill becomes interested in Boo Radley,1933-08-30,1933-08-31,T,Scout,16,16,1936-07-30,1936-07-30,3,376,T,"""Let's try to make him come out,"" said Dill.","Boo Radley, Dill, Jem, and Scout",T,T,T,F,F,T
2,Jem invites Walter Cunningham to dinner,1933-05-09,1933-05-09,T,Scout,30,30,1936-07-30,1936-07-30,3,376,T,"""Come on home to dinner with us, Walter,"" he said.","Atticus, Jem, and Scout",T,T,F,T,F,F
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,44,44,1936-07-30,1936-07-30,3,376,T,Some tinfoil was sticking in the knot-hole...,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,46,46,1936-07-30,1936-07-30,3,376,T,...and found myself pointing at another piece of tinfoil.,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,78,78,1936-07-30,1936-07-30,3,376,T,In its knot-hole rested a ball of gray twine.,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,79,79,1936-07-30,1936-07-30,3,376,T,...when our knot-hole stopped us again.,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,80,80,1936-07-30,1936-07-30,3,376,T,"One was the figure of a boy, the other wore a crude dress.","Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,81,81,1936-07-30,1936-07-30,3,376,T,The following week the knot-hole yielded a tarnished medal.,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,324,324,1936-07-30,1936-07-30,3,376,T,"Two Indian-head pennis, chewing gum, soap dolls, a rusty medal...","Boo Radley, Jem, and Scout",T,T,F,F,F,T
3,Boo Radley leaves gifts in the tree,1934-04-15,1934-10-15,T,Scout,373,373,1936-07-30,1936-07-30,3,376,T,He gave us two soap dolls...,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
4,Mr. Radley shoots at Jem and Dill,1934-08-15,1934-08-15,T,Scout,71,71,1936-07-30,1936-07-30,3,376,T,...the roar of a shotgun shattered the neighbourhood.,"Dill, Jem, and Scout",T,T,T,F,F,F
4,Mr. Radley shoots at Jem and Dill,1934-08-15,1934-08-15,T,Scout,72,72,1936-07-30,1936-07-30,3,376,T,"""Mr. Radley shot at a N**** in his collard patch.""","Dill, Jem, and Scout",T,T,T,F,F,F
4,Mr. Radley fills the tree with cement,1934-10-15,1934-10-15,T,Scout,83,83,1936-07-30,1936-07-30,3,376,T,Someone had filled our knot-hole with cement.,Jem and Scout,T,T,F,F,F,F
5,Miss Maudie's houes catches fire,1934-11-30,1934-11-30,T,Scout,92,92,1936-07-30,1936-07-30,3,376,T,...we saw fire spewing from Miss Maudie's diningroom...,"Atticus, Boo Radley, Jem, and Scout",T,T,F,T,F,T
