Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Rafaela,Bobby,Emi,Buzzworm,Manzanar,Gabriel,Arcangel,Sol,The Orange,Hernando
1,Arcangel is born,1492-12-10,1492-12-10,F,Arcangel,46,47,1998-06-22,1998-06-22,46,51,F,"The figure of Arcangel is fairly mythical and this chapter states that ""No one knew where he came from, or how long he had lived, how many years, decades"" (46) however the earliest event that he narrates occurs in 1494. (49)",Arcangel,F,F,F,F,F,F,T,F,F,F
1,Arcangel is born,1492-12-10,1492-12-10,F,Arcangel,144,144,1998-06-25,1998-06-25,141,148,F,"""I have been travelling a long time."" ""How long?"" ""Five hundred years"" (144). Arcangel is a mythical figure within the novel, and we have assumed the date he starts ""travelling"" is also the date of his birth.",Arcangel,F,F,F,F,F,F,T,F,F,F
1,Arcangel is born,1492-12-10,1492-12-10,F,Arcangel,198,198,1998-06-26,1998-06-26,196,201,F,"""How old are you?"" ""Quinientos y algunos años."" ""When were you born?"" ""Doce de octubre de mil quatrocientos noventa y dos."" (198)",Arcangel,F,F,F,F,F,F,T,F,F,F
2,Orange trees arrive in America,1873-02-07,1873-02-07,T,Rafaela,11,11,1998-06-22,1998-06-22,3,13,F," “It was a navel orange tree, maybe the descendant of the original trees first brought to California from Brazil in 1873 and planted by L.C. Tibbetts.” (11)",,F,F,F,F,F,F,F,F,F,F
3,Manzanar is born,1942-01-03,1942-01-03,T,Gabriel,108,108,1998-06-24,1998-06-24,107,114,F,"Manzanar was the “first sansei born in captivity” (108) and ""He had created the name out of his birthplace, Manzanar Concentration Camp in the Owens Valley [...] that would have been over fifty years ago, and he looked to be well over fifty."" (110). The first Japanese Americans arrived at Manzanar Internment Camp in March 1942. The last internees left in November 1945.",Manzanar,F,F,F,F,T,F,F,F,F,F
3,Manzanar is born,1942-01-03,1942-01-03,T,Gabriel,110,110,1998-06-24,1998-06-24,107,114,F,"Manzanar was the “first sansei born in captivity” (108) and ""He had created the name out of his birthplace, Manzanar Concentration Camp in the Owens Valley [...] that would have been over fifty years ago, and he looked to be well over fifty."" (110). The first Japanese Americans arrived at Manzanar Internment Camp in March 1942. The last internees left in November 1945.",Manzanar,F,F,F,F,T,F,F,F,F,F
4,Manzanar leaves his job,1987-01-01,1987-01-01,T,Manzanar,56,56,1998-06-23,1998-06-23,55,57,F,"“Long ago, Manzanar had been a skilled surgeon [...] at what point the baton replaced the knife, he could no longer remember” (56)
“He remembered his youth, the woman he loved, the family he once had, a nine-year-old- grandchild [Emi] he was particularly fond of” (170) 
",Manzanar,,,,,T,,,,,
4,Manzanar leaves his job,1987-01-01,1987-01-01,T,Manzanar,170,170,1998-06-23,1998-06-23,55,57,F,"“Long ago, Manzanar had been a skilled surgeon [...] at what point the baton replaced the knife, he could no longer remember” (56)
“He remembered his youth, the woman he loved, the family he once had, a nine-year-old- grandchild [Emi] he was particularly fond of” (170) 
",Manzanar,,,,,T,,,,,
5,Bobby moves to America,1975-02-07,1975-02-07,T,Bobby,15,15,1998-06-22,1998-06-22,14,18,F,"""Bobby's only twelve. How you get from Singapore to America? It's 1975."" (15)",Bobby,F,T,F,F,F,F,F,F,F,F
6,Gabriel and Emi start dating,1996-01-01,1996-01-01,,Gabriel,40,41,1998-06-22,1998-06-22,37,46,F,"“but that was back in college [...] since then, they had been on again/off again.” (19)",Emi and Gabriel,F,F,T,F,F,T,F,F,F,F
7,Gabriel works as messenger,1996-01-01,1996-01-01,,Gabriel,39,39,1998-06-22,1998-06-22,37,46,F,"""worked my way up from messenger. Did this all through college.” (39)",Gabriel,F,F,F,F,F,T,F,F,F,F
8,Gabriel buys land in Mexico,1990-07-16,1990-07-16,T,Rafaela,5,5,1998-06-22,1998-06-22,3,13,F,"“this project had already been going on for eight years. It had begun one summer when Gabriel felt a spontaneous, sudden passion[…]” (5) (1990?)
“About the time Rafaela was crossing the border North (from Mazatlan)” (6)
“In eight years [...] she had learned English, married Bobby, helped start their janitorial business, borne a baby, and got a degree” (6)",Gabriel,F,F,F,F,F,T,F,F,F,F
9,Rafaela crosses border,1990-07-16,1990-07-16,T,Rafaela,6,6,1998-06-22,1998-06-22,3,13,F,"""About the time Gabriel was buying a piece of the Tropic of Cancer, Rafaela was crossing the border North."" (6)",Rafaela,T,F,F,F,F,F,F,F,F,F
10,Gabriel plants Orange tree on Tropic of Cancer,1990-08-08,1990-08-08,T,Rafaela,11,11,1998-06-22,1998-06-22,3,13,F," “It was a navel orange tree, maybe the descendant of the original trees first brought to California from Brazil in 1873 and planted by L.C. Tibbetts.” (11) and “he had actually brought this tree from Riverside eight years ago” (11)",Gabriel,F,F,F,F,F,T,F,F,F,F
11,Rafaela marries Bobby,1995-01-07,1995-01-07,T,Rafaela,6,6,1998-06-22,1998-06-22,3,13,F,"""until she and her husband Bobby could make up their minds about their marriage."" (6)",Bobby and Rafaela,T,T,F,F,F,F,F,F,F,F
11,Rafaela marries Bobby,1995-01-07,1995-01-07,T,Bobby,17,17,1998-06-22,1998-06-22,14,18,F,"“Never been so happy as when he got married to that woman” (17)
",Bobby and Rafaela,T,T,F,F,F,F,F,F,F,F
11,Rafaela marries Bobby,1995-07-07,1995-01-07,T,Bobby,97,97,1998-06-24,1998-06-24,97,102,F,"“First married, he took Rafaela over and got the B plan” (97)",Bobby and Rafaela,T,T,F,F,F,F,F,F,F,F
12,Sol is born,1996-03-30,1996-03-30,T,Bobby,97,97,1998-06-24,1998-06-24,97,102,F,"“Made her take Tanqui tea. After that, Sol got born. Got born fast.”
“Then, when Sol’s born, they went back” (97)","Bobby, Rafaela, and Sol",T,T,F,F,F,F,F,T,F,F
12,Sol is born,1996-03-30,1996-03-30,T,Rafaela,6,6,1998-06-22,1998-06-22,3,13,F,"""In eight years, while his Mexican project floundered, she had learned English married Bobby, helped start their janitorial business, borne a baby ""","Bobby, Rafaela, and Sol",T,T,F,F,F,F,F,T,F,F
13,Rafaela and Sol move to mexico,1998-01-06,1998-01-06,T,Rafaela,6,6,1998-06-22,1998-06-22,3,13,F,"""Gabriel was doing her a favour, letting her hide with her little son""","Gabriel, Rafaela, and Sol",T,F,F,F,F,T,F,T,F,F
14,Orange falls off the tree,1998-06-22,1998-06-22,F,Rafaela,13,13,1998-06-22,1998-06-22,3,13,F,"""She did not realize that the orange had fallen irresistibly from a height of two meters, rolling in dusty turbulence down a small slope"" (13)",The Orange,F,F,F,F,F,F,F,F,T,F
15,Woman picks up orange,1998-06-22,1998-06-22,F,Arcangel,71,71,1998-06-22,1998-06-22,70,75,F,"“In the dream, “a woman was pushing a cart [...] only to come upon an orange”",The Orange,F,F,F,F,F,F,F,F,T,F
16,Arcangel wakes up in Mazatlan,1998-06-22,1998-06-22,F,Arcangel,51,51,1998-06-22,1998-06-22,46,51,F,"""Now, it was Monday, and he awoke."" (51)",Arcangel,F,F,F,F,F,F,T,F,F,F
19,Traffic Jam,1998-06-22,1998-06-28,F,Multiple,112,112,1998-06-22,1998-06-22,107,114,F,"“They can’t contain the fire. Don’t you get out? It’s got to be smoking your way. Even imprisoned behind four inches of glass, you must have heard the blast.”
“I thought they cleared it up. That was yesterday.”","Arcangel, Bobby, Buzzworm, Emi, Gabriel, Sol, and The Orange",F,T,T,T,,T,T,T,T,F
