id_x,Event Name,Novel_x,Start Date,End Date,Duration,Preceding Event,Evidence,id_y,Narrator,Container,Start Page,End Page,TT Description,id,Novel_y,Start Date TT,End Date TT,Preceding t-t
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),579.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",135.0,135.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),580.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",139.0,139.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),581.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",140.0,140.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),584.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",141.0,141.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),582.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",143.0,143.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),585.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",146.0,146.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
215,Aunt Jimmy passes away,The Bluest Eye,1903-00-00,1918-00-00,1,Cholly's Mother abandons him,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),583.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",150.0,150.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
195,Benjamin attacks a girl and is castrated,The Sound and the Fury,1910-00-00,1910-00-00,0,Quentin commits suicide,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",348.0,Benjamin Compson (narrator),"April Seventh, 1928",52.0,52.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
195,Benjamin attacks a girl and is castrated,The Sound and the Fury,1910-00-00,1910-00-00,0,Quentin commits suicide,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",349.0,Benjamin Compson (narrator),"April Seventh, 1928",53.0,53.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
195,Benjamin attacks a girl and is castrated,The Sound and the Fury,1910-00-00,1910-00-00,0,Quentin commits suicide,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",369.0,Jason Compson IV (narrator),"April Sixth, 1928.",253.0,253.0,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928),39.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason loses money at the stock market (April sixth 1928)
195,Benjamin attacks a girl and is castrated,The Sound and the Fury,1910-00-00,1910-00-00,0,Quentin commits suicide,"Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)",370.0,Jason Compson IV (narrator),"April Sixth, 1928.",263.0,263.0,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928),39.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason loses money at the stock market (April sixth 1928)
